fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,10,composite,-0.5977030040,-1.5351633208,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9294950686,-0.0359668205,-0.2670761240,-0.1737496299,-0.1346687976,0.3846153846,3.0000000000,0.7283333333,0.0145666667,0.8013752896,0.1598748809,0.7088902278,0.3111974635,0.9578491328,-0.0831569979,-0.1288195841,-0.4863944908,-0.6455307123,0.5714285714,2.0000000000,0.9111111111,0.0054666667,1.0047095454,-0.0466407558,0.9538996614,0.0041403426
2,13,composite,-0.8147624521,3.4726801280,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9220449319,-0.0398457583,-0.2844768529,-0.1661068636,-0.1400667854,0.4615384615,3.0000000000,0.6960000000,0.0174000000,0.9706880006,-0.0501119501,0.9067331160,0.0168867947,1.0932097141,0.1968127851,-0.0906105878,1.4811924596,2.1720727100,0.5714285714,2.0000000000,0.4000000000,0.0024000000,1.0823584792,0.0100255461,1.1454855866,-0.0456364298
3,12,composite,0.7335073399,-1.8367015572,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0686220220,0.0338099604,-0.1141111259,0.3767312460,0.2962897797,0.1923076923,3.0000000000,0.3360000000,0.0084000000,0.8490578385,0.2585974401,0.9193390761,0.1623807252,0.9577692112,-0.0833112156,-0.0909976870,-0.6575650010,-0.9155311343,0.1428571429,2.0000000000,0.5571428571,0.0039000000,0.9907841408,-0.0333220206,0.8515495548,0.1247369055
4,15,composite,0.3855591653,-1.6994498945,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0233970727,0.0116541547,-0.0986694940,0.1658013619,0.1181130483,0.1153846154,3.0000000000,0.3000000000,0.0078000000,0.8024665868,0.2753142491,0.7680008866,0.3325467334,0.9585565040,-0.0817914761,-0.1010404781,-0.6046605630,-0.8094921722,0.1250000000,2.0000000000,0.6000000000,0.0036000000,0.9925582557,-0.0342566812,0.9306436835,0.0299930263
5,12,composite,0.4397842356,3.8162170933,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,1.0938782679,0.0459796464,-0.1368374378,0.3807682929,0.3360165691,0.5000000000,4.0000000000,0.6533333333,0.0163333333,1.0691069061,0.0231701448,0.8679521786,0.2602978538,1.0595698355,0.1237281115,-0.0449355923,1.3288542724,2.7534545585,0.7142857143,2.0000000000,0.5666666667,0.0034000000,1.1510675988,-0.0794894786,1.1189193676,-0.0530418311
6,16,composite,1.0725692686,15.6220680355,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.500000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.1524080214,0.0736540709,-0.0928332837,0.5877566068,0.7934015462,0.5384615385,3.0000000000,0.6213333333,0.0155333333,1.2265169569,-0.0604222674,1.0152440173,0.1351044692,1.4510491942,1.1181230527,-0.0892923273,3.3217531331,12.5220507384,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0175564912,1.5677143300,-0.0744173435
7,16,composite,3.9333872688,0.3393821496,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.6175251372,0.2724277287,-0.1011426827,1.5169211787,2.6934991396,0.6923076923,2.0000000000,0.6186666667,0.0154666667,1.6525994114,-0.0212237001,1.4297459423,0.1313374561,1.0614009438,0.1276465888,-0.3794624423,0.5119156497,0.3363879387,0.4285714286,4.0000000000,0.8952380952,0.0062666667,0.9698911978,0.0943505274,0.8577957493,0.2373585957
8,2,composite,1.8190623222,0.2968597678,ret60_ret5_consistency_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.200000,true,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7499449357,0.3235908815,-0.3794624423,1.3872746214,0.8527612892,0.5384615385,4.0000000000,0.5440000000,0.0136000000,1.5988695814,0.0944888539,1.4296118375,0.2240699816,1.0077855979,0.0157578460,-0.0740961651,0.2514902637,0.2126674974,0.7142857143,1.0000000000,0.2444444444,0.0014666667,1.0411984013,-0.0320907171,0.9862275247,0.0218591275
9,14,composite,2.0215242630,-0.6877757059,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.000000,true,true,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.7872951639,0.3376695227,-0.3794624423,1.5164972896,0.8898628295,0.3600000000,2.0000000000,0.3360000000,0.0084000000,1.6570101153,0.0786265862,1.4841124168,0.2042855674,0.9909938117,-0.0180734111,-0.0581268423,-0.1250908414,-0.3109305509,0.2857142857,1.0000000000,0.4500000000,0.0027000000,1.0784888878,-0.0811274712,1.0250660327,-0.0332390499
10,5,composite,1.8700602787,0.1805231365,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.000000,true,false,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7257126738,0.3143765418,-0.3794624423,1.4002632214,0.8284786758,0.4230769231,2.0000000000,0.4080000000,0.0102000000,1.5369987063,0.1227808239,1.3484276884,0.2797962313,1.0082775514,0.0167577177,-0.0758836370,0.2055030658,0.2208344031,0.8571428571,1.0000000000,0.6857142857,0.0048000000,1.0067695353,0.0014978761,1.0470983257,-0.0370746217
