section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0198506808
test_median,final_equity,1.0064666882
test_std,final_equity,0.1235663578
train_mean,final_equity,1.1687674222
train_median,final_equity,1.0815601398
train_std,final_equity,0.2651585896
test_mean,annualized_return,0.0560770223
test_median,annualized_return,0.0130796719
test_std,annualized_return,0.2777201755
bootstrap_ci_lower,annualized_return,-0.0376111827
bootstrap_ci_upper,annualized_return,0.1695435829
bootstrap_p_positive,annualized_return,0.8582000000
train_mean,annualized_return,0.0749546003
train_median,annualized_return,0.0400618924
train_std,annualized_return,0.1168690780
test_mean,max_drawdown,-0.1112225244
test_median,max_drawdown,-0.0909976870
test_std,max_drawdown,0.0697380881
train_mean,max_drawdown,-0.1859278133
train_median,max_drawdown,-0.1471156107
train_std,max_drawdown,0.0926251239
test_mean,sharpe_ratio,0.1457025356
test_median,sharpe_ratio,0.1711311169
test_std,sharpe_ratio,1.4976488106
train_mean,sharpe_ratio,0.3843564616
train_median,sharpe_ratio,0.3767312460
train_std,sharpe_ratio,0.6511247542
test_mean,calmar_ratio,1.5117156574
test_median,calmar_ratio,0.1755831266
test_std,calmar_ratio,4.5782706388
train_mean,calmar_ratio,0.3945515514
train_median,calmar_ratio,0.2739279492
train_std,calmar_ratio,0.6332207178
test_mean,monthly_win_rate,0.4437830688
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2841268610
train_mean,monthly_win_rate,0.4015384615
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.2006144408
test_mean,max_consecutive_losing_months,1.9259259259
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2149051457
train_mean,max_consecutive_losing_months,2.7407407407
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,1.0034234951
test_mean,average_turnover,0.5519694297
test_median,average_turnover,0.5666666667
test_std,average_turnover,0.1897511394
train_mean,average_turnover,0.4927302944
train_median,average_turnover,0.4846153846
train_std,average_turnover,0.1661315939
test_mean,total_transaction_cost,0.0034925926
test_median,total_transaction_cost,0.0036000000
test_std,total_transaction_cost,0.0012731263
train_mean,total_transaction_cost,0.0122543210
train_median,total_transaction_cost,0.0126000000
train_std,total_transaction_cost,0.0039951220
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0165303102
test_median,excess_return_vs_equal_weight,-0.0095714578
test_std,excess_return_vs_equal_weight,0.0833406134
train_mean,excess_return_vs_equal_weight,0.0767941656
train_median,excess_return_vs_equal_weight,0.0618103655
train_std,excess_return_vs_equal_weight,0.1368839507
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,-0.0033230344
test_median,excess_return_vs_benchmark,-0.0083820648
test_std,excess_return_vs_benchmark,0.0901095204
train_mean,excess_return_vs_benchmark,0.1193775645
train_median,excess_return_vs_benchmark,0.1351044692
train_std,excess_return_vs_benchmark,0.1389363050
selection_count,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore1,6
selection_count,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore0,4
selection_count,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,4
selection_count,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,3
selection_count,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,3
selection_count,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore0,2
selection_count,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_ret5_consistency_top3_riskoff0p2_riskctrl1_mscore0,1
selection_count,ret60_ret5_consistency_top3_riskoff0p2_riskctrl1_mscore1,1
selection_count,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore1,1
