date,fold,selected_name,strategy,equal_weight,benchmark
2012-02-06,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0000000000,1.0000000000,1.0000000000
2012-02-07,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,0.9816381619,0.9815402433,0.9814839957
2012-02-08,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0078457026,1.0076589486,1.0095514950
2012-02-09,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0136509306,1.0143217199,1.0099468119
2012-02-10,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0187714164,1.0204023695,1.0116997828
2012-02-13,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0235925408,1.0292548946,1.0110449144
2012-02-14,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0231728644,1.0288583366,1.0071037248
2012-02-15,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0371673695,1.0446633465,1.0180847496
2012-02-16,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0346466185,1.0426526227,1.0126780923
2012-02-17,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0321608610,1.0397860204,1.0130853884
2012-02-20,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0347214860,1.0414739944,1.0145308906
2012-02-21,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0455309332,1.0534132142,1.0232118899
2012-02-22,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0635633220,1.0721631011,1.0371997189
2012-02-23,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0678163009,1.0757747635,1.0407056606
2012-02-24,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0834939695,1.0900943946,1.0573808459
2012-02-27,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0900962075,1.0949488671,1.0607949463
2012-02-28,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0895854228,1.0915562612,1.0631468822
2012-02-29,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0786687926,1.0799875477,1.0518384232
2012-03-01,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0848854569,1.0851251611,1.0515229683
2012-03-02,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.1063199942,1.1055586142,1.0701228278
2012-03-05,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.1053271584,1.1058399982,1.0632427166
2012-03-06,1,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,1.0948359919,1.0949098673,1.0466114554
