rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,3.0596438400,2.4637303664,0.2418744688,1.7303402141,0.7682325216
2,ret60_ret120_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret120,ret60;ret120,3,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,3.0281874430,2.4637303664,0.2291066767,1.7303402141,0.7500532083
3,ret60_ret120_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret120,ret60;ret120,3,0.200000,true,false,0.000000,27,2012-02-06,2026-03-05,2.9939223388,2.4637303664,0.2151988625,1.7303402141,0.7302506839
4,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.9518619079,2.4637303664,0.1981270143,1.7303402141,0.7059430763
5,ret60_ret120_top3_riskoff0_riskctrl1_mscore0,ret60_ret120,ret60;ret120,3,0.000000,true,false,0.000000,27,2012-02-06,2026-03-05,2.8905551177,2.4637303664,0.1732432888,1.7303402141,0.6705125930
6,ret60_ret120_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.8632005366,2.4637303664,0.1621403769,1.7303402141,0.6547038053
7,ret60_ret120_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,2.8008471437,2.4637303664,0.1368318473,1.7303402141,0.6186684681
8,ret60_ret120_top3_riskoff0_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,2.6442702200,2.4637303664,0.0732790634,1.7303402141,0.5281793710
9,ret60_top3_riskoff0p3_riskctrl1_mscore0,ret60,ret60,3,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.5864571249,2.4637303664,0.0498133888,1.7303402141,0.4947679675
10,ret60_top3_riskoff0p2_riskctrl1_mscore0,ret60,ret60,3,0.200000,true,false,0.000000,27,2012-02-06,2026-03-05,2.5840438097,2.4637303664,0.0488338517,1.7303402141,0.4933732619
11,ret60_top3_riskoff0p5_riskctrl1_mscore0,ret60,ret60,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.5606584664,2.4637303664,0.0393420081,1.7303402141,0.4798583802
12,ret60_top3_riskoff0_riskctrl1_mscore0,ret60,ret60,3,0.000000,true,false,0.000000,27,2012-02-06,2026-03-05,2.5488572004,2.4637303664,0.0345520091,1.7303402141,0.4730381804
13,ret60_top3_riskoff0p5_riskctrl1_mscore1,ret60,ret60,3,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.4811286056,2.4637303664,0.0070617465,1.7303402141,0.4338964011
14,ret60_top3_riskoff0p3_riskctrl1_mscore1,ret60,ret60,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.4613509428,2.4637303664,-0.0009657808,1.7303402141,0.4224664738
15,ret60_top3_riskoff0p2_riskctrl1_mscore1,ret60,ret60,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,2.4356172320,2.4637303664,-0.0114108000,1.7303402141,0.4075944212
16,ret60_top3_riskoff0_riskctrl1_mscore1,ret60,ret60,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,2.3542239658,2.4637303664,-0.0444473965,1.7303402141,0.3605555408
17,ret60_ret120_top5_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,5,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.3135326369,2.4637303664,-0.0609635419,1.7303402141,0.3370391661
18,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2891159329,2.4637303664,-0.0708740030,1.7303402141,0.3229282394
19,ret60_ret120_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret120,ret60;ret120,5,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2678803820,2.4637303664,-0.0794932705,1.7303402141,0.3106557679
20,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.2674370597,2.4637303664,-0.0796732099,1.7303402141,0.3103995626
21,ret60_ret120_top5_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,5,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.2549391959,2.4637303664,-0.0847459500,1.7303402141,0.3031767843
22,ret60_ret120_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret120,ret60;ret120,5,0.200000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2317924708,2.4637303664,-0.0941409412,1.7303402141,0.2897998051
23,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,8,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2311690405,2.4637303664,-0.0943939844,1.7303402141,0.2894395116
24,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2082910621,2.4637303664,-0.1036798944,1.7303402141,0.2762178467
25,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,8,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.2044245177,2.4637303664,-0.1052492806,1.7303402141,0.2739832894
26,ret60_ret120_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret120,ret60;ret120,5,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.1832769952,2.4637303664,-0.1138328183,1.7303402141,0.2617616914
27,ret60_ret120_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.1758030726,2.4637303664,-0.1168663981,1.7303402141,0.2574423544
28,ret60_ret120_ret5_top8_riskoff0p3_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.1704204642,2.4637303664,-0.1190511373,1.7303402141,0.2543316318
29,ret60_ret120_ret5_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,3,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.1649866134,2.4637303664,-0.1212566753,1.7303402141,0.2511912951
30,ret60_ret120_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.1427069846,2.4637303664,-0.1302997220,1.7303402141,0.2383154290
