fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,35,true,composite,-0.2977062489,-1.5142438356,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,8,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9623904806,-0.0190223565,-0.3002933225,-0.0490530859,-0.0633459191,0.3846153846,3.0000000000,0.3437500000,0.0068750000,0.8013752896,0.2009235787,0.7088902278,0.3576015621,0.9540095892,-0.0905510542,-0.1410128677,-0.5347878775,-0.6421474554,0.5714285714,2.0000000000,0.5833333333,0.0035000000,1.0047095454,-0.0504623017,0.9538996614,0.0001152404
1,2,8,false,composite,-0.2977062489,-0.7483999763,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,8,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9623904806,-0.0190223565,-0.3002933225,-0.0490530859,-0.0633459191,0.3846153846,3.0000000000,0.3437500000,0.0068750000,0.8013752896,0.2009235787,0.7088902278,0.3576015621,0.9823895179,-0.0351851501,-0.1154596722,-0.1757768310,-0.3047397366,0.5714285714,2.0000000000,0.5208333333,0.0031250000,1.0047095454,-0.0222154031,0.9538996614,0.0298667225
1,3,43,false,composite,-0.3347297202,-1.6625564677,ret60_top8_riskoff0p5_riskctrl1_mscore0,ret60,ret60,8,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9561534024,-0.0222126123,-0.3058009541,-0.0697443914,-0.0726374852,0.4230769231,3.0000000000,0.3187500000,0.0063750000,0.8013752896,0.1931406106,0.7088902278,0.3488031925,0.9470652460,-0.1038475881,-0.1479068954,-0.6041192300,-0.7021145821,0.5714285714,2.0000000000,0.6041666667,0.0036250000,1.0047095454,-0.0573740935,0.9538996614,-0.0071647110
1,4,12,false,composite,-0.3347297202,-0.9513593582,ret60_top8_riskoff0p5_riskctrl1_mscore1,ret60,ret60,8,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9561534024,-0.0222126123,-0.3058009541,-0.0697443914,-0.0726374852,0.4230769231,3.0000000000,0.3187500000,0.0063750000,0.8013752896,0.1931406106,0.7088902278,0.3488031925,0.9752385939,-0.0492911573,-0.1225587838,-0.2618673014,-0.4021837990,0.5714285714,2.0000000000,0.5416666667,0.0032500000,1.0047095454,-0.0293328073,0.9538996614,0.0223702067
1,5,69,false,composite,-0.3481079726,-2.3046859278,ret60_ret120_top8_riskoff0p3_riskctrl1_mscore0,ret60_ret120,ret60;ret120,8,0.300000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9527487559,-0.0239584657,-0.2600601860,-0.1082507735,-0.0921266192,0.4230769231,3.0000000000,0.3062500000,0.0061250000,0.8013752896,0.1888921062,0.7088902278,0.3440004087,0.9292690703,-0.1374719482,-0.1417347461,-0.9512735500,-0.9699241147,0.5714285714,2.0000000000,0.6666666667,0.0040000000,1.0047095454,-0.0750868502,0.9538996614,-0.0258209454
1,6,26,false,composite,-0.3481079726,-1.3214922723,ret60_ret120_top8_riskoff0p3_riskctrl1_mscore1,ret60_ret120,ret60;ret120,8,0.300000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9527487559,-0.0239584657,-0.2600601860,-0.1082507735,-0.0921266192,0.4230769231,3.0000000000,0.3062500000,0.0061250000,0.8013752896,0.1888921062,0.7088902278,0.3440004087,0.9680550454,-0.0633561057,-0.1059123392,-0.4361117735,-0.5981938098,0.5714285714,2.0000000000,0.5791666667,0.0034750000,1.0047095454,-0.0364826832,0.9538996614,0.0148394895
1,7,71,false,composite,-0.3663595408,-2.4359759054,ret60_top8_riskoff0p3_riskctrl1_mscore0,ret60,ret60,8,0.300000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9495467968,-0.0256032270,-0.2642874423,-0.1197796830,-0.0968764417,0.4230769231,3.0000000000,0.2812500000,0.0056250000,0.8013752896,0.1848965262,0.7088902278,0.3394835471,0.9220568681,-0.1509142789,-0.1488997343,-1.0214897208,-1.0135295382,0.5714285714,2.0000000000,0.6791666667,0.0040750000,1.0047095454,-0.0822652454,0.9538996614,-0.0333817010
1,8,36,false,composite,-0.3663595408,-1.5224191833,ret60_top8_riskoff0p3_riskctrl1_mscore1,ret60,ret60,8,0.300000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9495467968,-0.0256032270,-0.2642874423,-0.1197796830,-0.0968764417,0.4230769231,3.0000000000,0.2812500000,0.0056250000,0.8013752896,0.1848965262,0.7088902278,0.3394835471,0.9605418192,-0.0779535173,-0.1133763807,-0.5296014490,-0.6875639955,0.5714285714,2.0000000000,0.5916666667,0.0035500000,1.0047095454,-0.0439606914,0.9538996614,0.0069631619
1,9,19,false,composite,-0.3786340637,-1.1640353803,ret60_top3_riskoff0p5_riskctrl1_mscore0,ret60,ret60,3,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9599218067,-0.0202838421,-0.2860495302,-0.0591006544,-0.0709102445,0.3846153846,3.0000000000,0.6416666667,0.0128333333,0.8013752896,0.1978430321,0.7088902278,0.3541191133,0.9687536342,-0.0619929489,-0.1248896628,-0.3319766025,-0.4963817461,0.5714285714,2.0000000000,0.7000000000,0.0042000000,1.0047095454,-0.0357873689,0.9538996614,0.0155718400
1,10,3,false,composite,-0.3786340637,-0.3333097903,ret60_top3_riskoff0p5_riskctrl1_mscore1,ret60,ret60,3,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9599218067,-0.0202838421,-0.2860495302,-0.0591006544,-0.0709102445,0.3846153846,3.0000000000,0.6416666667,0.0128333333,0.8013752896,0.1978430321,0.7088902278,0.3541191133,0.9960557217,-0.0079357327,-0.1002266958,0.0185968883,-0.0791778346,0.5714285714,2.0000000000,0.6555555556,0.0039333333,1.0047095454,-0.0086132592,0.9538996614,0.0441933906
