fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,35,composite,-0.2977062489,-1.5142438356,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,8,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9623904806,-0.0190223565,-0.3002933225,-0.0490530859,-0.0633459191,0.3846153846,3.0000000000,0.3437500000,0.0068750000,0.8013752896,0.2009235787,0.7088902278,0.3576015621,0.9540095892,-0.0905510542,-0.1410128677,-0.5347878775,-0.6421474554,0.5714285714,2.0000000000,0.5833333333,0.0035000000,1.0047095454,-0.0504623017,0.9538996614,0.0001152404
2,74,composite,-0.6675644051,5.3333723106,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,8,0.500000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9337025433,-0.0337830384,-0.3037698827,-0.1194796104,-0.1112125997,0.5000000000,3.0000000000,0.3800000000,0.0095000000,0.9706880006,-0.0381023122,0.9067331160,0.0297435120,1.1329246923,0.2860839000,-0.0823287992,1.9670046276,3.4748946041,0.5714285714,2.0000000000,0.2916666667,0.0017500000,1.0823584792,0.0467185447,1.1454855866,-0.0109655630
3,67,composite,0.6821848327,-1.4970133134,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0643275651,0.0317264603,-0.1141111259,0.3547251654,0.2780312618,0.1923076923,3.0000000000,0.3600000000,0.0090000000,0.8490578385,0.2535395315,0.9193390761,0.1577094814,0.9681590034,-0.0631533156,-0.0742568668,-0.4530212369,-0.8504710513,0.0000000000,3.0000000000,0.3857142857,0.0027000000,0.9907841408,-0.0228355869,0.8515495548,0.1369379479
4,73,composite,0.8213127340,-2.0709312494,ret60_ret120_ret5_top8_riskoff0_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0691798858,0.0340803069,-0.1183869295,0.3819605957,0.2878722087,0.1538461538,2.0000000000,0.2500000000,0.0065000000,0.8024665868,0.3323668590,0.7680008866,0.3921597025,0.9496232881,-0.0989611129,-0.0985247754,-0.7580542250,-1.0044287082,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0432568742,0.9306436835,0.0203940616
5,63,composite,0.6804041274,4.8015978731,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.500000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,1.1268566958,0.0616610984,-0.1444189157,0.4811795368,0.4269599874,0.5000000000,3.0000000000,0.5493333333,0.0137333333,1.0691069061,0.0540168522,0.8679521786,0.2982935277,1.0738131371,0.1543892799,-0.0447433608,1.5906827973,3.4505517008,0.7142857143,2.0000000000,0.5111111111,0.0030666667,1.1510675988,-0.0671154864,1.1189193676,-0.0403123155
6,96,composite,1.5777912890,14.4258760467,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.500000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.2091530071,0.0998225488,-0.0949726442,0.7645213890,1.0510663326,0.5384615385,5.0000000000,0.5146666667,0.0128666667,1.2265169569,-0.0141571217,1.0152440173,0.1909974218,1.4197882316,1.0271352292,-0.0892923273,3.1414712229,11.5030625875,1.0000000000,0.0000000000,0.5000000000,0.0030000000,1.4260134025,-0.0043654365,1.5677143300,-0.0943578148
7,93,composite,4.2278396813,0.0869684213,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.500000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.6325747605,0.2783451924,-0.0949726442,1.5421360562,2.9307933321,0.6923076923,5.0000000000,0.5520000000,0.0138000000,1.6525994114,-0.0121170628,1.4297459423,0.1418635383,1.0367582674,0.0754887072,-0.3821888649,0.3836500484,0.1975167623,0.4285714286,4.0000000000,0.7238095238,0.0050666667,0.9698911978,0.0689428564,0.8577957493,0.2086306888
8,92,composite,1.7360769136,-0.0395682525,ret60_top3_riskoff0_riskctrl1_mscore1,ret60,ret60,3,0.000000,true,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7048352425,0.3063859708,-0.3759321970,1.3447304754,0.8150032726,0.3846153846,2.0000000000,0.4560000000,0.0114000000,1.5988695814,0.0662753625,1.4296118375,0.1925161766,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
9,81,composite,2.0513539184,-1.0439406048,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,true,false,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.8860356732,0.3741965627,-0.4139215860,1.5110316949,0.9040276599,0.3600000000,2.0000000000,0.3520000000,0.0088000000,1.6570101153,0.1382161496,1.4841124168,0.2708172588,0.9831008065,-0.0337763274,-0.0635237038,-0.2519253334,-0.5317121850,0.2857142857,1.0000000000,0.4333333333,0.0026000000,1.0784888878,-0.0884460493,1.0250660327,-0.0409390467
10,25,composite,1.8355229390,-1.2453806780,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,true,false,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7911961125,0.3391314272,-0.4139215860,1.3687457360,0.8193132195,0.4230769231,2.0000000000,0.4160000000,0.0104000000,1.5369987063,0.1653855694,1.3484276884,0.3283590421,0.9765258812,-0.0467595650,-0.0814143377,-0.3452996641,-0.5743406667,0.5714285714,2.0000000000,0.8571428571,0.0060000000,1.0067695353,-0.0300402953,1.0470983257,-0.0673981065
