section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0161521281
test_median,final_equity,0.9963772779
test_std,final_equity,0.1504840994
train_mean,final_equity,1.2337446494
train_median,final_equity,1.1272042831
train_std,final_equity,0.3000433400
test_mean,annualized_return,0.0560444022
test_median,annualized_return,-0.0072899672
test_std,annualized_return,0.3357163338
bootstrap_ci_lower,annualized_return,-0.0593738638
bootstrap_ci_upper,annualized_return,0.1919936044
bootstrap_p_positive,annualized_return,0.8012000000
train_mean,annualized_return,0.1035136470
train_median,annualized_return,0.0618251499
train_std,annualized_return,0.1287847825
test_mean,max_drawdown,-0.1249742264
test_median,max_drawdown,-0.1106103893
test_std,max_drawdown,0.0904728459
train_mean,max_drawdown,-0.1957669076
train_median,max_drawdown,-0.1471156107
train_std,max_drawdown,0.1103759651
test_mean,sharpe_ratio,0.1923862629
test_median,sharpe_ratio,-0.0101362251
test_std,sharpe_ratio,1.5931028587
train_mean,sharpe_ratio,0.5506705035
train_median,sharpe_ratio,0.5066563222
train_std,sharpe_ratio,0.5701867938
test_mean,calmar_ratio,1.8318497019
test_median,calmar_ratio,-0.1147597946
test_std,calmar_ratio,4.8169669533
train_mean,calmar_ratio,0.5476985711
train_median,calmar_ratio,0.3742511738
train_std,calmar_ratio,0.6711161790
test_mean,monthly_win_rate,0.3908730159
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2384587173
train_mean,monthly_win_rate,0.4102564103
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.1936561272
test_mean,max_consecutive_losing_months,1.8518518519
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.2383891479
train_mean,max_consecutive_losing_months,2.4814814815
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.7874182084
test_mean,average_turnover,0.5282627866
test_median,average_turnover,0.5714285714
test_std,average_turnover,0.2317590760
train_mean,average_turnover,0.4600593542
train_median,average_turnover,0.4320000000
train_std,average_turnover,0.1484791357
test_mean,total_transaction_cost,0.0033450617
test_median,total_transaction_cost,0.0036000000
test_std,total_transaction_cost,0.0015615613
train_mean,total_transaction_cost,0.0114975309
train_median,total_transaction_cost,0.0108000000
train_std,total_transaction_cost,0.0037528253
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0221776209
test_median,excess_return_vs_equal_weight,-0.0117839687
test_std,excess_return_vs_equal_weight,0.0984528007
train_mean,excess_return_vs_equal_weight,0.1301416535
train_median,excess_return_vs_equal_weight,0.0896915930
train_std,excess_return_vs_equal_weight,0.1215367463
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,-0.0083279141
test_median,excess_return_vs_benchmark,-0.0279872260
test_std,excess_return_vs_benchmark,0.1124412188
train_mean,excess_return_vs_benchmark,0.1760080430
train_median,excess_return_vs_benchmark,0.1586442430
train_std,excess_return_vs_benchmark,0.1348486662
selection_count,ret60_consistency_m_accel_top5_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_consistency_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_m_accel_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_m_accel_top8_riskoff0_riskctrl0_mscore1,2
selection_count,ret60_top3_riskoff0_riskctrl0_mscore1,2
selection_count,ret60_consistency_m_accel_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_consistency_m_accel_top3_riskoff0p2_riskctrl1_mscore0,1
selection_count,ret60_consistency_m_accel_top3_riskoff0p5_riskctrl0_mscore1,1
selection_count,ret60_consistency_m_accel_top5_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_consistency_m_accel_top8_riskoff0_riskctrl0_mscore1,1
selection_count,ret60_consistency_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_consistency_top3_riskoff0_riskctrl0_mscore1,1
selection_count,ret60_consistency_top5_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_consistency_top8_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_m_accel_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_m_accel_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_top3_riskoff0p3_riskctrl0_mscore1,1
selection_count,ret60_top3_riskoff0p5_riskctrl0_mscore1,1
selection_count,ret60_top8_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_top8_riskoff0_riskctrl0_mscore1,1
