rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2021,0.0000000000
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2022,0.0000000000
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2023,-0.0021749921
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2024,-0.0128268508
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2025,0.2286245692
2,ret60_prosperity_top5_riskoff0_riskctrl1_mscore0,ret60_prosperity,2026,0.0986797642
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2022,0.0000000000
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2023,-0.0460502867
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2024,0.0855671140
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2025,0.1862084782
3,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2026,0.0647373348
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2022,-0.0207204211
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2023,0.0021459807
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2024,0.0601824907
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2025,0.1195094564
4,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
5,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2022,-0.0312018978
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2023,-0.0107455630
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2024,0.0653782866
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1216823255
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2021,0.0000000000
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2022,0.0000000000
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2023,0.0080252116
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2024,0.0245772077
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2025,0.1355137312
7,rel_ret60_ret5_prosperity_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_prosperity,2026,0.0931187866
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2022,-0.0207204211
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2023,-0.0557626859
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2024,0.0898789262
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2025,0.1786612383
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2026,0.0761381721
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2021,0.0000000000
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2022,-0.0283117073
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2023,-0.0370072149
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2024,-0.0022461438
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2025,0.2363734965
9,ret60_prosperity_top5_riskoff0p2_riskctrl1_mscore0,ret60_prosperity,2026,0.0986797642
10,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
10,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2022,-0.0312018978
