rank,name,factor_set,year,annual_return
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2021,0.0000000000
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2022,0.0000000000
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2023,-0.0460502867
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2024,0.0855671140
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2025,0.1862084782
1,rel_ret60_ret5_top5_riskoff0_pmequal_t1,rel_ret60_ret5,2026,0.0647373348
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2021,0.0000000000
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2022,0.0000000000
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2023,-0.0499481020
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2024,0.0419780111
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2025,0.2175882598
2,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1,rel_ret60_ret5,2026,0.0615292997
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2021,0.0000000000
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2022,0.0000000000
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2023,-0.0486481218
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2024,0.0387598190
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2025,0.2175201393
3,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p75,rel_ret60_ret5,2026,0.0615607842
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2021,0.0000000000
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2022,0.0000000000
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2023,-0.0502255629
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2024,0.0471289709
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2025,0.2078853135
4,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t1p5,rel_ret60_ret5,2026,0.0608215764
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2021,0.0000000000
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2022,0.0000000000
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2023,-0.0469018464
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2024,0.0369883654
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2025,0.2164356064
5,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t0p5,rel_ret60_ret5,2026,0.0597998292
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2021,0.0000000000
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2022,0.0000000000
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2023,-0.0494123503
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2024,0.0512183473
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2025,0.2004948121
6,rel_ret60_ret5_top5_riskoff0_pmsoftmax_t2,rel_ret60_ret5,2026,0.0602137442
