rank,name,factor_set,year,annual_return
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2021,0.0000000000
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2022,-0.1274742654
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2023,-0.0627689833
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2024,0.0855671140
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2025,0.2072189188
1,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore1,rel_ret60_ret5,2026,0.0647373348
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2022,-0.1274742654
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2023,-0.0627689833
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2024,0.0855671140
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2025,0.2072189188
2,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,2026,0.0647373348
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2021,0.0000000000
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2022,-0.1064041007
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2023,-0.0996571464
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2024,0.0923271421
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2025,0.1367146587
3,rel_ret60_ret5_top5_riskoff0_riskctrl0_mscore0,rel_ret60_ret5,2026,0.1223162330
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2022,-0.1064041007
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2023,-0.0996571464
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2024,0.0923271421
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2025,0.1367146587
4,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,2026,0.1223162330
