date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2014-08-15,2014-08-14,2014-09-12,19,28,0.0943003024,0.0329232750,0.0772096951,0.0613770274,0.0170906073,1.0000000000,1.0000000000,0.0010000000,true,true,0.1057570025,true,有色金属;国防军工;钢铁;汽车;电气设备
2014-09-15,2014-09-12,2014-10-20,19,35,0.0188798385,0.0071886066,0.0220024429,0.0116912320,-0.0031226044,1.0000000000,0.0000000000,0.0000000000,true,true,0.1676961799,true,国防军工;有色金属;钢铁;汽车;电气设备
2014-10-21,2014-10-20,2014-11-17,19,27,0.0213411593,0.0549480355,0.0285661716,-0.0336068761,-0.0072250123,1.0000000000,1.2000000000,0.0012000000,true,true,0.1609907541,true,国防军工;综合;钢铁;纺织服装;机械设备
2014-11-18,2014-11-17,2014-12-15,19,27,0.2195304989,0.2659182662,0.1523363806,-0.0463877672,0.0671941184,1.0000000000,0.8000000000,0.0008000000,true,true,0.1010282269,true,国防军工;交通运输;建筑装饰;机械设备;钢铁
2014-12-16,2014-12-15,2015-01-14,19,29,0.0294223056,0.0602470182,-0.0142978186,-0.0308247127,0.0437201242,1.0000000000,1.2000000000,0.0012000000,true,true,0.2478723631,true,非银金融;银行;钢铁;交通运输;房地产
2015-01-15,2015-01-14,2015-02-11,19,27,-0.0424794193,-0.0471682408,0.0205219143,0.0046888214,-0.0630013336,1.0000000000,0.4000000000,0.0004000000,true,true,0.2871896712,true,非银金融;建筑装饰;银行;钢铁;交通运输
2015-02-12,2015-02-11,2015-03-18,19,34,0.1455644508,0.1171057867,0.1747249422,0.0284586640,-0.0291604914,1.0000000000,0.4000000000,0.0004000000,true,true,0.2754239055,true,非银金融;钢铁;建筑装饰;房地产;银行
2015-03-19,2015-03-18,2015-04-16,19,28,0.1390168052,0.1754832358,0.1627823216,-0.0364664307,-0.0237655165,1.0000000000,2.0000000000,0.0020000000,true,true,0.2231438286,true,计算机;传媒;纺织服装;家用电器;商业贸易
2015-04-17,2015-04-16,2015-05-15,19,28,0.2211911656,0.0046408508,0.0966523317,0.2165503148,0.1245388339,1.0000000000,0.4000000000,0.0004000000,true,true,0.3755491318,true,计算机;纺织服装;传媒;轻工制造;商业贸易
2015-05-18,2015-05-15,2015-06-12,19,25,0.2154244996,0.1661107638,0.2674015401,0.0493137358,-0.0519770405,1.0000000000,0.8000000000,0.0008000000,true,true,0.4724746012,true,建筑装饰;计算机;机械设备;传媒;轻工制造
