section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0198641474
test_median,final_equity,1.0000000000
test_std,final_equity,0.0817206105
train_mean,final_equity,1.1846742022
train_median,final_equity,1.1107845396
train_std,final_equity,0.3484347474
test_mean,annualized_return,0.0472945477
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.1748926176
bootstrap_ci_lower,annualized_return,-0.0464634215
bootstrap_ci_upper,annualized_return,0.1576886646
bootstrap_p_positive,annualized_return,0.8064000000
train_mean,annualized_return,0.0774416147
train_median,annualized_return,0.0540477144
train_std,annualized_return,0.1558559127
test_mean,max_drawdown,-0.0897803029
test_median,max_drawdown,-0.0844744717
test_std,max_drawdown,0.0434214652
train_mean,max_drawdown,-0.2649175673
train_median,max_drawdown,-0.1975637380
train_std,max_drawdown,0.1250815226
test_mean,sharpe_ratio,0.0987804124
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,0.8515670089
train_mean,sharpe_ratio,0.2337464026
train_median,sharpe_ratio,0.3903841085
train_std,sharpe_ratio,0.7466546646
test_mean,calmar_ratio,0.5137268181
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,1.8493568873
train_mean,calmar_ratio,0.2050222332
train_median,calmar_ratio,0.1700073653
train_std,calmar_ratio,0.6090827011
test_mean,monthly_win_rate,0.3051948052
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2085896832
train_mean,monthly_win_rate,0.3137062937
train_median,monthly_win_rate,0.3076923077
train_std,monthly_win_rate,0.0860350193
test_mean,max_consecutive_losing_months,1.2727272727
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.8624393619
train_mean,max_consecutive_losing_months,2.9090909091
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.7925270806
test_mean,average_turnover,0.5571428571
test_median,average_turnover,0.5666666667
test_std,average_turnover,0.2811174216
train_mean,average_turnover,0.5500699301
train_median,average_turnover,0.5200000000
train_std,average_turnover,0.0864450713
test_mean,total_transaction_cost,0.0035272727
test_median,total_transaction_cost,0.0038000000
test_std,total_transaction_cost,0.0017995408
train_mean,total_transaction_cost,0.0136181818
train_median,total_transaction_cost,0.0130000000
train_std,total_transaction_cost,0.0024307942
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,0.0019121111
test_median,excess_return_vs_equal_weight,-0.0212625450
test_std,excess_return_vs_equal_weight,0.1435195982
train_mean,excess_return_vs_equal_weight,0.0420475698
train_median,excess_return_vs_equal_weight,0.0950128725
train_std,excess_return_vs_equal_weight,0.1475617732
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0186107894
test_median,excess_return_vs_benchmark,-0.0533118467
test_std,excess_return_vs_benchmark,0.1248742898
train_mean,excess_return_vs_benchmark,-0.0232285158
train_median,excess_return_vs_benchmark,-0.0923131235
train_std,excess_return_vs_benchmark,0.1968522478
selection_count,rel_ret60_ret5_top5_riskoff0,11
