fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,3,true,composite,1.8254392163,-2.3907224711,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8479314652,0.3602164585,-0.4393501440,1.3721547658,0.8198846944,0.3461538462,2.0000000000,0.5000000000,0.0100000000,1.5428358333,0.1977499001,1.3797702591,0.3393037377,0.9585734978,-0.0817586584,-0.0671864370,-0.8723317823,-1.2168923079,0.1428571429,1.0000000000,0.5000000000,0.0030000000,1.0762168542,-0.1093119439,1.0375666780,-0.0761331121
1,2,1,false,composite,1.6245729471,-1.9193118573,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8172953629,0.3488716827,-0.4664120543,1.2951018296,0.7479902790,0.3461538462,2.0000000000,0.5200000000,0.0104000000,1.5428358333,0.1778928929,1.3797702591,0.3170999671,0.9633929691,-0.0724276367,-0.0769333878,-0.6544449327,-0.9414330863,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0762168542,-0.1048337839,1.0375666780,-0.0714881371
1,3,2,false,composite,1.6245729471,-1.9193118573,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8172953629,0.3488716827,-0.4664120543,1.2951018296,0.7479902790,0.3461538462,2.0000000000,0.5200000000,0.0104000000,1.5428358333,0.1778928929,1.3797702591,0.3170999671,0.9633929691,-0.0724276367,-0.0769333878,-0.6544449327,-0.9414330863,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0762168542,-0.1048337839,1.0375666780,-0.0714881371
2,1,3,true,composite,1.5132782940,-1.7751176176,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7420322143,0.3205891033,-0.4393501440,1.2350367066,0.7296893097,0.3461538462,2.0000000000,0.4800000000,0.0120000000,1.5723697144,0.1079024217,1.3913822843,0.2520155201,0.9677132740,-0.0640226404,-0.0762464821,-0.6000331498,-0.8396799261,0.3750000000,1.0000000000,0.7000000000,0.0042000000,1.0566378667,-0.0841580597,1.0727728984,-0.0979327727
2,2,1,false,composite,1.3421083505,-1.7751176176,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7217650775,0.3128693633,-0.4664120543,1.1707071952,0.6708003371,0.3461538462,2.0000000000,0.5120000000,0.0128000000,1.5723697144,0.0950128725,1.3913822843,0.2374493314,0.9677132740,-0.0640226404,-0.0762464821,-0.6000331498,-0.8396799261,0.3750000000,1.0000000000,0.7000000000,0.0042000000,1.0566378667,-0.0841580597,1.0727728984,-0.0979327727
2,3,2,false,composite,1.3421083505,-1.7751176176,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7217650775,0.3128693633,-0.4664120543,1.1707071952,0.6708003371,0.3461538462,2.0000000000,0.5120000000,0.0128000000,1.5723697144,0.0950128725,1.3913822843,0.2374493314,0.9677132740,-0.0640226404,-0.0762464821,-0.6000331498,-0.8396799261,0.3750000000,1.0000000000,0.7000000000,0.0042000000,1.0566378667,-0.0841580597,1.0727728984,-0.0979327727
3,1,3,true,composite,0.0853357149,-2.9862769859,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.1681353458,0.0809700796,-0.4393501440,0.4754689887,0.1842951021,0.2692307692,2.0000000000,0.5040000000,0.0126000000,1.1788371023,-0.0090782318,1.0102141140,0.1563245154,0.9211945908,-0.1525142972,-0.1129419419,-1.2918666460,-1.3503778551,0.1428571429,2.0000000000,0.6000000000,0.0042000000,1.0024867886,-0.0810905428,1.1124362466,-0.1719124637
3,2,1,false,composite,0.0143931490,-2.6693143213,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.1645217503,0.0792934845,-0.4664120543,0.4529414600,0.1700073653,0.2692307692,2.0000000000,0.5200000000,0.0130000000,1.1788371023,-0.0121436219,1.0102141140,0.1527474563,0.9305663830,-0.1350426834,-0.1118197129,-1.1423560659,-1.2076822583,0.1428571429,2.0000000000,0.5428571429,0.0038000000,1.0024867886,-0.0717419985,1.1124362466,-0.1634878980
3,3,2,false,composite,0.0143931490,-2.6693143213,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.1645217503,0.0792934845,-0.4664120543,0.4529414600,0.1700073653,0.2692307692,2.0000000000,0.5200000000,0.0130000000,1.1788371023,-0.0121436219,1.0102141140,0.1527474563,0.9305663830,-0.1350426834,-0.1118197129,-1.1423560659,-1.2076822583,0.1428571429,2.0000000000,0.5428571429,0.0038000000,1.0024867886,-0.0717419985,1.1124362466,-0.1634878980
4,1,2,true,composite,-1.6037935491,-1.2358492341,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2015-09-09,2017-10-12,2017-10-13,2018-04-18,0.8658919428,-0.0696000338,-0.1735483159,-0.7130415712,-0.4010412514,0.1923076923,2.0000000000,0.4384615385,0.0114000000,1.0912958564,-0.2065470260,1.1511012529,-0.2477708276,0.9647186434,-0.0698526489,-0.1194285837,-0.3606798217,-0.5848905407,0.4285714286,2.0000000000,1.0333333333,0.0062000000,0.8871114336,0.0874830454,0.9605406784,0.0043495971
