fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,3,composite,1.8254392163,-2.3907224711,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8479314652,0.3602164585,-0.4393501440,1.3721547658,0.8198846944,0.3461538462,2.0000000000,0.5000000000,0.0100000000,1.5428358333,0.1977499001,1.3797702591,0.3393037377,0.9585734978,-0.0817586584,-0.0671864370,-0.8723317823,-1.2168923079,0.1428571429,1.0000000000,0.5000000000,0.0030000000,1.0762168542,-0.1093119439,1.0375666780,-0.0761331121
2,3,composite,1.5132782940,-1.7751176176,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7420322143,0.3205891033,-0.4393501440,1.2350367066,0.7296893097,0.3461538462,2.0000000000,0.4800000000,0.0120000000,1.5723697144,0.1079024217,1.3913822843,0.2520155201,0.9677132740,-0.0640226404,-0.0762464821,-0.6000331498,-0.8396799261,0.3750000000,1.0000000000,0.7000000000,0.0042000000,1.0566378667,-0.0841580597,1.0727728984,-0.0979327727
3,3,composite,0.0853357149,-2.9862769859,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.1681353458,0.0809700796,-0.4393501440,0.4754689887,0.1842951021,0.2692307692,2.0000000000,0.5040000000,0.0126000000,1.1788371023,-0.0090782318,1.0102141140,0.1563245154,0.9211945908,-0.1525142972,-0.1129419419,-1.2918666460,-1.3503778551,0.1428571429,2.0000000000,0.6000000000,0.0042000000,1.0024867886,-0.0810905428,1.1124362466,-0.1719124637
4,2,composite,-1.6037935491,-1.2358492341,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2015-09-09,2017-10-12,2017-10-13,2018-04-18,0.8658919428,-0.0696000338,-0.1735483159,-0.7130415712,-0.4010412514,0.1923076923,2.0000000000,0.4384615385,0.0114000000,1.0912958564,-0.2065470260,1.1511012529,-0.2477708276,0.9647186434,-0.0698526489,-0.1194285837,-0.3606798217,-0.5848905407,0.4285714286,2.0000000000,1.0333333333,0.0062000000,0.8871114336,0.0874830454,0.9605406784,0.0043495971
5,1,composite,-1.5459939644,0.3375810825,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2016-03-18,2018-04-18,2018-04-19,2018-10-24,0.8466503368,-0.0800162040,-0.2102721932,-0.6107287167,-0.3805363078,0.3076923077,3.0000000000,0.7200000000,0.0180000000,1.0132932479,-0.1644567468,1.1873668016,-0.2869513147,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7476182290,0.3375810825,0.8363939725,0.1956088075
6,1,composite,-0.8840635423,-1.5506739235,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2016-09-23,2018-10-24,2018-10-25,2019-04-30,0.8849372971,-0.0594032390,-0.1927559937,-0.4748925331,-0.3081784275,0.2692307692,3.0000000000,0.6000000000,0.0150000000,0.7126456526,0.2417634120,0.9732970659,-0.0907839671,0.9594956330,-0.0799769823,-0.1095582874,-0.3941182718,-0.7299948200,0.1428571429,1.0000000000,0.3000000000,0.0018000000,1.2658296223,-0.2420025443,1.2250564285,-0.2167743373
7,3,composite,-1.0904593802,1.4186228224,rel_ret60_ret5_prosperity_top5_riskoff0,rel_ret60_ret5_prosperity,rel_ret60;ret5;prosperity,5,0.000000,true,true,0.000000,2017-04-07,2019-04-30,2019-05-06,2019-11-06,0.8774225743,-0.0634133796,-0.1470194156,-0.4191808177,-0.4313265656,0.2000000000,3.0000000000,0.5040000000,0.0126000000,0.8493371859,0.0330674187,1.1125101636,-0.2113127565,1.0449995075,0.0927933133,-0.0846846017,0.5961159685,1.0957519009,0.7142857143,2.0000000000,0.8571428571,0.0060000000,1.0187908391,0.0257252690,1.0814900858,-0.0337410197
8,1,composite,-0.5730472500,3.8147490289,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2017-10-13,2019-11-06,2019-11-07,2020-05-15,0.9224746953,-0.0396215765,-0.2400868534,-0.1788806796,-0.1650301795,0.3076923077,4.0000000000,0.5600000000,0.0140000000,0.8014894866,0.1509504625,1.0162917623,-0.0923131235,1.1515670314,0.3291043311,-0.1284729353,1.3947585297,2.5616627373,0.5714285714,1.0000000000,0.5000000000,0.0030000000,1.0357675025,0.1118006972,0.9801947954,0.1748348765
9,2,composite,0.5515802162,6.2238113112,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2018-04-19,2020-05-15,2020-05-18,2020-11-19,1.1107845396,0.0540477144,-0.1975637380,0.3903841085,0.2735710256,0.3076923077,4.0000000000,0.4320000000,0.0108000000,0.9309377701,0.1931888202,1.0264911434,0.0821179966,1.1892370084,0.4182119033,-0.0844744717,1.5704660287,4.9507489658,0.2857142857,3.0000000000,0.7666666667,0.0046000000,1.2150725430,-0.0212625450,1.2562077641,-0.0533118467
10,1,composite,1.0408614156,-0.0615965513,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2018-10-25,2020-11-19,2020-11-20,2021-05-28,1.3209860829,0.1496596744,-0.1975637380,0.7657053127,0.7575260312,0.3846153846,4.0000000000,0.6160000000,0.0154000000,1.5197831234,-0.1308061904,1.5427400597,-0.1437403375,1.0093682354,0.0189762484,-0.1655439877,0.1967382208,0.1146296444,0.4285714286,1.0000000000,0.6857142857,0.0048000000,1.0470536407,-0.0359918574,1.0764268331,-0.0622974044
