fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,3,composite,1.6245729471,-1.9193118573,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8172953629,0.3488716827,-0.4664120543,1.2951018296,0.7479902790,0.3461538462,2.0000000000,0.5200000000,0.0104000000,1.5428358333,0.1778928929,1.3797702591,0.3170999671,0.9633929691,-0.0724276367,-0.0769333878,-0.6544449327,-0.9414330863,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0762168542,-0.1048337839,1.0375666780,-0.0714881371
2,3,composite,1.3421083505,-1.7751176176,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7217650775,0.3128693633,-0.4664120543,1.1707071952,0.6708003371,0.3461538462,2.0000000000,0.5120000000,0.0128000000,1.5723697144,0.0950128725,1.3913822843,0.2374493314,0.9677132740,-0.0640226404,-0.0762464821,-0.6000331498,-0.8396799261,0.3750000000,1.0000000000,0.7000000000,0.0042000000,1.0566378667,-0.0841580597,1.0727728984,-0.0979327727
3,1,composite,0.0197763184,-2.4607037768,rel_ret60_ret5_top5_riskoff0p1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.1710095821,0.0823017881,-0.4664120543,0.4637711591,0.1764572492,0.6538461538,4.0000000000,0.5896000000,0.0147400000,1.1788371023,-0.0066400355,1.0102141140,0.1591696907,0.9377186252,-0.1215880305,-0.1069596342,-1.0102282075,-1.1367655798,0.4285714286,2.0000000000,0.5685714286,0.0039800000,1.0024867886,-0.0646074983,1.1124362466,-0.1570585478
4,3,composite,-1.3846745893,-1.3864172896,rel_ret60_ret5_top5_riskoff0p1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2015-09-09,2017-10-12,2017-10-13,2018-04-18,0.8881093127,-0.0577156334,-0.1676644004,-0.5613964772,-0.3442330825,0.6153846154,3.0000000000,0.5007692308,0.0130200000,1.0912958564,-0.1861883215,1.1511012529,-0.2284698583,0.9590940893,-0.0807530269,-0.1231795691,-0.4313088666,-0.6555715976,0.4285714286,2.0000000000,1.0300000000,0.0061800000,0.8871114336,0.0811427437,0.9605406784,-0.0015060155
5,3,composite,-1.4492744068,-3.4743135961,rel_ret60_ret5_top5_riskoff0p1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2016-03-18,2018-04-18,2018-04-19,2018-10-24,0.8602938711,-0.0726184509,-0.1835859193,-0.5363406197,-0.3955556677,0.5769230769,3.0000000000,0.7312000000,0.0182800000,1.0132932479,-0.1509922001,1.1873668016,-0.2754607339,0.9725693495,-0.0545297094,-0.0360686415,-2.2006371232,-1.5118315281,0.1428571429,5.0000000000,0.1066666667,0.0006400000,0.7476182290,0.3008903633,0.8363939725,0.1628124802
6,3,composite,-1.0070147541,-1.8985035015,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2016-09-23,2018-10-24,2018-10-25,2019-04-30,0.8724022459,-0.0661019731,-0.1845434801,-0.5464533633,-0.3581918641,0.2692307692,3.0000000000,0.5680000000,0.0142000000,0.7126456526,0.2241739534,0.9732970659,-0.1036629243,0.9492928659,-0.0995930518,-0.1095582874,-0.5381741609,-0.9090416998,0.1428571429,1.0000000000,0.3666666667,0.0022000000,1.2658296223,-0.2500626868,1.2250564285,-0.2251027431
7,3,composite,-1.2743069838,3.1031673067,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2017-04-07,2019-04-30,2019-05-06,2019-11-06,0.8557960819,-0.0750507160,-0.1577800346,-0.5264648321,-0.4756667482,0.2000000000,3.0000000000,0.4880000000,0.0122000000,0.8493371859,0.0076046311,1.1125101636,-0.2307521226,1.0888618438,0.1872361811,-0.0823759757,1.0438182408,2.2729464445,0.7142857143,2.0000000000,0.8000000000,0.0056000000,1.0187908391,0.0687785971,1.0814900858,0.0068162973
8,1,composite,-0.5730472500,3.8147490289,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2017-10-13,2019-11-06,2019-11-07,2020-05-15,0.9224746953,-0.0396215765,-0.2400868534,-0.1788806796,-0.1650301795,0.3076923077,4.0000000000,0.5600000000,0.0140000000,0.8014894866,0.1509504625,1.0162917623,-0.0923131235,1.1515670314,0.3291043311,-0.1284729353,1.3947585297,2.5616627373,0.5714285714,1.0000000000,0.5000000000,0.0030000000,1.0357675025,0.1118006972,0.9801947954,0.1748348765
9,3,composite,0.5515802162,6.2238113112,rel_ret60_ret5_top5_riskoff0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2018-04-19,2020-05-15,2020-05-18,2020-11-19,1.1107845396,0.0540477144,-0.1975637380,0.3903841085,0.2735710256,0.3076923077,4.0000000000,0.4320000000,0.0108000000,0.9309377701,0.1931888202,1.0264911434,0.0821179966,1.1892370084,0.4182119033,-0.0844744717,1.5704660287,4.9507489658,0.2857142857,3.0000000000,0.7666666667,0.0046000000,1.2150725430,-0.0212625450,1.2562077641,-0.0533118467
10,1,composite,1.2177681400,0.0822473665,rel_ret60_ret5_top5_riskoff0p1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2018-10-25,2020-11-19,2020-11-20,2021-05-28,1.3546957725,0.1642652715,-0.1921635820,0.8239373293,0.8548199910,0.6153846154,4.0000000000,0.6408000000,0.0160200000,1.5197831234,-0.1086255982,1.5427400597,-0.1218898064,1.0161382272,0.0328014153,-0.1655439877,0.2563171151,0.1981431991,0.5714285714,1.0000000000,0.7085714286,0.0049600000,1.0470536407,-0.0295261028,1.0764268331,-0.0560080853
11,3,composite,2.4137674252,0.1783945471,rel_ret60_ret5_top5_riskoff0p1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2019-05-06,2021-05-28,2021-05-31,2021-12-07,1.5537542131,0.2470429185,-0.1655439877,1.1200702730,1.4923098200,0.6400000000,3.0000000000,0.7123076923,0.0185200000,1.3569808101,0.1450082430,1.4441353518,0.0759062238,1.0027080533,0.0054669460,-0.0327295078,0.1258732626,0.1670341641,0.5000000000,2.0000000000,0.2566666667,0.0015400000,1.0206892346,-0.0176167052,0.9231989827,0.0861234383
