section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0180266670
test_median,final_equity,0.9725693495
test_std,final_equity,0.0823690532
train_mean,final_equity,1.1934891595
train_median,final_equity,1.1107845396
train_std,final_equity,0.3472216613
test_mean,annualized_return,0.0436278801
test_median,annualized_return,-0.0545297094
test_std,annualized_return,0.1763205707
bootstrap_ci_lower,annualized_return,-0.0492852139
bootstrap_ci_upper,annualized_return,0.1551338391
bootstrap_p_positive,annualized_return,0.7848000000
train_mean,annualized_return,0.0816627626
train_median,annualized_return,0.0540477144
train_std,annualized_return,0.1549563931
test_mean,max_drawdown,-0.0929584437
test_median,max_drawdown,-0.0844744717
test_std,max_drawdown,0.0375365006
train_mean,max_drawdown,-0.2625607417
train_median,max_drawdown,-0.1921635820
train_std,max_drawdown,0.1265169042
test_mean,sharpe_ratio,-0.0948721149
test_median,sharpe_ratio,-0.4313088666
test_std,sharpe_ratio,1.0707332900
train_mean,sharpe_ratio,0.2649487203
train_median,sharpe_ratio,0.3903841085
train_std,sharpe_ratio,0.7253327548
test_mean,calmar_ratio,0.3778374630
test_median,calmar_ratio,-0.6555715976
test_std,calmar_ratio,1.9343889208
train_mean,calmar_ratio,0.2252064691
train_median,calmar_ratio,0.1764572492
train_std,calmar_ratio,0.6158515959
test_mean,monthly_win_rate,0.3912337662
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.1859599002
train_mean,monthly_win_rate,0.4434965035
train_median,monthly_win_rate,0.3461538462
train_std,monthly_win_rate,0.1665833492
test_mean,max_consecutive_losing_months,1.9090909091
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.1642044068
train_mean,max_consecutive_losing_months,3.1818181818
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.7158188976
test_mean,average_turnover,0.5791341991
test_median,average_turnover,0.5685714286
test_std,average_turnover,0.2518071414
train_mean,average_turnover,0.5686069930
train_median,average_turnover,0.5600000000
train_std,average_turnover,0.0895144851
test_mean,total_transaction_cost,0.0036636364
test_median,total_transaction_cost,0.0039800000
test_std,total_transaction_cost,0.0016329297
train_mean,total_transaction_cost,0.0140890909
train_median,total_transaction_cost,0.0140000000
train_std,total_transaction_cost,0.0025614252
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,-0.0008595437
test_median,excess_return_vs_equal_weight,-0.0212625450
test_std,excess_return_vs_equal_weight,0.1350936821
train_mean,excess_return_vs_equal_weight,0.0492168837
train_median,excess_return_vs_equal_weight,0.0950128725
train_std,excess_return_vs_equal_weight,0.1397346512
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0210746414
test_median,excess_return_vs_benchmark,-0.0533118467
test_std,excess_return_vs_benchmark,0.1189631881
train_mean,excess_return_vs_benchmark,-0.0164368509
train_median,excess_return_vs_benchmark,-0.0923131235
train_std,excess_return_vs_benchmark,0.1924132125
selection_count,rel_ret60_ret5_top5_riskoff0,6
selection_count,rel_ret60_ret5_top5_riskoff0p1,5
