industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
食品饮料,18,0.2022471910,18,0,0.2000000000
钢铁,15,0.1685393258,15,0,0.2000000000
国防军工,14,0.1573033708,14,0,0.2000000000
电子,14,0.1573033708,14,0,0.2000000000
家用电器,12,0.1348314607,12,0,0.2000000000
非银金融,12,0.1348314607,12,0,0.2000000000
休闲服务,11,0.1235955056,11,0,0.2000000000
有色金属,11,0.1235955056,11,0,0.2000000000
电气设备,11,0.1235955056,11,0,0.2000000000
传媒,10,0.1123595506,10,0,0.2000000000
计算机,10,0.1123595506,10,0,0.2000000000
银行,9,0.1011235955,9,0,0.2000000000
建筑材料,8,0.0898876404,8,0,0.2000000000
建筑装饰,8,0.0898876404,8,0,0.2000000000
医药生物,7,0.0786516854,7,0,0.2000000000
汽车,7,0.0786516854,7,0,0.2000000000
通信,6,0.0674157303,6,0,0.2000000000
机械设备,5,0.0561797753,5,0,0.2000000000
纺织服装,5,0.0561797753,5,0,0.2000000000
采掘,5,0.0561797753,5,0,0.2000000000
农林牧渔,4,0.0449438202,4,0,0.2000000000
商业贸易,4,0.0449438202,4,0,0.2000000000
综合,4,0.0449438202,4,0,0.2000000000
交通运输,3,0.0337078652,3,0,0.2000000000
房地产,3,0.0337078652,3,0,0.2000000000
轻工制造,2,0.0224719101,2,0,0.2000000000
公用事业,1,0.0112359551,1,0,0.2000000000
化工,1,0.0112359551,1,0,0.2000000000
