rank,name,factor_set,year,annual_return
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2021,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2022,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2023,-0.0291359574
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2024,-0.0027416398
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2025,0.2222360061
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2026,0.1174325715
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2021,0.0000000000
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2022,-0.1232268619
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2023,0.0704271828
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2024,-0.0273217100
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2025,0.1337981078
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,2026,0.1486844620
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2021,0.0000000000
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2022,-0.1232268619
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2023,0.0371117383
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2024,-0.0273217100
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2025,0.1508273799
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,2026,0.1613005782
