rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,risk_control_mode,soft_exposure_min,state_aware_risk_control,portfolio_mode,softmax_temperature,adaptive_top_k,risk_control_dual_ma,regime_aware_factors,bull_exposure,sideways_exposure,bear_exposure,bull_threshold,bear_threshold,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.3223380724,0.0678197755,-0.1873714163,0.5026011083,0.3619536899,0.2727272727,2.0000000000,0.4375000000,0.0210000000,1.0374609450,0.2745907003,0.9667099414,0.3678747014
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.000000,0.000000,48,1.2384544775,0.0515099685,-0.3392459057,0.3773043981,0.1518366696,0.3636363636,3.0000000000,0.6250000000,0.0300000000,1.0374609450,0.1937359989,0.9667099414,0.2811024532
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.500000,0.000000,48,1.2384544775,0.0515099685,-0.3392459057,0.3773043981,0.1518366696,0.3636363636,3.0000000000,0.6250000000,0.0300000000,1.0374609450,0.1937359989,0.9667099414,0.2811024532
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.000000,-0.500000,48,1.2270985001,0.0492375529,-0.3068255919,0.3594724449,0.1604740745,0.4000000000,5.0000000000,0.7013888889,0.0336666667,1.0374609450,0.1827900665,0.9667099414,0.2693554163
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.000000,-1.000000,48,1.2270985001,0.0492375529,-0.3068255919,0.3594724449,0.1604740745,0.4000000000,5.0000000000,0.7013888889,0.0336666667,1.0374609450,0.1827900665,0.9667099414,0.2693554163
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.500000,-0.500000,48,1.2270985001,0.0492375529,-0.3068255919,0.3594724449,0.1604740745,0.4000000000,5.0000000000,0.7013888889,0.0336666667,1.0374609450,0.1827900665,0.9667099414,0.2693554163
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,1.500000,-1.000000,48,1.2270985001,0.0492375529,-0.3068255919,0.3594724449,0.1604740745,0.4000000000,5.0000000000,0.7013888889,0.0336666667,1.0374609450,0.1827900665,0.9667099414,0.2693554163
8,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0_bt1_brt0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.700000,0.000000,1.000000,0.000000,48,1.2234876397,0.0485116218,-0.3392459057,0.3580781354,0.1429984002,0.3636363636,3.0000000000,0.6500000000,0.0312000000,1.0374609450,0.1793095881,0.9667099414,0.2656202107
9,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0_bt1p5_brt0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.700000,0.000000,1.500000,0.000000,48,1.2234876397,0.0485116218,-0.3392459057,0.3580781354,0.1429984002,0.3636363636,3.0000000000,0.6500000000,0.0312000000,1.0374609450,0.1793095881,0.9667099414,0.2656202107
10,ret60_ret5_consistency_top3_stateaware_bull1_side0p9_bear0_bt1_brt0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.900000,0.000000,1.000000,0.000000,48,1.2079184330,0.0453626700,-0.3392459057,0.3378875897,0.1337161899,0.3636363636,3.0000000000,0.6750000000,0.0324000000,1.0374609450,0.1643025589,0.9667099414,0.2495148558
