rank,name,factor_set,year,annual_return
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2021,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2022,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2023,-0.0291359574
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2024,-0.0027416398
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2025,0.2222360061
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,2026,0.1174325715
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2021,0.0000000000
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2022,-0.0655733967
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2023,0.1649786984
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2024,-0.0148882859
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2025,0.0615451955
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt0,ret60_ret5_consistency,2026,0.0879098188
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2021,0.0000000000
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2022,-0.0655733967
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2023,0.1649786984
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2024,-0.0148882859
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2025,0.0615451955
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt0,ret60_ret5_consistency,2026,0.0879098188
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2021,0.0000000000
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2022,-0.0655733967
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2023,0.0795610502
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2024,-0.0148882859
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2025,0.1041529159
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-0p5,ret60_ret5_consistency,2026,0.1183360292
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2021,0.0000000000
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2022,-0.0655733967
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2023,0.0795610502
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2024,-0.0148882859
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2025,0.1041529159
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1_brt-1,ret60_ret5_consistency,2026,0.1183360292
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2021,0.0000000000
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2022,-0.0655733967
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2023,0.0795610502
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2024,-0.0148882859
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2025,0.1041529159
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-0p5,ret60_ret5_consistency,2026,0.1183360292
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2021,0.0000000000
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2022,-0.0655733967
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2023,0.0795610502
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2024,-0.0148882859
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2025,0.1041529159
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0_bt1p5_brt-1,ret60_ret5_consistency,2026,0.1183360292
8,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0_bt1_brt0,ret60_ret5_consistency,2021,0.0000000000
