rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,risk_control_mode,soft_exposure_min,state_aware_risk_control,portfolio_mode,softmax_temperature,adaptive_top_k,risk_control_dual_ma,regime_aware_factors,bull_exposure,sideways_exposure,bear_exposure,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_consistency_top3_riskoff0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,48,1.3223380724,0.0678197755,-0.1873714163,0.5026011083,0.3619536899,0.2727272727,2.0000000000,0.4375000000,0.0210000000,1.0374609450,0.2745907003,0.9667099414,0.3678747014
2,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.000000,48,1.2384544775,0.0515099685,-0.3392459057,0.3773043981,0.1518366696,0.3636363636,3.0000000000,0.6250000000,0.0300000000,1.0374609450,0.1937359989,0.9667099414,0.2811024532
3,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0p1,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,48,1.2294239123,0.0497041914,-0.3327610063,0.3667710780,0.1493690379,0.4909090909,4.0000000000,0.6680555556,0.0320666667,1.0374609450,0.1850315119,0.9667099414,0.2717609074
4,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.700000,0.000000,48,1.2234876397,0.0485116218,-0.3392459057,0.3580781354,0.1429984002,0.3636363636,3.0000000000,0.6500000000,0.0312000000,1.0374609450,0.1793095881,0.9667099414,0.2656202107
5,ret60_ret5_consistency_top3_stateaware_bull1_side0p5_bear0p2,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.500000,0.200000,48,1.2194897753,0.0477059723,-0.3262753369,0.3541359660,0.1462138472,0.4909090909,4.0000000000,0.7111111111,0.0341333333,1.0374609450,0.1754560797,0.9667099414,0.2614846740
6,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0p1,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.700000,0.100000,48,1.2145661854,0.0467109889,-0.3327610063,0.3477746827,0.1403739861,0.4909090909,4.0000000000,0.6930555556,0.0332666667,1.0374609450,0.1707102722,0.9667099414,0.2563915331
7,ret60_ret5_consistency_top3_stateaware_bull1_side0p9_bear0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.900000,0.000000,48,1.2079184330,0.0453626700,-0.3392459057,0.3378875897,0.1337161899,0.3636363636,3.0000000000,0.6750000000,0.0324000000,1.0374609450,0.1643025589,0.9667099414,0.2495148558
8,ret60_ret5_consistency_top3_stateaware_bull1_side0p7_bear0p2,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.700000,0.200000,48,1.2047520794,0.0447184627,-0.3262753369,0.3355394654,0.1370574409,0.4909090909,4.0000000000,0.7361111111,0.0353333333,1.0374609450,0.1612505369,0.9667099414,0.2462394642
9,ret60_ret5_consistency_top3_stateaware_bull1_side1_bear0,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,1.000000,0.000000,48,1.1999156580,0.0437319684,-0.3392459057,0.3275558148,0.1289093475,0.3636363636,3.0000000000,0.6875000000,0.0330000000,1.0374609450,0.1565887504,0.9667099414,0.2412364936
10,ret60_ret5_consistency_top3_stateaware_bull1_side0p9_bear0p1,ret60_ret5_consistency,"momentum, reversal, and trend consistency (state-aware risk control)",ret60;ret5;consistency60,3,0.000000,true,true,0.000000,hard,0.200000,true,equal,1.000000,false,false,false,1.000000,0.900000,0.100000,48,1.1991104825,0.0435674399,-0.3327610063,0.3278577897,0.1309271190,0.4909090909,4.0000000000,0.7180555556,0.0344666667,1.0374609450,0.1558126485,0.9667099414,0.2404035908
