industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
有色金属,10,0.2083333333,10,0,0.2268711103
通信,10,0.2083333333,10,0,0.2733047912
传媒,7,0.1458333333,7,0,0.1826147351
电子,7,0.1458333333,7,0,0.1766951361
电力设备,6,0.1250000000,6,0,0.1670514598
综合,6,0.1250000000,6,0,0.2048172058
国防军工,5,0.1041666667,5,0,0.1577037036
石油石化,5,0.1041666667,5,0,0.2099595285
计算机,5,0.1041666667,5,0,0.2610418141
家用电器,4,0.0833333333,4,0,0.2069435510
机械设备,3,0.0625000000,3,0,0.0929180556
煤炭,3,0.0625000000,3,0,0.1819585710
银行,3,0.0625000000,3,0,0.2127733863
非银金融,3,0.0625000000,3,0,0.2647666081
商贸零售,2,0.0416666667,2,0,0.1124796579
基础化工,2,0.0416666667,2,0,0.1527541716
房地产,2,0.0416666667,2,0,0.1716795128
社会服务,2,0.0416666667,2,0,0.1689948381
美容护理,2,0.0416666667,2,0,0.1723620251
食品饮料,2,0.0416666667,2,0,0.2643123645
公用事业,1,0.0208333333,1,0,0.1258324514
农林牧渔,1,0.0208333333,1,0,0.1060403999
医药生物,1,0.0208333333,1,0,0.3500000000
汽车,1,0.0208333333,1,0,0.1259444196
环保,1,0.0208333333,1,0,0.0805799301
轻工制造,1,0.0208333333,1,0,0.1497482544
