factor,kind,description,enabled_factors,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
all_factors,factor,configured full industry factor model,ret60;valuation;ret5,48,1.2975318015,0.0630810878,-0.1725948937,0.5110887723,0.3654864083,0.3090909091,2.0000000000,0.4708333333,0.0226000000,1.0374609450,0.2506801415,0.9667099414,0.3422141906
price_momentum,factor,20/60/120-day industry momentum,ret60,48,1.2890890149,0.0614524710,-0.1780787642,0.4902156086,0.3450859019,0.2727272727,3.0000000000,0.3958333333,0.0190000000,1.0374609450,0.2425422095,0.9667099414,0.3334806644
ret60,factor,60-day industry momentum,ret60,48,1.2890890149,0.0614524710,-0.1780787642,0.4902156086,0.3450859019,0.2727272727,3.0000000000,0.3958333333,0.0190000000,1.0374609450,0.2425422095,0.9667099414,0.3334806644
valuation,factor,"industry valuation percentile, lower is cheaper",valuation,48,0.9142140535,-0.0208440176,-0.1679579942,-0.1665256135,-0.1241025633,0.2363636364,3.0000000000,0.4041666667,0.0194000000,1.0374609450,-0.1187966565,0.9667099414,-0.0543036599
fundamental,factor,valuation and prosperity composite,valuation,48,0.9142140535,-0.0208440176,-0.1679579942,-0.1665256135,-0.1241025633,0.2363636364,3.0000000000,0.4041666667,0.0194000000,1.0374609450,-0.1187966565,0.9667099414,-0.0543036599
risk_penalty,factor,volatility and short-term overheating penalties,ret5,48,1.1755729594,0.0387200274,-0.1619094974,0.3984283567,0.2391461154,0.2545454545,3.0000000000,0.6541666667,0.0314000000,1.0374609450,0.1331250251,0.9667099414,0.2160555189
ret5,factor,5-day return factor using configured sign,ret5,48,1.1755729594,0.0387200274,-0.1619094974,0.3984283567,0.2391461154,0.2545454545,3.0000000000,0.6541666667,0.0314000000,1.0374609450,0.1331250251,0.9667099414,0.2160555189
without_ret60,ablation,full model without ret60,valuation;ret5,48,1.1157421808,0.0260549843,-0.1619094974,0.2939751093,0.1609231371,0.2545454545,3.0000000000,0.6208333333,0.0298000000,1.0374609450,0.0754546339,0.9667099414,0.1541643807
without_valuation,ablation,full model without valuation,ret60;ret5,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
without_ret5,ablation,full model without ret5,ret60;valuation,48,1.1906374931,0.0418309345,-0.1875024426,0.3602743845,0.2230954110,0.2727272727,3.0000000000,0.4208333333,0.0202000000,1.0374609450,0.1476456042,0.9667099414,0.2316388216
