rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,risk_control_mode,soft_exposure_min,state_aware_risk_control,portfolio_mode,softmax_temperature,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,"market-excess momentum, reversal, valuation, and prosperity",rel_ret60;ret5;valuation;prosperity,3,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3588163029,0.0746660774,-0.2527689149,0.5314768906,0.2953926411,0.3454545455,3.0000000000,0.5937500000,0.0285000000,1.0374609450,0.3097517641,0.9667099414,0.4056091127
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,"60-day momentum, 5-day overheating penalty, valuation, and prosperity",ret60;ret5;valuation;prosperity,3,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3588163029,0.0746660774,-0.2527689149,0.5314768906,0.2953926411,0.3454545455,3.0000000000,0.5937500000,0.0285000000,1.0374609450,0.3097517641,0.9667099414,0.4056091127
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,60-day market-excess momentum with 5-day overheating penalty,rel_ret60;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,60-day market-excess momentum with 5-day overheating penalty,rel_ret60;ret5,5,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,60-day market-excess momentum with 5-day overheating penalty,rel_ret60;ret5,5,0.200000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3072580520,0.0649472650,-0.2448267212,0.4654586935,0.2652784987,0.4545454545,4.0000000000,0.7141666667,0.0342800000,1.0374609450,0.2600551936,0.9667099414,0.3522753786
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.200000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3072580520,0.0649472650,-0.2448267212,0.4654586935,0.2652784987,0.4545454545,4.0000000000,0.7141666667,0.0342800000,1.0374609450,0.2600551936,0.9667099414,0.3522753786
9,rel_ret60_ret5_fundamental_top3_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5_fundamental,"market-excess momentum, reversal, valuation, and prosperity",rel_ret60;ret5;valuation;prosperity,3,0.200000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3030299194,0.0641373224,-0.2527689149,0.4654243276,0.2537389631,0.4727272727,6.0000000000,0.7076388889,0.0339666667,1.0374609450,0.2559797317,0.9667099414,0.3479016441
10,ret60_ret5_fundamental_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret5_fundamental,"60-day momentum, 5-day overheating penalty, valuation, and prosperity",ret60;ret5;valuation;prosperity,3,0.200000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3030299194,0.0641373224,-0.2527689149,0.4654243276,0.2537389631,0.4727272727,6.0000000000,0.7076388889,0.0339666667,1.0374609450,0.2559797317,0.9667099414,0.3479016441
11,rel_ret60_ret5_valuation_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_valuation,"market-excess momentum, reversal, and valuation",rel_ret60;ret5;valuation,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.2990176969,0.0633668779,-0.2310899426,0.4629467749,0.2742087225,0.3272727273,4.0000000000,0.6708333333,0.0322000000,1.0374609450,0.2521123837,0.9667099414,0.3437512550
12,ret60_ret5_valuation_top5_riskoff0_riskctrl1_mscore0,ret60_ret5_valuation,"60-day momentum, 5-day overheating penalty, and valuation",ret60;ret5;valuation,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.2990176969,0.0633668779,-0.2310899426,0.4629467749,0.2742087225,0.3272727273,4.0000000000,0.6708333333,0.0322000000,1.0374609450,0.2521123837,0.9667099414,0.3437512550
13,rel_ret60_ret5_valuation_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5_valuation,"market-excess momentum, reversal, and valuation",rel_ret60;ret5;valuation,5,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,48,1.2975318015,0.0630810878,-0.1725948937,0.5110887723,0.3654864083,0.3090909091,2.0000000000,0.4708333333,0.0226000000,1.0374609450,0.2506801415,0.9667099414,0.3422141906
14,ret60_ret5_valuation_top5_riskoff0_riskctrl1_mscore1,ret60_ret5_valuation,"60-day momentum, 5-day overheating penalty, and valuation",ret60;ret5;valuation,5,0.000000,true,true,0.000000,hard,0.200000,false,equal,1.000000,48,1.2975318015,0.0630810878,-0.1725948937,0.5110887723,0.3654864083,0.3090909091,2.0000000000,0.4708333333,0.0226000000,1.0374609450,0.2506801415,0.9667099414,0.3422141906
15,rel_ret60_ret5_top8_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,60-day market-excess momentum with 5-day overheating penalty,rel_ret60;ret5,8,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
16,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
17,rel_ret60_ret5_fundamental_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,"market-excess momentum, reversal, valuation, and prosperity",rel_ret60;ret5;valuation;prosperity,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.2958361877,0.0627546553,-0.2401115054,0.4565582766,0.2613563026,0.3272727273,4.0000000000,0.6125000000,0.0294000000,1.0374609450,0.2490457534,0.9667099414,0.3404601859
