rank,name,factor_set,year,annual_return
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2021,0.0000000000
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2022,0.0000000000
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2023,0.0358812372
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2024,-0.0038063177
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2025,0.1745147942
1,rel_ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2026,0.1211107252
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2021,0.0000000000
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2022,0.0000000000
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2023,0.0358812372
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2024,-0.0038063177
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2025,0.1745147942
2,ret60_ret5_fundamental_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_fundamental,2026,0.1211107252
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2021,0.0000000000
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2022,0.0000000000
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2023,0.0280456999
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2024,0.0488218767
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2025,0.1151451674
3,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,2026,0.1223162330
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2021,0.0000000000
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2022,0.0000000000
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2023,-0.0460502867
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2024,0.0855671140
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2025,0.1862084782
5,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,2026,0.0647373348
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2022,0.0000000000
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2023,-0.0460502867
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2024,0.0855671140
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2025,0.1862084782
6,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2026,0.0647373348
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2021,0.0000000000
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2022,-0.0207204211
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2023,0.0021459807
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2024,0.0601824907
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2025,0.1195094564
7,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,2026,0.1223162330
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2022,-0.0207204211
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2023,0.0021459807
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2024,0.0601824907
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2025,0.1195094564
8,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
9,rel_ret60_ret5_fundamental_top3_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2021,0.0000000000
9,rel_ret60_ret5_fundamental_top3_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5_fundamental,2022,-0.0181724936
