factor,description,enabled_factors,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
all_factors,configured full industry factor model,ret20;ret60;ret120;amount_strength;breadth20;breadth60;vol20;ret5,20,1.4102219452,0.1816433113,-0.0288341269,3.5230020248,6.2995946483,0.6666666667,1.0000000000,1.0216666667,0.0204333333,1.2901951168,0.0930299819,1.0284756250,0.3711768280
price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,20,1.2779880433,0.1264813108,-0.0253224155,2.5907114148,4.9948359345,0.7083333333,1.0000000000,0.9950000000,0.0199000000,1.2901951168,-0.0094614166,1.0284756250,0.2426041145
ret20,20-day industry momentum,ret20,20,1.4488333652,0.1972431567,-0.0189499753,3.7674924253,10.4086234037,0.7083333333,2.0000000000,1.1450000000,0.0229000000,1.2901951168,0.1229567887,1.0284756250,0.4087192054
ret60,60-day industry momentum,ret60,20,1.2941504802,0.1333762606,-0.0248932139,2.6751460175,5.3579365539,0.6666666667,1.0000000000,0.9116666667,0.0182333333,1.2901951168,0.0030657095,1.0284756250,0.2583190585
ret120,120-day industry momentum,ret120,20,1.1015151106,0.0480655141,-0.0341101512,0.9493302339,1.4091263873,0.4583333333,2.0000000000,0.7883333333,0.0157666667,1.2901951168,-0.1462414512,1.0284756250,0.0710172257
amount_strength,20-day versus 120-day amount strength,amount_strength,20,1.4074912628,0.1805317849,-0.0258752818,3.3582894923,6.9769978225,0.6666666667,2.0000000000,0.9950000000,0.0199000000,1.2901951168,0.0909134940,1.0284756250,0.3685217506
breadth,industry breadth composite,breadth20;breadth60,20,1.6334875484,0.2690484578,-0.0246643347,4.8558285914,10.9084011766,0.7500000000,1.0000000000,1.0883333333,0.0217666667,1.2901951168,0.2660779189,1.0284756250,0.5882608287
breadth20,industry MA20 breadth,breadth20,20,1.6477088054,0.2744010498,-0.0183434136,4.8817733363,14.9591049677,0.7083333333,1.0000000000,1.0750000000,0.0215000000,1.2901951168,0.2771004819,1.0284756250,0.6020883386
breadth60,industry MA60 breadth,breadth60,20,1.5201626509,0.2255091552,-0.0145417405,4.1988355667,15.5077142131,0.7500000000,1.0000000000,1.1250000000,0.0225000000,1.2901951168,0.1782424465,1.0284756250,0.4780735818
risk_penalty,volatility and short-term overheating penalties,vol20;ret5,20,1.0447299291,0.0214741801,-0.0684669406,0.4241946895,0.3136430505,0.4166666667,4.0000000000,1.2516666667,0.0250333333,1.2901951168,-0.1902543146,1.0284756250,0.0158042677
vol20,20-day volatility factor using configured sign,vol20,20,1.0598466137,0.0286241698,-0.0712183048,0.5557592924,0.4019215262,0.5000000000,2.0000000000,1.2183333333,0.0243666667,1.2901951168,-0.1785377266,1.0284756250,0.0305024134
ret5,5-day return factor using configured sign,ret5,20,0.9127287081,-0.0433700975,-0.1197676570,-0.8531425534,-0.3621186103,0.2916666667,3.0000000000,1.2350000000,0.0247000000,1.2901951168,-0.2925653676,1.0284756250,-0.1125422072
