date,consistency60_hold5d,consistency60_hold10d,consistency60_hold20d,consistency60_hold40d,consistency60_hold60d,ret20_hold5d,ret20_hold10d,ret20_hold20d,ret20_hold40d,ret20_hold60d,ret5_hold5d,ret5_hold10d,ret5_hold20d,ret5_hold40d,ret5_hold60d,ret60_hold5d,ret60_hold10d,ret60_hold20d,ret60_hold40d,ret60_hold60d,vol20_hold5d,vol20_hold10d,vol20_hold20d,vol20_hold40d,vol20_hold60d
2014-08-14,0.146599,0.164855,0.174536,0.237602,0.268305,-0.472906,-0.533114,-0.493158,-0.459223,-0.201423,0.239190,0.317460,0.270936,0.187739,0.123153,0.012589,-0.105638,-0.046524,0.058019,-0.030104,-0.300493,-0.441708,-0.459770,-0.496990,-0.449918
2014-09-12,0.653064,0.692585,0.488071,0.334132,0.055274,0.174603,0.466338,0.345375,-0.031199,-0.066776,0.433498,0.637110,0.482211,0.227696,0.066776,0.241927,0.468528,0.379310,0.035577,-0.137931,-0.359606,0.079365,0.026820,-0.160372,0.049808
2014-10-20,0.271765,0.129650,-0.143778,-0.313874,-0.436320,0.099617,0.177340,-0.120963,-0.043240,-0.230980,-0.006021,0.134100,0.192666,0.200876,0.150520,0.312534,0.238643,-0.141762,-0.164204,-0.344828,0.116037,-0.083196,-0.303777,-0.139026,-0.283525
2014-11-17,0.173809,-0.289222,-0.307127,-0.513163,-0.399953,0.245211,0.524357,0.574165,0.650794,0.492611,-0.178435,0.218938,0.091407,0.221128,0.020252,0.409962,0.253421,0.374384,0.190476,0.290640,0.281883,0.437329,0.602080,0.432950,0.490969
2014-12-15,-0.377523,-0.288241,-0.456335,-0.375594,0.048224,0.593870,0.704981,0.480569,0.276957,0.176793,-0.176793,-0.108922,-0.205802,-0.117132,0.281883,0.577997,0.655172,0.447729,0.249589,0.233169,0.566502,0.576355,0.401204,0.298851,0.158730
2015-01-14,0.056991,0.150401,-0.049485,0.119542,0.368357,-0.675972,-0.802956,-0.749316,-0.733990,-0.534209,0.575260,0.374384,0.564313,0.423098,0.317460,-0.661193,-0.608101,-0.643131,-0.511768,-0.401752,-0.320744,-0.248495,-0.386973,-0.307061,-0.287356
2015-02-11,0.247525,0.393501,0.423028,0.511055,0.477113,0.411604,0.634373,0.672687,0.319650,0.738916,0.009305,-0.047072,-0.072797,-0.152709,0.068966,-0.263820,-0.411604,-0.146141,-0.186645,-0.076628,-0.429666,-0.562671,-0.241927,-0.205255,-0.298851
2015-03-18,0.237109,0.020921,0.176019,0.236830,0.270026,0.517241,0.272578,0.135194,0.458675,0.609743,-0.228243,-0.172961,-0.012042,-0.106185,-0.160372,0.476738,0.385331,0.157088,0.404488,0.320197,-0.164204,-0.224412,-0.235906,-0.051998,-0.202518
2015-04-16,-0.044226,-0.007187,0.356292,0.366795,0.200950,-0.425835,-0.298851,-0.068966,-0.149425,-0.362890,-0.015326,-0.120963,-0.304324,-0.351396,-0.053093,0.035577,0.211275,0.611932,0.545156,0.014778,0.001095,0.168582,0.195950,0.085933,-0.016968
2015-05-15,0.703462,0.592622,0.571062,-0.252638,0.069379,0.571976,0.611385,0.289546,-0.563218,0.014778,0.638205,0.640941,0.482211,-0.532020,0.110016,0.548440,0.483306,0.218938,-0.616311,-0.142310,-0.212917,-0.154899,-0.134100,-0.240832,-0.045977
2015-06-12,-0.156586,-0.325853,-0.526823,-0.185808,-0.101174,0.151615,-0.006021,-0.312534,-0.023536,0.095785,0.447181,0.408320,0.186097,0.256705,0.571429,-0.268199,-0.548440,-0.718664,-0.275862,-0.320197,0.051450,-0.012589,0.000547,0.013136,-0.186097
2015-07-13,0.474617,0.552750,0.639195,0.578240,0.477388,-0.840722,-0.732348,-0.706623,-0.480569,-0.675424,-0.371100,-0.346470,-0.140668,-0.206897,-0.246305,0.037767,0.196497,-0.017515,0.155446,0.124247,-0.154899,-0.243569,0.041598,-0.115490,-0.091407
2015-08-11,0.484692,0.244155,-0.058185,-0.193765,-0.241650,0.277504,0.003284,-0.330049,-0.165846,-0.110016,0.073892,-0.274220,-0.529830,-0.336617,-0.096880,0.313629,0.157088,-0.029557,-0.286262,-0.455391,-0.294472,-0.499179,-0.601533,-0.268199,-0.061303
2015-09-11,0.174947,0.172395,-0.057843,-0.205853,-0.288932,0.263820,0.110016,-0.548440,-0.450465,-0.272031,0.077176,0.146141,0.408867,0.504652,0.561576,0.141215,0.010947,-0.640941,-0.726327,-0.550082,-0.185550,-0.051998,0.530378,0.411604,0.250684
2015-10-16,-0.039575,0.249238,-0.001965,-0.037330,-0.040417,0.083196,0.315271,0.407225,0.220033,-0.272578,0.077723,0.165846,0.111111,0.037219,-0.388068,0.131363,0.236453,0.022441,0.065134,-0.227148,0.077176,0.310892,0.253421,0.190476,-0.218391
2015-11-13,0.402581,0.493514,0.265478,-0.025900,0.088399,0.351943,0.412151,0.453202,-0.137384,0.162014,0.404488,0.449371,0.429119,-0.068966,0.136289,0.199234,0.272031,0.357964,-0.177887,0.099617,0.334975,0.075534,-0.051450,-0.542419,-0.325123
2015-12-11,0.025331,0.379137,0.138218,0.218892,0.199068,0.384236,0.442802,0.029557,0.359606,0.064039,0.121511,0.107280,-0.159278,0.146689,-0.124795,0.446634,0.250684,-0.455391,-0.108922,-0.385878,0.244663,-0.117132,-0.598248,-0.482759,-0.475643
2016-01-11,-0.104279,-0.233663,0.266491,0.352287,0.427876,-0.623426,-0.519978,-0.322934,0.383142,-0.170772,-0.698413,-0.616858,-0.418719,0.350301,-0.258894,-0.117679,-0.281883,0.353038,0.398467,0.232622,0.010400,0.210181,-0.134100,0.007663,0.200328
2016-02-15,-0.648965,-0.127738,-0.211879,-0.482628,-0.031101,-0.489327,-0.513957,-0.531472,-0.371648,-0.140668,-0.012042,-0.722496,-0.668309,-0.242474,-0.469075,-0.552819,0.129721,0.054187,-0.171319,0.248495,0.504105,-0.449371,-0.326765,0.032841,-0.414888
2016-03-14,-0.043880,-0.106606,0.145985,0.305752,0.185364,-0.552819,-0.622332,-0.512315,-0.019157,-0.105090,0.632731,0.581281,0.616311,0.191024,0.209633,-0.747126,-0.640941,-0.585660,0.158183,-0.009305,0.447181,0.255063,0.385878,-0.443350,-0.104543
2016-04-12,0.113923,-0.001400,0.236803,0.066618,0.119241,-0.652983,-0.236453,-0.407225,-0.039409,0.162014,-0.039409,0.070060,-0.356322,-0.374384,-0.221675,-0.044882,0.264915,0.112206,0.324576,0.424193,-0.464149,-0.413793,-0.483306,-0.111658,0.054735
2016-05-13,-0.456376,-0.481653,-0.134163,-0.047776,-0.040277,-0.222770,-0.444444,-0.007663,-0.139026,-0.206897,-0.273673,-0.570334,-0.074439,-0.194308,-0.251232,-0.115490,-0.215107,0.122605,0.002737,-0.016968,0.347017,0.456486,0.410509,0.564313,0.447729
2016-06-14,0.330310,0.268014,0.147020,0.123486,0.135114,0.650794,0.648604,0.493158,0.187192,0.066776,0.053093,-0.183361,-0.111658,-0.118774,-0.179529,0.577997,0.413246,0.308703,-0.027915,-0.178982,0.539683,0.603175,0.450465,0.152709,0.033388
2016-07-13,0.329895,0.004973,-0.271597,-0.104992,-0.129029,-0.119869,-0.438424,-0.396825,-0.469622,-0.333333,-0.344280,-0.126984,-0.133552,-0.217296,-0.160920,-0.056377,-0.223317,-0.445539,-0.408867,-0.466338,-0.206349,-0.707170,-0.570881,-0.649699,-0.569239
2016-08-10,-0.079693,0.007170,0.114439,0.278513,0.058184,0.284072,0.411056,0.317460,0.466886,0.296661,0.139026,0.176245,0.080460,0.230432,0.302682,-0.396278,-0.392994,-0.117679,-0.035577,-0.023536,-0.146689,-0.242474,-0.302135,-0.284072,-0.273125
2016-09-07,0.220635,0.116661,0.150584,-0.016272,-0.071706,0.238095,0.200328,0.151615,-0.040504,-0.025178,0.006568,0.096880,0.100164,0.151067,0.061303,0.006568,0.071702,0.226054,0.106185,0.067323,-0.377668,-0.333881,-0.314724,-0.203065,-0.100712
2016-10-14,-0.043479,-0.111999,0.055312,-0.145572,-0.017612,-0.036125,-0.023536,0.188834,0.020799,0.086481,-0.054187,-0.261631,-0.170224,-0.266010,0.119869,-0.204707,-0.045977,0.020799,0.122058,0.071155,-0.096333,-0.137384,-0.014231,-0.153257,0.024631
2016-11-11,0.281344,-0.215227,-0.312605,-0.130298,-0.194479,-0.168582,0.060208,0.042146,0.073892,0.231527,0.095238,0.237548,0.071155,0.134647,0.245211,0.006021,0.188834,-0.020799,-0.003284,0.113300,-0.126984,0.007663,-0.063492,0.055829,0.169130
2016-12-09,0.320450,0.165962,0.120344,0.158126,0.178276,0.142310,0.125342,0.290093,0.523810,0.416530,0.532567,0.314724,0.370553,0.285714,0.284072,0.134647,-0.054187,0.089217,0.536946,0.212370,-0.157088,-0.257252,-0.140668,0.282978,0.084291
2017-01-09,-0.069423,-0.131683,0.012121,0.079616,0.268325,-0.207444,-0.247400,-0.123153,-0.245758,0.087028,0.103448,0.072250,0.233169,0.026273,0.378763,0.223317,0.338807,0.528736,0.076081,0.451560,-0.641489,-0.401204,-0.300493,0.045977,-0.060208
