factor,hold_period,section,mean_ic,icir,n_samples
consistency60,5,overall,0.069257,0.236934,89
consistency60,5,year_2014,0.173543,0.470589,5
consistency60,5,year_2015,0.213906,0.820249,12
consistency60,5,year_2016,0.018324,0.057738,12
consistency60,5,year_2017,0.065615,0.236726,12
consistency60,5,year_2018,-0.022125,-0.106476,13
consistency60,5,year_2019,-0.025814,-0.117992,12
consistency60,5,year_2020,0.081262,0.253639,12
consistency60,5,year_2021,0.122204,0.314096,11
consistency60,10,overall,0.051996,0.180219,89
consistency60,10,year_2014,0.081925,0.202172,5
consistency60,10,year_2015,0.242966,0.917595,12
consistency60,10,year_2016,-0.059625,-0.296936,12
consistency60,10,year_2017,0.012655,0.056609,12
consistency60,10,year_2018,-0.059388,-0.282346,13
consistency60,10,year_2019,-0.006808,-0.028380,12
consistency60,10,year_2020,0.189026,0.658948,12
consistency60,10,year_2021,0.041043,0.096867,11
consistency60,20,overall,0.031118,0.113344,88
consistency60,20,year_2014,-0.048926,-0.128493,5
consistency60,20,year_2015,0.156249,0.482216,12
consistency60,20,year_2016,0.025561,0.126396,12
consistency60,20,year_2017,-0.022426,-0.099391,12
consistency60,20,year_2018,-0.111718,-0.651186,13
consistency60,20,year_2019,0.034586,0.132657,12
consistency60,20,year_2020,0.165634,0.591133,12
consistency60,20,year_2021,0.012006,0.034230,10
consistency60,40,overall,0.024308,0.091172,87
consistency60,40,year_2014,-0.126179,-0.328150,5
consistency60,40,year_2015,0.094172,0.325225,12
consistency60,40,year_2016,0.029770,0.126020,12
consistency60,40,year_2017,-0.014410,-0.053230,12
consistency60,40,year_2018,-0.100268,-0.559016,13
consistency60,40,year_2019,0.063418,0.255088,12
consistency60,40,year_2020,0.159047,0.556673,12
consistency60,40,year_2021,0.007242,0.026787,9
consistency60,60,overall,0.034813,0.156477,86
consistency60,60,year_2014,-0.092894,-0.299597,5
consistency60,60,year_2015,0.123209,0.478814,12
consistency60,60,year_2016,0.051654,0.304967,12
consistency60,60,year_2017,-0.032599,-0.156334,12
consistency60,60,year_2018,-0.098748,-0.584618,13
consistency60,60,year_2019,0.064153,0.288364,12
consistency60,60,year_2020,0.108152,0.420779,12
consistency60,60,year_2021,0.120904,1.080847,8
ret20,5,overall,0.047736,0.132383,89
ret20,5,year_2014,0.128079,0.332130,5
ret20,5,year_2015,0.089217,0.188594,12
ret20,5,year_2016,-0.129219,-0.316410,12
ret20,5,year_2017,-0.021392,-0.054455,12
ret20,5,year_2018,0.129426,0.456136,13
ret20,5,year_2019,0.002554,0.008057,12
ret20,5,year_2020,0.131591,0.405362,12
ret20,5,year_2021,0.095686,0.316228,11
ret20,10,overall,0.062213,0.158322,89
ret20,10,year_2014,0.267980,0.551042,5
ret20,10,year_2015,0.080140,0.167392,12
ret20,10,year_2016,-0.112799,-0.273982,12
ret20,10,year_2017,0.026318,0.065379,12
ret20,10,year_2018,0.075365,0.231578,13
ret20,10,year_2019,-0.046752,-0.164582,12
ret20,10,year_2020,0.235815,0.624331,12
ret20,10,year_2021,0.093148,0.230688,11
ret20,20,overall,0.050300,0.145001,88
ret20,20,year_2014,0.157198,0.348431,5
ret20,20,year_2015,-0.060710,-0.128496,12
ret20,20,year_2016,-0.057927,-0.161177,12
ret20,20,year_2017,0.001733,0.005300,12
ret20,20,year_2018,0.060250,0.174303,13
ret20,20,year_2019,0.036353,0.173443,12
ret20,20,year_2020,0.258393,1.139020,12
ret20,20,year_2021,0.072304,0.196605,10
ret20,40,overall,0.031255,0.093849,87
ret20,40,year_2014,0.078818,0.190754,5
ret20,40,year_2015,-0.112206,-0.285565,12
ret20,40,year_2016,0.048030,0.156658,12
ret20,40,year_2017,0.061987,0.187741,12
