factor,hold_period,mean_ic,icir
consistency60,5,-0.039795,-0.158757
consistency60,10,-0.017568,-0.061888
consistency60,20,-0.027408,-0.097790
consistency60,40,-0.011616,-0.044734
consistency60,60,0.013014,0.050559
ret20,5,-0.036710,-0.127698
ret20,10,-0.047119,-0.153292
ret20,20,-0.051244,-0.184016
ret20,40,-0.091778,-0.339634
ret20,60,-0.076550,-0.245585
ret5,5,0.005855,0.020357
ret5,10,0.003755,0.013184
ret5,20,0.002222,0.007894
ret5,40,-0.023782,-0.089034
ret5,60,-0.011676,-0.039434
ret60,5,-0.018859,-0.053181
ret60,10,-0.010064,-0.028137
ret60,20,-0.048490,-0.146457
ret60,40,-0.037824,-0.139512
ret60,60,-0.007885,-0.027517
vol20,5,-0.036467,-0.102607
vol20,10,0.015407,0.045436
vol20,20,0.030396,0.092149
vol20,40,-0.014762,-0.044199
vol20,60,-0.031819,-0.098631
