factor,hold_period,section,mean_ic,icir,n_samples
prosperity,5,overall,-0.039676,-0.154404,48
prosperity,5,year_2022,-0.095392,-0.256682,7
prosperity,5,year_2023,-0.051848,-0.278134,12
prosperity,5,year_2024,-0.181183,-0.835705,12
prosperity,5,year_2025,0.116331,0.463273,12
prosperity,5,year_2026,0.032742,0.207357,5
prosperity,10,overall,-0.042356,-0.168128,48
prosperity,10,year_2022,0.012961,0.046611,7
prosperity,10,year_2023,-0.133300,-1.026272,12
prosperity,10,year_2024,-0.122245,-0.446967,12
prosperity,10,year_2025,0.038004,0.140703,12
prosperity,10,year_2026,0.097339,0.335974,5
prosperity,20,overall,-0.036265,-0.134283,47
prosperity,20,year_2022,-0.007085,-0.023468,7
prosperity,20,year_2023,-0.009711,-0.040712,12
prosperity,20,year_2024,-0.106317,-0.377246,12
prosperity,20,year_2025,0.004973,0.016056,12
prosperity,20,year_2026,-0.080544,-0.358253,4
