date,strategy,industry_equal_weight,benchmark
2023-01-03,1.0000000000,1.0000000000,1.0000000000
2023-01-04,1.0000000000,1.0040248453,1.0012989017
2023-01-05,1.0000000000,1.0141836202,1.0207515625
2023-01-06,1.0000000000,1.0125548762,1.0239177962
2023-01-09,1.0000000000,1.0184173674,1.0322076185
2023-01-10,1.0000000000,1.0172699808,1.0333264744
2023-01-11,1.0000000000,1.0140449648,1.0314128450
2023-01-12,1.0000000000,1.0126532510,1.0334293578
2023-01-13,1.0000000000,1.0216014721,1.0479641966
2023-01-16,1.0000000000,1.0324506808,1.0643174979
2023-01-17,1.0000000000,1.0304744023,1.0641323079
2023-01-18,1.0000000000,1.0311953190,1.0623498547
2023-01-19,1.0000000000,1.0358442729,1.0689601070
2023-01-20,1.0000000000,1.0451042980,1.0755240618
2023-01-30,1.0000000000,1.0500510450,1.0806219296
2023-01-31,1.0000000000,1.0495727596,1.0691787340
2023-02-01,1.0000000000,1.0615635350,1.0792278608
2023-02-02,1.0000000000,1.0615548899,1.0754263227
2023-02-03,1.0000000000,1.0558117833,1.0652614522
2023-02-06,1.0000000000,1.0481714652,1.0511792999
2023-02-07,1.0000000000,1.0534523527,1.0530697806
2023-02-08,1.0000000000,1.0471788069,1.0484168832
2023-02-09,1.0000000000,1.0597839041,1.0624913192
2023-02-10,1.0000000000,1.0586181712,1.0561768564
2023-02-13,1.0000000000,1.0701918434,1.0657604362
2023-02-14,1.0000000000,1.0705947513,1.0662028344
2023-02-15,1.0000000000,1.0668414303,1.0606471360
2023-02-16,1.0000000000,1.0521418290,1.0528794465
2023-02-17,1.0000000000,1.0453204756,1.0377093032
2023-02-20,1.0000000000,1.0659804563,1.0631677769
2023-02-21,1.0000000000,1.0711860910,1.0659610587
2023-02-22,1.0000000000,1.0679303138,1.0563414697
2023-02-23,1.0000000000,1.0657505996,1.0554926824
2023-02-24,1.0000000000,1.0608483425,1.0445356105
2023-02-27,1.0000000000,1.0544667376,1.0401090563
2023-02-28,1.0000000000,1.0623239285,1.0466987320
2023-03-01,1.0000000000,1.0729845580,1.0614830628
2023-03-02,1.0000000000,1.0725308879,1.0591167468
2023-03-03,1.0000000000,1.0748527675,1.0624115847
2023-03-06,1.0000000000,1.0708737926,1.0568713187
2023-03-07,1.0000000000,1.0532103361,1.0413976697
2023-03-08,1.0000000000,1.0557723574,1.0376064199
2023-03-09,1.0000000000,1.0526884536,1.0339386301
2023-03-10,1.0000000000,1.0359371471,1.0203811826
