date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2025-07-07,2025-07-04,2025-08-01,19,25,0.0660639017,0.0226371127,0.0361148138,0.0434267890,0.0299490878,1.0000000000,1.0000000000,0.0010000000,true,true,0.1348481459,true,通信;国防军工;非银金融;有色金属;计算机
2025-08-04,2025-08-01,2025-08-29,19,25,0.1693798347,0.1046650453,0.0810143610,0.0647147894,0.0883654737,1.0000000000,0.8000000000,0.0008000000,true,true,0.0771827388,true,有色金属;通信;综合;非银金融;钢铁
2025-09-01,2025-08-29,2025-09-26,19,25,-0.0296462763,0.0058226544,-0.0126997784,-0.0354689307,-0.0169464979,1.0000000000,0.8000000000,0.0008000000,true,true,0.2189712200,true,通信;电子;综合;计算机;非银金融
2025-09-29,2025-09-26,2025-11-03,19,35,-0.0060069471,0.0072185366,0.0174714253,-0.0132254837,-0.0234783725,1.0000000000,0.8000000000,0.0008000000,true,true,0.2114127920,true,通信;综合;电子;机械设备;电力设备
2025-11-04,2025-11-03,2025-12-01,19,27,0.0238417980,-0.0091389352,0.0006246189,0.0329807332,0.0232171791,1.0000000000,0.4000000000,0.0004000000,true,true,0.1913683436,true,通信;电子;有色金属;电力设备;综合
2025-12-02,2025-12-01,2025-12-29,19,27,0.0142510429,0.0186723404,0.0178131320,-0.0044212975,-0.0035620892,1.0000000000,1.2000000000,0.0012000000,true,true,0.0261834565,true,电力设备;有色金属;煤炭;石油石化;房地产
2025-12-30,2025-12-29,2026-01-28,19,29,0.1143736789,0.0143422886,0.0636891078,0.1000313903,0.0506845710,1.0000000000,1.6000000000,0.0016000000,true,true,0.0226695897,true,有色金属;通信;商贸零售;钢铁;综合
2026-01-29,2026-01-28,2026-03-05,19,35,0.0286167424,-0.0223354867,-0.0046906730,0.0509522291,0.0333074154,1.0000000000,1.2000000000,0.0012000000,true,true,0.0374250098,true,有色金属;国防军工;综合;基础化工;机械设备
2026-03-06,2026-03-05,2026-04-02,19,27,-0.1158442055,-0.0389512578,-0.0645168762,-0.0768929477,-0.0513273293,1.0000000000,0.4000000000,0.0004000000,true,true,0.0376835043,true,有色金属;综合;国防军工;建筑材料;机械设备
2026-04-03,2026-04-02,2026-05-06,19,33,0.0000000000,0.0982482847,0.0854711609,-0.0982482847,-0.0854711609,0,1.0000000000,0.0010000000,false,false,-0.0234683070,false,
2026-05-07,2026-05-06,2026-06-02,18,26,0.0437515713,0.0028670485,-0.0574730510,0.0408845227,0.1012246223,1.0000000000,1.0000000000,0.0010000000,true,true,0.0505716306,true,通信;煤炭;银行;电力设备;公用事业
