industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
有色金属,7,0.6363636364,7,0,0.2000000000
综合,7,0.6363636364,7,0,0.2000000000
通信,7,0.6363636364,7,0,0.2000000000
电力设备,4,0.3636363636,4,0,0.2000000000
国防军工,3,0.2727272727,3,0,0.2000000000
机械设备,3,0.2727272727,3,0,0.2000000000
电子,3,0.2727272727,3,0,0.2000000000
非银金融,3,0.2727272727,3,0,0.2000000000
煤炭,2,0.1818181818,2,0,0.2000000000
计算机,2,0.1818181818,2,0,0.2000000000
钢铁,2,0.1818181818,2,0,0.2000000000
公用事业,1,0.0909090909,1,0,0.2000000000
商贸零售,1,0.0909090909,1,0,0.2000000000
基础化工,1,0.0909090909,1,0,0.2000000000
建筑材料,1,0.0909090909,1,0,0.2000000000
房地产,1,0.0909090909,1,0,0.2000000000
石油石化,1,0.0909090909,1,0,0.2000000000
银行,1,0.0909090909,1,0,0.2000000000
