fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,2,composite,-0.8153753658,-2.9875182474,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.100000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8938732141,-0.0546567486,-0.2307201381,-0.3599328997,-0.2368963068,0.3461538462,3.0000000000,0.4130000000,0.0082600000,0.8013752896,0.1154239789,0.7088902278,0.2609472934,0.9109435053,-0.1714194190,-0.1319758359,-1.2716794955,-1.2988697347,0.5714285714,2.0000000000,0.7666666667,0.0046000000,1.0047095454,-0.0933265146,0.9538996614,-0.0450321536
2,2,composite,-1.2793313740,12.2550801336,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8514673551,-0.0773975884,-0.2773080779,-0.4796992690,-0.2791032594,0.4615384615,3.0000000000,0.4816000000,0.0120400000,0.9706880006,-0.1228207677,0.9067331160,-0.0609504162,1.1340656313,0.2886963220,-0.0298461622,2.6368414268,9.6728122013,0.5714285714,2.0000000000,0.2900000000,0.0017400000,1.0823584792,0.0477726678,1.1454855866,-0.0099695321
3,1,composite,0.0079308424,-1.5177015867,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0051757792,0.0025896945,-0.1636953682,0.0779340301,0.0158202066,0.4615384615,3.0000000000,0.4240000000,0.0106000000,0.8490578385,0.1838719739,0.9193390761,0.0933678392,0.9654183602,-0.0684920694,-0.0826506350,-0.4514697077,-0.8286938074,0.5714285714,2.0000000000,0.5171428571,0.0036200000,0.9907841408,-0.0256017224,0.8515495548,0.1337195290
4,1,composite,0.0684688230,-2.3236107989,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.9971655447,-0.0014210509,-0.1057348397,0.0400177973,-0.0134397604,0.4230769231,3.0000000000,0.3800000000,0.0098800000,0.8024665868,0.2426256258,0.7680008866,0.2983911374,0.9373849698,-0.1222180237,-0.1111139022,-0.8869753637,-1.0999345832,0.2500000000,3.0000000000,0.6800000000,0.0040800000,0.9925582557,-0.0555869498,0.9306436835,0.0072436814
5,1,composite,-0.6175115395,4.5341178947,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.9607195917,-0.0198759993,-0.1182482728,-0.0965950755,-0.1680870160,0.4230769231,3.0000000000,0.5328000000,0.0133200000,1.0691069061,-0.1013811751,0.8679521786,0.1068807883,1.0399854976,0.0822485258,-0.0275185027,1.7284620986,2.9888445082,0.5714285714,2.0000000000,0.2366666667,0.0014200000,1.1510675988,-0.0965035427,1.1189193676,-0.0705447348
6,1,composite,0.0597386350,18.9528911497,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0464515724,0.0230083275,-0.1264854747,0.2597295610,0.1819048992,0.4230769231,5.0000000000,0.4344000000,0.0108600000,1.2265169569,-0.1468103506,1.0152440173,0.0307389698,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
7,2,composite,2.5235949488,1.2455197499,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.4387504972,0.1999130774,-0.1194177523,1.2255492624,1.6740649820,0.5769230769,5.0000000000,0.5088000000,0.0127200000,1.6525994114,-0.1294015433,1.4297459423,0.0062980105,1.1462265697,0.3167073808,-0.4139215860,0.9103504473,0.7651385952,0.4285714286,4.0000000000,0.7914285714,0.0055400000,0.9698911978,0.1818094362,0.8577957493,0.3362465022
8,1,composite,1.5066508854,0.3652107353,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7133368465,0.3096457124,-0.4139215860,1.2473016559,0.7480781938,0.5000000000,5.0000000000,0.5856000000,0.0146400000,1.5988695814,0.0715926217,1.4296118375,0.1984629684,1.0040806487,0.0082436417,-0.0369961973,0.2400319731,0.2228240275,0.7142857143,1.0000000000,0.1000000000,0.0006000000,1.0411984013,-0.0356490679,0.9862275247,0.0181024394
9,1,composite,1.8702878561,-0.8144403184,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.8320956917,0.3543641722,-0.4139215860,1.4340316291,0.8561142598,0.6800000000,4.0000000000,0.4464000000,0.0111600000,1.6570101153,0.1056635532,1.4841124168,0.2344723156,0.9885574171,-0.0229341635,-0.0635237038,-0.1556635684,-0.3610331599,0.4285714286,2.0000000000,0.6033333333,0.0036200000,1.0784888878,-0.0833865530,1.0250660327,-0.0356158671
10,2,composite,1.6320083347,-2.4112812020,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7321008626,0.3168118899,-0.4139215860,1.2872017416,0.7653910805,0.6538461538,4.0000000000,0.5344000000,0.0133600000,1.5369987063,0.1269370986,1.3484276884,0.2845337407,0.9491363268,-0.0998923581,-0.0844291499,-0.8878848315,-1.1831501101,0.4285714286,2.0000000000,0.7942857143,0.0055600000,1.0067695353,-0.0572456819,1.0470983257,-0.0935556829
