section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0312759986
test_median,final_equity,0.9924977600
test_std,final_equity,0.1294803344
train_mean,final_equity,1.0876999076
train_median,final_equity,0.9971655447
train_std,final_equity,0.2654530865
test_mean,annualized_return,0.0812515464
test_median,annualized_return,-0.0150668766
test_std,annualized_return,0.3031853693
bootstrap_ci_lower,annualized_return,-0.0186643768
bootstrap_ci_upper,annualized_return,0.2075177503
bootstrap_p_positive,annualized_return,0.9348000000
train_mean,annualized_return,0.0364256435
train_median,annualized_return,-0.0014210509
train_std,annualized_return,0.1173079933
test_mean,max_drawdown,-0.0966661357
test_median,max_drawdown,-0.0844291499
test_std,max_drawdown,0.0779395985
train_mean,max_drawdown,-0.2008200158
train_median,max_drawdown,-0.1604424819
train_std,max_drawdown,0.0986499210
test_mean,sharpe_ratio,0.2423919565
test_median,sharpe_ratio,0.0281159764
test_std,sharpe_ratio,1.5909000004
train_mean,sharpe_ratio,0.1376556692
train_median,sharpe_ratio,0.0400177973
train_std,sharpe_ratio,0.6086092004
test_mean,calmar_ratio,1.7641641019
test_median,calmar_ratio,-0.1081547005
test_std,calmar_ratio,4.5219586560
train_mean,calmar_ratio,0.1044533750
train_median,calmar_ratio,-0.0134397604
train_std,calmar_ratio,0.4752612585
test_mean,monthly_win_rate,0.5489417989
test_median,monthly_win_rate,0.5714285714
test_std,monthly_win_rate,0.1961934977
train_mean,monthly_win_rate,0.5274643875
train_median,monthly_win_rate,0.5000000000
train_std,monthly_win_rate,0.1069815403
test_mean,max_consecutive_losing_months,2.1111111111
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.0304020551
train_mean,max_consecutive_losing_months,3.5185185185
train_median,max_consecutive_losing_months,3.0000000000
train_std,max_consecutive_losing_months,0.7874182084
test_mean,average_turnover,0.5130335097
test_median,average_turnover,0.6000000000
test_std,average_turnover,0.2382246262
train_mean,average_turnover,0.4841601140
train_median,average_turnover,0.4638461538
train_std,average_turnover,0.1278532601
test_mean,total_transaction_cost,0.0032348148
test_median,total_transaction_cost,0.0036200000
test_std,total_transaction_cost,0.0015557739
train_mean,total_transaction_cost,0.0121133333
train_median,total_transaction_cost,0.0116400000
train_std,total_transaction_cost,0.0032811922
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0044905565
test_median,excess_return_vs_equal_weight,-0.0031911706
test_std,excess_return_vs_equal_weight,0.1015242524
train_mean,excess_return_vs_equal_weight,0.0055323807
train_median,excess_return_vs_equal_weight,0.0132261984
train_std,excess_return_vs_equal_weight,0.1551442126
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0084074939
test_median,excess_return_vs_benchmark,-0.0028600550
test_std,excess_return_vs_benchmark,0.1022428528
train_mean,excess_return_vs_benchmark,0.0478479341
train_median,excess_return_vs_benchmark,0.0307389698
train_std,excess_return_vs_benchmark,0.1770425779
selection_count,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,14
selection_count,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,13
