fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,3,true,composite,-0.7428642163,-2.5504264241,rel_ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9108782720,-0.0456891239,-0.2329870648,-0.3381694261,-0.1961015473,0.3846153846,3.0000000000,0.4490000000,0.0089800000,0.8013752896,0.1366438220,0.7088902278,0.2849355744,0.9282826270,-0.1393167943,-0.1231635933,-0.9983750936,-1.1311524010,0.5714285714,2.0000000000,0.8866666667,0.0053200000,1.0047095454,-0.0760686696,0.9538996614,-0.0268550619
1,2,2,false,composite,-0.7428642163,-1.8452844735,rel_ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9108782720,-0.0456891239,-0.2329870648,-0.3381694261,-0.1961015473,0.3846153846,3.0000000000,0.4490000000,0.0089800000,0.8013752896,0.1366438220,0.7088902278,0.2849355744,0.9531612569,-0.0921806724,-0.1140753256,-0.6951673667,-0.8080684570,0.5714285714,2.0000000000,0.7066666667,0.0042400000,1.0047095454,-0.0513066574,0.9538996614,-0.0007740903
1,3,4,false,composite,-0.8153753658,-2.9875182474,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.100000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8938732141,-0.0546567486,-0.2307201381,-0.3599328997,-0.2368963068,0.3461538462,3.0000000000,0.4130000000,0.0082600000,0.8013752896,0.1154239789,0.7088902278,0.2609472934,0.9109435053,-0.1714194190,-0.1319758359,-1.2716794955,-1.2988697347,0.5714285714,2.0000000000,0.7666666667,0.0046000000,1.0047095454,-0.0933265146,0.9538996614,-0.0450321536
1,4,1,false,composite,-0.8153753658,-1.8270467566,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8938732141,-0.0546567486,-0.2307201381,-0.3599328997,-0.2368963068,0.3461538462,3.0000000000,0.4130000000,0.0082600000,0.8013752896,0.1154239789,0.7088902278,0.2609472934,0.9553315779,-0.0880086215,-0.1057348397,-0.6781465873,-0.8323521532,0.5714285714,2.0000000000,0.6466666667,0.0038800000,1.0047095454,-0.0491465098,0.9538996614,0.0015011186
2,1,3,true,composite,-1.2409954263,10.0672390563,rel_ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8657012057,-0.0697027166,-0.2750877794,-0.4731670067,-0.2533835445,0.5000000000,3.0000000000,0.5248000000,0.0131200000,0.9706880006,-0.1081570957,0.9067331160,-0.0452524669,1.1421658055,0.3073202082,-0.0406409792,2.5782927475,7.5618308019,0.5714285714,2.0000000000,0.3500000000,0.0021000000,1.0823584792,0.0552564861,1.1454855866,-0.0028981430
2,2,2,false,composite,-1.2793313740,12.2550801336,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8514673551,-0.0773975884,-0.2773080779,-0.4796992690,-0.2791032594,0.4615384615,3.0000000000,0.4816000000,0.0120400000,0.9706880006,-0.1228207677,0.9067331160,-0.0609504162,1.1340656313,0.2886963220,-0.0298461622,2.6368414268,9.6728122013,0.5714285714,2.0000000000,0.2900000000,0.0017400000,1.0823584792,0.0477726678,1.1454855866,-0.0099695321
2,3,4,false,composite,-1.4017302206,10.0672390563,rel_ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8431053859,-0.0819480535,-0.2825242991,-0.5557140208,-0.2900566562,0.5000000000,3.0000000000,0.5680000000,0.0142000000,0.9706880006,-0.1314352445,0.9067331160,-0.0701725005,1.1421658055,0.3073202082,-0.0406409792,2.5782927475,7.5618308019,0.5714285714,2.0000000000,0.3500000000,0.0021000000,1.0823584792,0.0552564861,1.1454855866,-0.0028981430
2,4,1,false,composite,-1.5463474648,12.2550801336,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.100000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8119051805,-0.0991288039,-0.2985144906,-0.6245816926,-0.3320736748,0.4615384615,3.0000000000,0.5104000000,0.0127600000,0.9706880006,-0.1635776068,0.9067331160,-0.1045819700,1.1340656313,0.2886963220,-0.0298461622,2.6368414268,9.6728122013,0.5714285714,2.0000000000,0.2900000000,0.0017400000,1.0823584792,0.0477726678,1.1454855866,-0.0099695321
3,1,3,true,composite,0.1014563066,-2.4184356128,rel_ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.100000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0155319419,0.0077514870,-0.1548722799,0.1266085364,0.0500508356,0.5000000000,3.0000000000,0.4656000000,0.0116400000,0.8490578385,0.1960692145,0.9193390761,0.1046326304,0.9412374735,-0.1149300287,-0.0939974152,-0.9024514515,-1.2226935023,0.5714285714,2.0000000000,0.5971428571,0.0041800000,0.9907841408,-0.0500075296,0.8515495548,0.1053231937
3,2,1,false,composite,0.0079308424,-1.5177015867,ret60_ret5_top5_riskoff0p1_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0051757792,0.0025896945,-0.1636953682,0.0779340301,0.0158202066,0.4615384615,3.0000000000,0.4240000000,0.0106000000,0.8490578385,0.1838719739,0.9193390761,0.0933678392,0.9654183602,-0.0684920694,-0.0826506350,-0.4514697077,-0.8286938074,0.5714285714,2.0000000000,0.5171428571,0.0036200000,0.9907841408,-0.0256017224,0.8515495548,0.1337195290
