date,fold,selected_name,strategy,equal_weight,benchmark
2016-03-18,1,rel_ret60_ret5_top5_riskoff0p1,1.0000000000,1.0000000000,1.0000000000
2016-03-21,1,rel_ret60_ret5_top5_riskoff0p1,1.0017782788,1.0250196491,1.0244265375
2016-03-22,1,rel_ret60_ret5_top5_riskoff0p1,1.0012164202,1.0218743809,1.0169705797
2016-03-23,1,rel_ret60_ret5_top5_riskoff0p1,1.0015365709,1.0290982117,1.0202177833
2016-03-24,1,rel_ret60_ret5_top5_riskoff0p1,0.9998865560,1.0137153251,1.0031179460
2016-03-25,1,rel_ret60_ret5_top5_riskoff0p1,1.0003076830,1.0208299498,1.0081526879
2016-03-28,1,rel_ret60_ret5_top5_riskoff0p1,1.0000686451,1.0151462742,0.9992969647
2016-03-29,1,rel_ret60_ret5_top5_riskoff0p1,0.9989256905,0.9973091332,0.9884771561
2016-03-30,1,rel_ret60_ret5_top5_riskoff0p1,1.0014715422,1.0293019545,1.0139724334
2016-03-31,1,rel_ret60_ret5_top5_riskoff0p1,1.0013917041,1.0320191380,1.0145430586
2016-04-01,1,rel_ret60_ret5_top5_riskoff0p1,1.0018309441,1.0295993781,1.0157410560
2016-04-05,1,rel_ret60_ret5_top5_riskoff0p1,1.0032167468,1.0524903237,1.0291712380
2016-04-06,1,rel_ret60_ret5_top5_riskoff0p1,1.0031935905,1.0552290260,1.0269770111
2016-04-07,1,rel_ret60_ret5_top5_riskoff0p1,1.0020967267,1.0394547562,1.0117687487
2016-04-08,1,rel_ret60_ret5_top5_riskoff0p1,1.0016296073,1.0311689115,1.0043411645
2016-04-11,1,rel_ret60_ret5_top5_riskoff0p1,1.0035114991,1.0508624768,1.0183293610
2016-04-12,1,rel_ret60_ret5_top5_riskoff0p1,1.0035433076,1.0453481036,1.0146565530
2016-04-13,1,rel_ret60_ret5_top5_riskoff0p1,1.0044589427,1.0600551536,1.0281907716
2016-04-14,1,rel_ret60_ret5_top5_riskoff0p1,1.0119409017,1.0691383879,1.0327463146
2016-04-15,1,rel_ret60_ret5_top5_riskoff0p1,1.0130290364,1.0681532947,1.0316050644
2016-04-20,1,rel_ret60_ret5_top5_riskoff0p1,0.9698275695,1.0175859326,1.0028594308
2016-04-21,1,rel_ret60_ret5_top5_riskoff0p1,0.9657178950,1.0082857576,0.9964186181
2016-04-22,1,rel_ret60_ret5_top5_riskoff0p1,0.9694122575,1.0146140017,1.0009268717
2016-04-25,1,rel_ret60_ret5_top5_riskoff0p1,0.9654136331,1.0105502400,0.9968694435
2016-04-26,1,rel_ret60_ret5_top5_riskoff0p1,0.9740596874,1.0202821641,1.0022698899
2016-04-27,1,rel_ret60_ret5_top5_riskoff0p1,0.9727116075,1.0171126699,0.9980958146
2016-04-28,1,rel_ret60_ret5_top5_riskoff0p1,0.9684971197,1.0138968741,0.9964123129
2016-04-29,1,rel_ret60_ret5_top5_riskoff0p1,0.9738970823,1.0138917800,0.9952048576
2016-05-03,1,rel_ret60_ret5_top5_riskoff0p1,1.0059550600,1.0398943856,1.0131086142
2016-05-04,1,rel_ret60_ret5_top5_riskoff0p1,1.0059140376,1.0393484287,1.0118223433
2016-05-05,1,rel_ret60_ret5_top5_riskoff0p1,1.0106234622,1.0442836878,1.0132284140
2016-05-06,1,rel_ret60_ret5_top5_riskoff0p1,0.9751125149,1.0069412279,0.9868819279
2016-05-09,1,rel_ret60_ret5_top5_riskoff0p1,0.9430865982,0.9712707408,0.9664749871
2016-05-10,1,rel_ret60_ret5_top5_riskoff0p1,0.9437180298,0.9707545214,0.9675752532
2016-05-11,1,rel_ret60_ret5_top5_riskoff0p1,0.9478719329,0.9678278353,0.9718943492
2016-05-12,1,rel_ret60_ret5_top5_riskoff0p1,0.9480683754,0.9663562072,0.9742052233
2016-05-13,1,rel_ret60_ret5_top5_riskoff0p1,0.9457742015,0.9633761292,0.9694132335
2016-05-16,1,rel_ret60_ret5_top5_riskoff0p1,0.9664680426,0.9773249879,0.9758351303
2016-05-17,1,rel_ret60_ret5_top5_riskoff0p1,0.9659524638,0.9749704222,0.9729063418
2016-05-18,1,rel_ret60_ret5_top5_riskoff0p1,0.9636949476,0.9521036116,0.9672379223
2016-05-19,1,rel_ret60_ret5_top5_riskoff0p1,0.9642675791,0.9556166183,0.9654913681
2016-05-20,1,rel_ret60_ret5_top5_riskoff0p1,0.9650223158,0.9640420977,0.9704472944
2016-05-23,1,rel_ret60_ret5_top5_riskoff0p1,0.9663338161,0.9752417991,0.9732846568
2016-05-24,1,rel_ret60_ret5_top5_riskoff0p1,0.9656670740,0.9660562868,0.9658255463
2016-05-25,1,rel_ret60_ret5_top5_riskoff0p1,0.9650204249,0.9633968360,0.9644604598
2016-05-26,1,rel_ret60_ret5_top5_riskoff0p1,0.9654571708,0.9668077896,0.9660304670
2016-05-27,1,rel_ret60_ret5_top5_riskoff0p1,0.9653249355,0.9667679830,0.9654913681
2016-05-30,1,rel_ret60_ret5_top5_riskoff0p1,0.9649781324,0.9636090416,0.9668186232
2016-05-31,1,rel_ret60_ret5_top5_riskoff0p1,0.9684934788,0.9996677571,0.9992433700
2016-06-01,1,rel_ret60_ret5_top5_riskoff0p1,0.9690860396,1.0039057026,0.9964028550
2016-06-02,1,rel_ret60_ret5_top5_riskoff0p1,0.9700192304,1.0111543174,0.9984678243
2016-06-03,1,rel_ret60_ret5_top5_riskoff0p1,0.9706999626,1.0155469678,1.0054761094
2016-06-06,1,rel_ret60_ret5_top5_riskoff0p1,0.9708705742,1.0173721536,1.0021532428
2016-06-07,1,rel_ret60_ret5_top5_riskoff0p1,0.9711157628,1.0179410928,1.0016046861
2016-06-08,1,rel_ret60_ret5_top5_riskoff0p1,0.9704963433,1.0144938426,0.9974873580
2016-06-13,1,rel_ret60_ret5_top5_riskoff0p1,0.9667474543,0.9726024369,0.9667019761
2016-06-14,1,rel_ret60_ret5_top5_riskoff0p1,0.9671742022,0.9751229381,0.9697411064
2016-06-15,1,rel_ret60_ret5_top5_riskoff0p1,0.9701254557,1.0006551563,0.9824745583
2016-06-16,1,rel_ret60_ret5_top5_riskoff0p1,0.9702415593,0.9973370377,0.9756333623
2016-06-17,1,rel_ret60_ret5_top5_riskoff0p1,0.9707823946,1.0035837703,0.9805798308
2016-06-20,1,rel_ret60_ret5_top5_riskoff0p1,0.9713479871,1.0047755929,0.9813080871
2016-06-21,1,rel_ret60_ret5_top5_riskoff0p1,0.9700849183,0.9971823757,0.9793061703
2016-06-22,1,rel_ret60_ret5_top5_riskoff0p1,0.9718675696,1.0101135297,0.9880200255
2016-06-23,1,rel_ret60_ret5_top5_riskoff0p1,0.9714656860,1.0059350558,0.9827740577
2016-06-24,1,rel_ret60_ret5_top5_riskoff0p1,0.9705180432,0.9953930334,0.9701131162
