fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,composite,0.6240363953,-2.2173047304,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.4869882420,0.2199022915,-0.4830918628,0.8558785985,0.4551976724,0.5384615385,4.0000000000,0.6710000000,0.0134200000,1.5428358333,-0.0361980128,1.3797702591,0.0777071271,0.9417785207,-0.1139040677,-0.1092487148,-0.7113594083,-1.0426124272,0.4285714286,2.0000000000,0.9166666667,0.0055000000,1.0762168542,-0.1249175135,1.0375666780,-0.0923200015
2,1,composite,0.2097152572,-1.3314184764,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.3799442624,0.1750864000,-0.5268203890,0.7057693851,0.3323455273,0.5769230769,4.0000000000,0.7168000000,0.0179200000,1.5723697144,-0.1223792662,1.3913822843,-0.0082206177,0.9772835235,-0.0452679916,-0.0762464821,-0.4021985629,-0.5937059704,0.6250000000,1.0000000000,0.7366666667,0.0044200000,1.0566378667,-0.0751007943,1.0727728984,-0.0890117330
3,1,composite,-0.9577160780,-2.4607037768,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,0.9425602778,-0.0292016510,-0.5325842662,0.0135304171,-0.0548301046,0.5769230769,4.0000000000,0.7336000000,0.0183400000,1.1788371023,-0.2004321242,1.0102141140,-0.0669697991,0.9377186252,-0.1215880305,-0.1069596342,-1.0102282075,-1.1367655798,0.4285714286,2.0000000000,0.5685714286,0.0039800000,1.0024867886,-0.0646074983,1.1124362466,-0.1570585478
4,1,composite,-2.3245814768,0.3414807319,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2015-09-09,2017-10-12,2017-10-13,2018-04-18,0.7148503080,-0.1547938686,-0.3686434700,-1.0312762365,-0.4199012899,0.5384615385,3.0000000000,0.6392307692,0.0166200000,1.0912958564,-0.3449527882,1.1511012529,-0.3789857267,1.0122671230,0.0248846431,-0.1019442315,0.2407421484,0.2441005511,0.2857142857,3.0000000000,0.7300000000,0.0043800000,0.8871114336,0.1410822639,0.9605406784,0.0538513836
5,1,composite,-1.2677411862,-3.4743135961,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2016-03-18,2018-04-18,2018-04-19,2018-10-24,0.8759760418,-0.0641872685,-0.2123361323,-0.4347984489,-0.3022908436,0.4615384615,3.0000000000,0.7312000000,0.0182800000,1.0132932479,-0.1355157615,1.1873668016,-0.2622532139,0.9725693495,-0.0545297094,-0.0360686415,-2.2006371232,-1.5118315281,0.1428571429,5.0000000000,0.1066666667,0.0006400000,0.7476182290,0.3008903633,0.8363939725,0.1628124802
6,1,composite,-0.7080223059,-1.2119185303,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2016-09-23,2018-10-24,2018-10-25,2019-04-30,0.9067355519,-0.0478660382,-0.1730804358,-0.3965393520,-0.2765537191,0.3846153846,7.0000000000,0.5368000000,0.0134200000,0.7126456526,0.2723512010,0.9732970659,-0.0683876653,0.9717778377,-0.0560802947,-0.1095582874,-0.2556842518,-0.5118763361,0.7142857143,1.0000000000,0.4100000000,0.0024600000,1.2658296223,-0.2322996551,1.2250564285,-0.2067485096
7,1,composite,-0.9059072857,5.5467986571,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2017-04-07,2019-04-30,2019-05-06,2019-11-06,0.9016771979,-0.0505308402,-0.1336266477,-0.3411557494,-0.3781494269,0.4000000000,7.0000000000,0.4584000000,0.0114600000,0.8493371859,0.0616245383,1.1125101636,-0.1895110468,1.1006622477,0.2133179043,-0.0511052787,1.5234551001,4.1740874843,0.8571428571,1.0000000000,0.7200000000,0.0050400000,1.0187908391,0.0803613513,1.0814900858,0.0177275429
8,1,composite,-0.1884306394,1.2917284787,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2017-10-13,2019-11-06,2019-11-07,2020-05-15,0.9749702491,-0.0126190616,-0.1968422401,-0.0187288685,-0.0641074885,0.4615384615,7.0000000000,0.5008000000,0.0125200000,0.8014894866,0.2164479577,1.0162917623,-0.0406591047,1.0572868194,0.1188522030,-0.1284729353,0.6351438280,0.9251147155,0.8571428571,1.0000000000,0.6433333333,0.0038600000,1.0357675025,0.0207762039,0.9801947954,0.0786496973
9,1,composite,0.0288713929,5.2226912482,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2018-04-19,2020-05-15,2020-05-18,2020-11-19,1.0268170618,0.0133464787,-0.1888674356,0.1640808140,0.0706658546,0.5769230769,5.0000000000,0.4800000000,0.0120000000,0.9309377701,0.1029921599,1.0264911434,0.0003175072,1.1600687586,0.3489604038,-0.0844744717,1.4081433635,4.1309569248,0.4285714286,3.0000000000,0.7466666667,0.0044800000,1.2150725430,-0.0452679017,1.2562077641,-0.0765311346
10,1,composite,0.6356365693,0.1875509883,ret60_ret5_top5_riskoff0p1,ret60_ret5,ret60;ret5,5,0.100000,true,true,0.000000,2018-10-25,2020-11-19,2020-11-20,2021-05-28,1.2242513132,0.1066814636,-0.1888674356,0.6125122004,0.5648483724,0.6538461538,3.0000000000,0.6336000000,0.0158400000,1.5197831234,-0.1944565680,1.5427400597,-0.2064435577,1.0211610334,0.0431192885,-0.1655439877,0.3009251438,0.2604702778,0.5714285714,1.0000000000,0.7342857143,0.0051400000,1.0470536407,-0.0247290170,1.0764268331,-0.0513419008
