section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0178697244
test_median,final_equity,1.0122671230
test_std,final_equity,0.0656377278
train_mean,final_equity,1.0752237700
train_median,final_equity,0.9749702491
train_std,final_equity,0.2418617464
test_mean,annualized_return,0.0407670046
test_median,annualized_return,0.0248846431
test_std,annualized_return,0.1380868717
bootstrap_ci_lower,annualized_return,-0.0343193507
bootstrap_ci_upper,annualized_return,0.1267876739
bootstrap_p_positive,annualized_return,0.8343000000
train_mean,annualized_return,0.0305754384
train_median,annualized_return,-0.0126190616
train_std,annualized_return,0.1155265009
test_mean,max_drawdown,-0.0911229248
test_median,max_drawdown,-0.1019442315
test_std,max_drawdown,0.0384678313
train_mean,max_drawdown,-0.2882094821
train_median,max_drawdown,-0.1968422401
train_std,max_drawdown,0.1498917078
test_mean,sharpe_ratio,0.0478657594
test_median,sharpe_ratio,0.2407421484
test_std,sharpe_ratio,1.0627358373
train_mean,sharpe_ratio,0.0950674548
train_median,sharpe_ratio,0.0135304171
train_std,sharpe_ratio,0.5954354453
test_mean,calmar_ratio,0.7007548806
test_median,calmar_ratio,0.2441005511
test_std,calmar_ratio,1.9776889152
train_mean,calmar_ratio,0.0925128349
train_median,calmar_ratio,-0.0548301046
train_std,calmar_ratio,0.4503393952
test_mean,monthly_win_rate,0.5194805195
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2178351258
train_mean,monthly_win_rate,0.5281118881
train_median,monthly_win_rate,0.5384615385
train_std,monthly_win_rate,0.0861066077
test_mean,max_consecutive_losing_months,2.1818181818
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.3360853142
train_mean,max_consecutive_losing_months,4.6363636364
train_median,max_consecutive_losing_months,4.0000000000
train_std,max_consecutive_losing_months,1.5534552264
test_mean,average_turnover,0.6272294372
test_median,average_turnover,0.7200000000
test_std,average_turnover,0.2054185402
train_mean,average_turnover,0.6194307692
train_median,average_turnover,0.6392307692
train_std,average_turnover,0.1014257491
test_mean,total_transaction_cost,0.0039472727
test_median,total_transaction_cost,0.0043800000
test_std,total_transaction_cost,0.0013164490
train_mean,total_transaction_cost,0.0153036364
train_median,total_transaction_cost,0.0158400000
train_std,total_transaction_cost,0.0026598266
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,-0.0000891518
test_median,excess_return_vs_equal_weight,-0.0247290170
test_std,excess_return_vs_equal_weight,0.1348037243
train_mean,excess_return_vs_equal_weight,-0.0322002525
train_median,excess_return_vs_equal_weight,-0.0361980128
train_std,excess_return_vs_equal_weight,0.1799866896
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0208297909
test_median,excess_return_vs_benchmark,-0.0513419008
test_std,excess_return_vs_benchmark,0.1130593332
train_mean,excess_return_vs_benchmark,-0.1071844606
train_median,excess_return_vs_benchmark,-0.0669697991
train_std,excess_return_vs_benchmark,0.1288962855
selection_count,ret60_ret5_top5_riskoff0p1,11
