industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,11,9,0.1100000000
煤炭,15,0.3125000000,5,10,0.0760000000
综合,15,0.3125000000,7,8,0.0960000000
公用事业,13,0.2708333333,1,12,0.0430769231
石油石化,13,0.2708333333,5,8,0.0846153846
银行,13,0.2708333333,3,10,0.0707692308
传媒,12,0.2500000000,7,5,0.1050000000
计算机,12,0.2500000000,9,3,0.1400000000
国防军工,11,0.2291666667,5,6,0.0963636364
有色金属,11,0.2291666667,10,1,0.1727272727
电子,11,0.2291666667,5,6,0.0963636364
汽车,9,0.1875000000,3,6,0.0933333333
美容护理,8,0.1666666667,4,4,0.1175000000
医药生物,7,0.1458333333,2,5,0.0800000000
电力设备,7,0.1458333333,6,1,0.1571428571
非银金融,7,0.1458333333,3,4,0.0885714286
食品饮料,7,0.1458333333,3,4,0.0971428571
农林牧渔,6,0.1250000000,0,6,0.0400000000
家用电器,6,0.1250000000,2,4,0.0800000000
社会服务,6,0.1250000000,4,2,0.1000000000
机械设备,5,0.1041666667,2,3,0.1160000000
交通运输,4,0.0833333333,0,4,0.0200000000
商贸零售,4,0.0833333333,2,2,0.0950000000
房地产,4,0.0833333333,2,2,0.1100000000
基础化工,3,0.0625000000,2,1,0.1400000000
纺织服饰,3,0.0625000000,0,3,0.0200000000
轻工制造,3,0.0625000000,1,2,0.0800000000
建筑材料,2,0.0416666667,0,2,0.0200000000
钢铁,2,0.0416666667,1,1,0.0800000000
建筑装饰,1,0.0208333333,0,1,0.0200000000
