industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,11,9,0.1040000000
煤炭,15,0.3125000000,5,10,0.0733333333
综合,15,0.3125000000,7,8,0.0906666667
公用事业,13,0.2708333333,1,12,0.0400000000
石油石化,13,0.2708333333,5,8,0.0815384615
银行,13,0.2708333333,3,10,0.0676923077
传媒,12,0.2500000000,7,5,0.1016666667
计算机,12,0.2500000000,9,3,0.1300000000
国防军工,11,0.2291666667,5,6,0.0927272727
有色金属,11,0.2291666667,10,1,0.1654545455
电子,11,0.2291666667,5,6,0.0927272727
汽车,9,0.1875000000,3,6,0.0888888889
美容护理,8,0.1666666667,4,4,0.1075000000
医药生物,7,0.1458333333,2,5,0.0685714286
电力设备,7,0.1458333333,6,1,0.1457142857
非银金融,7,0.1458333333,3,4,0.0828571429
食品饮料,7,0.1458333333,3,4,0.0971428571
农林牧渔,6,0.1250000000,0,6,0.0333333333
家用电器,6,0.1250000000,2,4,0.0800000000
社会服务,6,0.1250000000,4,2,0.0933333333
机械设备,5,0.1041666667,2,3,0.1080000000
交通运输,4,0.0833333333,0,4,0.0200000000
商贸零售,4,0.0833333333,2,2,0.0850000000
房地产,4,0.0833333333,2,2,0.1100000000
基础化工,3,0.0625000000,2,1,0.1400000000
纺织服饰,3,0.0625000000,0,3,0.0200000000
轻工制造,3,0.0625000000,1,2,0.0800000000
建筑材料,2,0.0416666667,0,2,0.0200000000
钢铁,2,0.0416666667,1,1,0.0600000000
建筑装饰,1,0.0208333333,0,1,0.0200000000
