date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0191493738,-0.0361133802,-0.0048750151,0.0169640065,-0.0142743587,1.0000000000,1.0000000000,0.0010000000,true,true,0.0420434399,true,煤炭;汽车;美容护理;石油石化;食品饮料
2022-07-22,2022-07-21,2022-08-18,19,27,0.0245464861,-0.0137156313,0.0071917747,0.0382621174,0.0173547114,1.0000000000,1.6000000000,0.0016000000,true,true,0.0740440180,true,电力设备;汽车;公用事业;有色金属;国防军工
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0052924936,-0.0526105317,-0.0509477209,0.0473180382,0.0456552274,0.1000000000,1.1000000000,0.0011000000,false,false,0.0946746318,true,美容护理;食品饮料;机械设备;通信;家用电器
2022-09-19,2022-09-16,2022-10-21,19,32,0.0006275579,-0.0471257637,-0.0240833264,0.0477533217,0.0247108843,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0972134975,false,纺织服饰;综合;非银金融;环保;公用事业
2022-10-24,2022-10-21,2022-11-18,19,25,0.0069697728,0.0462931108,0.0540758266,-0.0393233380,-0.0471060537,0.1000000000,0.1600000000,0.0001600000,false,false,-0.1129130554,false,银行;非银金融;轻工制造;家用电器;房地产
2022-11-21,2022-11-18,2022-12-16,19,25,0.0035292164,0.0491094762,0.0263493293,-0.0455802598,-0.0228201129,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0971876906,false,通信;建筑装饰;煤炭;社会服务;纺织服饰
2022-12-19,2022-12-16,2023-01-16,19,28,0.0336814199,0.0628631313,0.0356664886,-0.0291817114,-0.0019850687,1.0000000000,1.0600000000,0.0010600000,true,true,0.0070935879,true,综合;医药生物;计算机;社会服务;商贸零售
2023-01-17,2023-01-16,2023-02-20,19,34,0.0504567110,-0.0009064014,0.0344560272,0.0513631124,0.0160006838,1.0000000000,1.6000000000,0.0016000000,true,true,0.0850041175,true,社会服务;传媒;食品饮料;美容护理;轻工制造
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0296178095,-0.0495300831,-0.0418430639,0.0199122736,0.0122252544,1.0000000000,0.4000000000,0.0004000000,true,true,0.0704275351,true,食品饮料;美容护理;社会服务;计算机;传媒
2023-03-21,2023-03-20,2023-04-18,19,28,0.0026065474,0.0451112149,0.0252105875,-0.0425046675,-0.0226040401,0.1000000000,1.0200000000,0.0010200000,false,false,-0.0057165123,false,石油石化;机械设备;医药生物;社会服务;食品饮料
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0670360276,-0.0436458677,-0.0429302352,-0.0233901599,-0.0241057924,1.0000000000,1.0600000000,0.0010600000,true,true,0.0029569771,true,传媒;计算机;通信;电子;社会服务
2023-05-22,2023-05-19,2023-06-16,19,25,-0.0018200428,-0.0015065515,0.0066119021,-0.0003134913,-0.0084319449,0.1000000000,1.1000000000,0.0011000000,false,false,-0.0528424182,false,公用事业;农林牧渔;交通运输;商贸零售;房地产
2023-06-19,2023-06-16,2023-07-18,19,29,0.0002044277,-0.0193263138,-0.0142431962,0.0195307415,0.0144476239,0.1000000000,0.1600000000,0.0001600000,false,false,0.0022073672,true,综合;银行;公用事业;环保;纺织服饰
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0016743509,-0.0011244212,-0.0094842256,-0.0005499297,0.0078098747,0.1000000000,0.0800000000,0.0000800000,false,false,-0.0741789193,false,汽车;环保;公用事业;银行;煤炭
2023-08-16,2023-08-15,2023-09-13,19,28,0.0007327226,-0.0213915508,-0.0120255590,0.0221242734,0.0127582817,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0331003731,false,汽车;电子;综合;有色金属;机械设备
2023-09-14,2023-09-13,2023-10-19,19,35,-0.0062090273,-0.0535608583,-0.0525957732,0.0473518310,0.0463867460,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0689296780,false,钢铁;建筑材料;轻工制造;石油石化;交通运输
2023-10-20,2023-10-19,2023-11-16,19,27,0.0027581705,0.0175953330,0.0394420983,-0.0148371625,-0.0366839278,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0932170866,false,家用电器;食品饮料;房地产;建筑材料;机械设备
2023-11-17,2023-11-16,2023-12-14,19,27,-0.0054208663,-0.0605677579,-0.0302132648,0.0551468916,0.0247923985,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0626648810,false,家用电器;银行;汽车;食品饮料;基础化工
2023-12-15,2023-12-14,2024-01-12,19,28,-0.0011772676,-0.0171716718,-0.0311019876,0.0159944042,0.0299247200,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0835331525,false,食品饮料;农林牧渔;交通运输;公用事业;钢铁
2024-01-15,2024-01-12,2024-02-19,19,35,-0.0051801386,0.0374559575,-0.0565571171,-0.0426360961,0.0513769785,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0654066382,false,石油石化;环保;建筑装饰;公用事业;基础化工
2024-02-20,2024-02-19,2024-03-18,19,27,0.0019669659,0.0564903177,0.0869431757,-0.0545233518,-0.0849762099,0.1000000000,0.1200000000,0.0001200000,false,true,-0.0827435139,false,煤炭;银行;家用电器;公用事业;石油石化
2024-03-19,2024-03-18,2024-04-17,19,29,0.0664881715,-0.0034184642,-0.0320695631,0.0699066357,0.0985577346,1.0000000000,0.9400000000,0.0009400000,true,true,0.0460135686,true,煤炭;家用电器;银行;石油石化;有色金属
2024-04-18,2024-04-17,2024-05-20,19,32,0.0179939852,0.0339402768,0.0505677941,-0.0159462915,-0.0325738088,1.0000000000,0.4000000000,0.0004000000,true,true,0.0484403585,true,有色金属;石油石化;银行;通信;煤炭
2024-05-21,2024-05-20,2024-06-18,19,28,-0.0524159851,-0.0355180406,-0.0650255961,-0.0168979446,0.0126096110,1.0000000000,1.6000000000,0.0016000000,true,true,0.0868992545,true,有色金属;家用电器;汽车;基础化工;机械设备
2024-06-19,2024-06-18,2024-07-16,19,27,-0.0018161862,-0.0086347857,-0.0437942376,0.0068185994,0.0419780514,0.1000000000,1.1000000000,0.0011000000,false,false,-0.0350828685,false,食品饮料;银行;医药生物;公用事业;农林牧渔
2024-07-17,2024-07-16,2024-08-13,19,27,-0.0026972603,-0.0477470171,-0.0215110916,0.0450497568,0.0188138313,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0360635975,false,公用事业;银行;交通运输;煤炭;家用电器
2024-08-14,2024-08-13,2024-09-10,19,27,-0.0061723542,-0.0342918616,-0.0392887651,0.0281195073,0.0331164108,0.1000000000,0.1200000000,0.0001200000,false,false,-0.1143169997,false,交通运输;环保;社会服务;公用事业;建筑装饰
2024-09-11,2024-09-10,2024-10-17,19,36,0.0158430728,0.1889722014,0.2000145669,-0.1731291286,-0.1841714941,0.1000000000,0.1200000000,0.0001200000,false,false,-0.1131414107,false,钢铁;交通运输;综合;家用电器;公用事业
2024-10-18,2024-10-17,2024-11-14,19,27,0.1094882632,0.0291422413,0.0726993680,0.0803460219,0.0367888952,1.0000000000,1.0600000000,0.0010600000,true,true,0.1145007375,true,非银金融;计算机;电力设备;综合;美容护理
2024-11-15,2024-11-14,2024-12-12,19,27,0.0935854670,0.0150346576,0.0638076744,0.0785508094,0.0297777926,1.0000000000,1.2000000000,0.0012000000,true,true,0.2779407363,true,非银金融;房地产;计算机;商贸零售;传媒
2024-12-13,2024-12-12,2025-01-10,19,28,-0.1334855562,-0.0510274129,-0.1108160224,-0.0824581433,-0.0226695339,1.0000000000,0.8000000000,0.0008000000,true,true,0.3340605157,true,计算机;综合;房地产;非银金融;机械设备
2025-01-13,2025-01-10,2025-02-17,19,35,0.0038513169,0.0604135382,0.0816326761,-0.0565622213,-0.0777813592,0.1000000000,1.1000000000,0.0011000000,false,false,-0.0134313912,false,煤炭;食品饮料;商贸零售;交通运输;医药生物
2025-02-18,2025-02-17,2025-03-17,19,27,0.0043949363,0.0214706679,0.0513191949,-0.0170757316,-0.0469242586,0.1000000000,0.2000000000,0.0002000000,false,true,-0.0236898617,false,汽车;机械设备;综合;银行;传媒
2025-03-18,2025-03-17,2025-04-15,19,28,-0.0139995097,-0.0615037977,-0.0678804699,0.0475042880,0.0538809602,0.1000000000,0.1200000000,0.0001200000,false,true,-0.0112610197,false,机械设备;电子;汽车;计算机;通信
2025-04-16,2025-04-15,2025-05-16,19,30,0.0014413545,0.0308177968,0.0371427598,-0.0293764422,-0.0357014053,0.1000000000,0.2000000000,0.0002000000,false,false,0.0101238189,true,农林牧渔;食品饮料;银行;公用事业;交通运输
2025-05-19,2025-05-16,2025-06-16,19,28,-0.0013445785,-0.0008640367,0.0054593686,-0.0004805417,-0.0068039471,0.1000000000,0.0800000000,0.0000800000,false,true,-0.0299813692,false,国防军工;美容护理;农林牧渔;食品饮料;公用事业
2025-06-17,2025-06-16,2025-07-14,19,27,0.0026625873,0.0380556948,0.0417732915,-0.0353931075,-0.0391107042,0.1000000000,0.0800000000,0.0000800000,false,true,-0.0418067787,false,银行;医药生物;农林牧渔;美容护理;公用事业
2025-07-15,2025-07-14,2025-08-11,19,27,0.0579610077,0.0257398496,0.0538011080,0.0322211580,0.0041598997,1.0000000000,1.0600000000,0.0010600000,true,true,0.0886271021,true,银行;国防军工;综合;通信;传媒
