date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理;石油石化;食品饮料,煤炭:0.2000;汽车:0.2000;美容护理:0.2000;石油石化:0.2000;食品饮料:0.2000,1.000000,1.000000,0.00100000,true,0.04204344,true,true
2022-07-22,2022-07-21,电力设备;汽车;公用事业;有色金属;国防军工,电力设备:0.2000;汽车:0.2000;公用事业:0.2000;有色金属:0.2000;国防军工:0.2000,1.000000,1.600000,0.00160000,true,0.07404402,true,true
2022-08-19,2022-08-18,美容护理;食品饮料;机械设备;通信;家用电器,美容护理:0.0200;食品饮料:0.0200;机械设备:0.0200;通信:0.0200;家用电器:0.0200,0.100000,1.100000,0.00110000,false,0.09467463,true,false
2022-09-19,2022-09-16,纺织服饰;综合;非银金融;环保;公用事业,纺织服饰:0.0200;综合:0.0200;非银金融:0.0200;环保:0.0200;公用事业:0.0200,0.100000,0.200000,0.00020000,false,-0.09721350,false,false
2022-10-24,2022-10-21,银行;非银金融;轻工制造;家用电器;房地产,银行:0.0200;非银金融:0.0200;轻工制造:0.0200;家用电器:0.0200;房地产:0.0200,0.100000,0.160000,0.00016000,false,-0.11291306,false,false
2022-11-21,2022-11-18,通信;建筑装饰;煤炭;社会服务;纺织服饰,通信:0.0200;建筑装饰:0.0200;煤炭:0.0200;社会服务:0.0200;纺织服饰:0.0200,0.100000,0.200000,0.00020000,false,-0.09718769,false,false
2022-12-19,2022-12-16,综合;医药生物;计算机;社会服务;商贸零售,综合:0.2000;医药生物:0.2000;计算机:0.2000;社会服务:0.2000;商贸零售:0.2000,1.000000,1.060000,0.00106000,true,0.00709359,true,true
2023-01-17,2023-01-16,社会服务;传媒;食品饮料;美容护理;轻工制造,社会服务:0.2000;传媒:0.2000;食品饮料:0.2000;美容护理:0.2000;轻工制造:0.2000,1.000000,1.600000,0.00160000,true,0.08500412,true,true
2023-02-21,2023-02-20,食品饮料;美容护理;社会服务;计算机;传媒,食品饮料:0.2000;美容护理:0.2000;社会服务:0.2000;计算机:0.2000;传媒:0.2000,1.000000,0.400000,0.00040000,true,0.07042754,true,true
2023-03-21,2023-03-20,石油石化;机械设备;医药生物;社会服务;食品饮料,石油石化:0.0200;机械设备:0.0200;医药生物:0.0200;社会服务:0.0200;食品饮料:0.0200,0.100000,1.020000,0.00102000,false,-0.00571651,false,false
2023-04-19,2023-04-18,传媒;计算机;通信;电子;社会服务,传媒:0.2000;计算机:0.2000;通信:0.2000;电子:0.2000;社会服务:0.2000,1.000000,1.060000,0.00106000,true,0.00295698,true,true
2023-05-22,2023-05-19,公用事业;农林牧渔;交通运输;商贸零售;房地产,公用事业:0.0200;农林牧渔:0.0200;交通运输:0.0200;商贸零售:0.0200;房地产:0.0200,0.100000,1.100000,0.00110000,false,-0.05284242,false,false
2023-06-19,2023-06-16,综合;银行;公用事业;环保;纺织服饰,综合:0.0200;银行:0.0200;公用事业:0.0200;环保:0.0200;纺织服饰:0.0200,0.100000,0.160000,0.00016000,false,0.00220737,true,false
2023-07-19,2023-07-18,汽车;环保;公用事业;银行;煤炭,汽车:0.0200;环保:0.0200;公用事业:0.0200;银行:0.0200;煤炭:0.0200,0.100000,0.080000,0.00008000,false,-0.07417892,false,false
2023-08-16,2023-08-15,汽车;电子;综合;有色金属;机械设备,汽车:0.0200;电子:0.0200;综合:0.0200;有色金属:0.0200;机械设备:0.0200,0.100000,0.160000,0.00016000,false,-0.03310037,false,false
2023-09-14,2023-09-13,钢铁;建筑材料;轻工制造;石油石化;交通运输,钢铁:0.0200;建筑材料:0.0200;轻工制造:0.0200;石油石化:0.0200;交通运输:0.0200,0.100000,0.200000,0.00020000,false,-0.06892968,false,false
2023-10-20,2023-10-19,家用电器;食品饮料;房地产;建筑材料;机械设备,家用电器:0.0200;食品饮料:0.0200;房地产:0.0200;建筑材料:0.0200;机械设备:0.0200,0.100000,0.160000,0.00016000,false,-0.09321709,false,false
