date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0081782443,-0.0361133802,-0.0048750151,0.0279351359,-0.0033032292,1.0000000000,1.0000000000,0.0010000000,true,true,0.0420434399,true,汽车;煤炭;美容护理;农林牧渔;食品饮料
2022-07-22,2022-07-21,2022-08-18,19,27,0.0208996476,-0.0137156313,0.0071917747,0.0346152788,0.0137078729,1.0000000000,1.6000000000,0.0016000000,true,true,0.0740440180,true,电力设备;公用事业;汽车;机械设备;家用电器
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0073119324,-0.0526105317,-0.0509477209,0.0452985993,0.0436357885,0.1000000000,1.0200000000,0.0010200000,false,false,0.0946746318,true,机械设备;通信;国防军工;电子;家用电器
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0024698041,-0.0471257637,-0.0240833264,0.0446559597,0.0216135223,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0972134975,false,公用事业;交通运输;石油石化;轻工制造;纺织服饰
2022-10-24,2022-10-21,2022-11-18,19,25,0.0031911457,0.0462931108,0.0540758266,-0.0431019651,-0.0508846809,0.1000000000,0.0800000000,0.0000800000,false,false,-0.1129130554,false,公用事业;银行;轻工制造;交通运输;通信
2022-11-21,2022-11-18,2022-12-16,19,25,0.0008964662,0.0491094762,0.0263493293,-0.0482130100,-0.0254528631,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0971876906,false,社会服务;计算机;通信;轻工制造;医药生物
2022-12-19,2022-12-16,2023-01-16,19,28,0.0188392861,0.0628631313,0.0356664886,-0.0440238452,-0.0168272025,1.0000000000,1.0200000000,0.0010200000,true,true,0.0070935879,true,综合;商贸零售;社会服务;医药生物;交通运输
2023-01-17,2023-01-16,2023-02-20,19,34,0.0504567110,-0.0009064014,0.0344560272,0.0513631124,0.0160006838,1.0000000000,1.6000000000,0.0016000000,true,true,0.0850041175,true,社会服务;传媒;轻工制造;美容护理;食品饮料
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0208946834,-0.0495300831,-0.0418430639,0.0286353997,0.0209483805,1.0000000000,0.4000000000,0.0004000000,true,true,0.0704275351,true,传媒;食品饮料;计算机;轻工制造;社会服务
2023-03-21,2023-03-20,2023-04-18,19,28,0.0039877562,0.0451112149,0.0252105875,-0.0411234587,-0.0212228313,0.1000000000,1.0600000000,0.0010600000,false,false,-0.0057165123,false,通信;国防军工;建筑装饰;计算机;纺织服饰
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0605531878,-0.0436458677,-0.0429302352,-0.0169073201,-0.0176229526,1.0000000000,1.0200000000,0.0010200000,true,true,0.0029569771,true,传媒;计算机;通信;电子;石油石化
2023-05-22,2023-05-19,2023-06-16,19,25,0.0004666174,-0.0015065515,0.0066119021,0.0019731689,-0.0061452847,0.1000000000,1.0600000000,0.0010600000,false,false,-0.0528424182,false,公用事业;传媒;银行;纺织服饰;非银金融
2023-06-19,2023-06-16,2023-07-18,19,29,-0.0042984049,-0.0193263138,-0.0142431962,0.0150279089,0.0099447913,0.1000000000,0.1200000000,0.0001200000,false,false,0.0022073672,true,通信;公用事业;传媒;机械设备;综合
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0041843577,-0.0011244212,-0.0094842256,-0.0030599365,0.0052998679,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0741789193,false,汽车;公用事业;机械设备;环保;国防军工
2023-08-16,2023-08-15,2023-09-13,19,28,-0.0012295409,-0.0213915508,-0.0120255590,0.0201620098,0.0107960181,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0331003731,false,非银金融;汽车;综合;钢铁;食品饮料
2023-09-14,2023-09-13,2023-10-19,19,35,-0.0046780088,-0.0535608583,-0.0525957732,0.0488828495,0.0479177645,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0689296780,false,环保;煤炭;石油石化;家用电器;轻工制造
2023-10-20,2023-10-19,2023-11-16,19,27,0.0029757771,0.0175953330,0.0394420983,-0.0146195559,-0.0364663212,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0932170866,false,银行;家用电器;医药生物;机械设备;钢铁
2023-11-17,2023-11-16,2023-12-14,19,27,-0.0048140256,-0.0605677579,-0.0302132648,0.0557537324,0.0253992393,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0626648810,false,汽车;家用电器;电子;食品饮料;医药生物
2023-12-15,2023-12-14,2024-01-12,19,28,-0.0021616391,-0.0171716718,-0.0311019876,0.0150100327,0.0289403485,0.1000000000,0.1600000000,0.0001600000,false,false,-0.0835331525,false,综合;农林牧渔;医药生物;交通运输;煤炭
2024-01-15,2024-01-12,2024-02-19,19,35,0.0038152410,0.0374559575,-0.0565571171,-0.0336407165,0.0603723581,0.1000000000,0.1200000000,0.0001200000,false,false,-0.0654066382,false,煤炭;公用事业;石油石化;银行;交通运输
2024-02-20,2024-02-19,2024-03-18,19,27,0.0019669659,0.0564903177,0.0869431757,-0.0545233518,-0.0849762099,0.1000000000,0.0400000000,0.0000400000,false,true,-0.0827435139,false,银行;煤炭;家用电器;公用事业;石油石化
2024-03-19,2024-03-18,2024-04-17,19,29,0.0664881715,-0.0034184642,-0.0320695631,0.0699066357,0.0985577346,1.0000000000,0.9400000000,0.0009400000,true,true,0.0460135686,true,家用电器;煤炭;有色金属;银行;石油石化
2024-04-18,2024-04-17,2024-05-20,19,32,0.0161760007,0.0339402768,0.0505677941,-0.0177642761,-0.0343917934,1.0000000000,0.4000000000,0.0004000000,true,true,0.0484403585,true,有色金属;石油石化;煤炭;银行;公用事业
2024-05-21,2024-05-20,2024-06-18,19,28,-0.0656679165,-0.0355180406,-0.0650255961,-0.0301498760,-0.0006423204,1.0000000000,1.6000000000,0.0016000000,true,true,0.0868992545,true,有色金属;家用电器;基础化工;农林牧渔;国防军工
2024-06-19,2024-06-18,2024-07-16,19,27,-0.0019744871,-0.0086347857,-0.0437942376,0.0066602986,0.0418197505,0.1000000000,1.0600000000,0.0010600000,false,false,-0.0350828685,false,公用事业;银行;家用电器;食品饮料;交通运输
2024-07-17,2024-07-16,2024-08-13,19,27,-0.0037482264,-0.0477470171,-0.0215110916,0.0439987906,0.0177628652,0.1000000000,0.0800000000,0.0000800000,false,false,-0.0360635975,false,银行;公用事业;石油石化;交通运输;通信
2024-08-14,2024-08-13,2024-09-10,19,27,-0.0052279813,-0.0342918616,-0.0392887651,0.0290638803,0.0340607838,0.1000000000,0.1200000000,0.0001200000,false,false,-0.1143169997,false,交通运输;环保;国防军工;社会服务;公用事业
2024-09-11,2024-09-10,2024-10-17,19,36,0.0180274867,0.1889722014,0.2000145669,-0.1709447147,-0.1819870802,0.1000000000,0.1200000000,0.0001200000,false,false,-0.1131414107,false,家用电器;交通运输;银行;非银金融;公用事业
2024-10-18,2024-10-17,2024-11-14,19,27,0.0990516070,0.0291422413,0.0726993680,0.0699093656,0.0263522389,1.0000000000,1.0200000000,0.0010200000,true,true,0.1145007375,true,非银金融;计算机;综合;房地产;家用电器
2024-11-15,2024-11-14,2024-12-12,19,27,0.1049442819,0.0150346576,0.0638076744,0.0899096243,0.0411366075,1.0000000000,0.4000000000,0.0004000000,true,true,0.2779407363,true,非银金融;计算机;商贸零售;房地产;综合
2024-12-13,2024-12-12,2025-01-10,19,28,-0.1513296988,-0.0510274129,-0.1108160224,-0.1003022859,-0.0405136764,1.0000000000,0.8000000000,0.0008000000,true,true,0.3340605157,true,综合;商贸零售;计算机;机械设备;传媒
2025-01-13,2025-01-10,2025-02-17,19,35,0.0022850874,0.0604135382,0.0816326761,-0.0581284508,-0.0793475887,0.1000000000,1.0600000000,0.0010600000,false,false,-0.0134313912,false,银行;商贸零售;煤炭;食品饮料;石油石化
2025-02-18,2025-02-17,2025-03-17,19,27,0.0055565179,0.0214706679,0.0513191949,-0.0159141501,-0.0457626770,0.1000000000,0.1600000000,0.0001600000,false,true,-0.0236898617,false,传媒;机械设备;汽车;计算机;商贸零售
2025-03-18,2025-03-17,2025-04-15,19,28,-0.0122905510,-0.0615037977,-0.0678804699,0.0492132466,0.0555899189,0.1000000000,0.0800000000,0.0000800000,false,true,-0.0112610197,false,机械设备;汽车;有色金属;电子;计算机
2025-04-16,2025-04-15,2025-05-16,19,30,0.0014413545,0.0308177968,0.0371427598,-0.0293764422,-0.0357014053,0.1000000000,0.2000000000,0.0002000000,false,false,0.0101238189,true,农林牧渔;公用事业;银行;食品饮料;交通运输
2025-05-19,2025-05-16,2025-06-16,19,28,-0.0009103056,-0.0008640367,0.0054593686,-0.0000462689,-0.0063696742,0.1000000000,0.1600000000,0.0001600000,false,true,-0.0299813692,false,家用电器;银行;纺织服饰;机械设备;美容护理
2025-06-17,2025-06-16,2025-07-14,19,27,0.0041285373,0.0380556948,0.0417732915,-0.0339271575,-0.0376447542,0.1000000000,0.1200000000,0.0001200000,false,true,-0.0418067787,false,银行;医药生物;基础化工;纺织服饰;轻工制造
