industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,17,0.3541666667,10,7,0.1258823529
公用事业,16,0.3333333333,2,14,0.0425000000
银行,16,0.3333333333,3,13,0.0537500000
石油石化,13,0.2708333333,5,8,0.0892307692
家用电器,12,0.2500000000,4,8,0.0800000000
综合,12,0.2500000000,8,4,0.1400000000
有色金属,11,0.2291666667,10,1,0.1836363636
交通运输,10,0.2083333333,1,9,0.0380000000
传媒,10,0.2083333333,7,3,0.1460000000
机械设备,10,0.2083333333,3,7,0.0740000000
煤炭,10,0.2083333333,5,5,0.1100000000
电子,9,0.1875000000,6,3,0.1400000000
计算机,9,0.1875000000,5,4,0.1200000000
食品饮料,9,0.1875000000,3,6,0.0800000000
国防军工,8,0.1666666667,4,4,0.1100000000
医药生物,7,0.1458333333,2,5,0.0714285714
汽车,7,0.1458333333,2,5,0.0714285714
轻工制造,7,0.1458333333,2,5,0.0714285714
商贸零售,5,0.1041666667,3,2,0.1280000000
社会服务,5,0.1041666667,3,2,0.1280000000
纺织服饰,5,0.1041666667,0,5,0.0200000000
非银金融,5,0.1041666667,2,3,0.0920000000
农林牧渔,4,0.0833333333,2,2,0.1100000000
基础化工,4,0.0833333333,2,2,0.1100000000
环保,4,0.0833333333,1,3,0.0650000000
电力设备,4,0.0833333333,4,0,0.2000000000
美容护理,3,0.0625000000,2,1,0.1400000000
钢铁,3,0.0625000000,0,3,0.0200000000
建筑材料,2,0.0416666667,2,0,0.2000000000
房地产,2,0.0416666667,2,0,0.2000000000
建筑装饰,1,0.0208333333,0,1,0.0200000000
