date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,0.0054476073,-0.0361133802,0.0333295542,0.0415609875,-0.0278819470,1.0000000000,1.0000000000,0.0010000000,true,true,0.0420434399,true,煤炭;汽车;美容护理;石油石化;食品饮料
2022-07-22,2022-07-21,2022-08-18,19,27,-0.0317799246,-0.0137156313,0.0256417833,-0.0180642934,-0.0574217079,1.0000000000,1.8000000000,0.0018000000,true,true,0.0740440180,true,电力设备;汽车;公用事业;有色金属;国防军工
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0107414598,-0.0526105317,-0.0494146277,0.0418690719,0.0386731679,0.1000000000,1.0800000000,0.0010800000,false,false,0.0946746318,true,国防军工;美容护理;电力设备;机械设备;电子
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0029698058,-0.0471257637,-0.0216411403,0.0441559579,0.0186713345,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0972134975,false,煤炭;通信;综合;公用事业;石油石化
2022-10-24,2022-10-21,2022-11-18,19,25,-0.0038393282,0.0462931108,0.0749671069,-0.0501324390,-0.0788064351,0.1000000000,0.1400000000,0.0001400000,false,false,-0.1129130554,false,煤炭;综合;石油石化;房地产;交通运输
2022-11-21,2022-11-18,2022-12-16,19,25,0.0147942186,0.0491094762,0.0337424312,-0.0343152576,-0.0189482126,0.1000000000,0.2000000000,0.0002000000,false,false,-0.0971876906,false,社会服务;综合;商贸零售;交通运输;医药生物
2022-12-19,2022-12-16,2023-01-16,19,28,-0.0492103118,0.0628631313,0.0260547272,-0.1120734431,-0.0752650390,1.0000000000,1.0000000000,0.0010000000,true,true,0.0070935879,true,综合;医药生物;计算机;社会服务;商贸零售
2023-01-17,2023-01-16,2023-02-20,19,34,0.0102152988,-0.0009064014,0.0617244762,0.0111217002,-0.0515091774,1.0000000000,1.8000000000,0.0018000000,true,true,0.0850041175,true,社会服务;传媒;食品饮料;美容护理;轻工制造
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0552834348,-0.0495300831,-0.0379276639,-0.0057533517,-0.0173557710,1.0000000000,1.4000000000,0.0014000000,true,true,0.0704275351,true,食品饮料;美容护理;社会服务;计算机;传媒
2023-03-21,2023-03-20,2023-04-18,19,28,0.0068391852,0.0451112149,0.0079627512,-0.0382720297,-0.0011235660,0.1000000000,1.0800000000,0.0010800000,false,false,-0.0057165123,false,计算机;通信;国防军工;传媒;石油石化
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0801077946,-0.0436458677,-0.0266124488,-0.0364619269,-0.0534953458,1.0000000000,1.0400000000,0.0010400000,true,true,0.0029569771,true,传媒;计算机;通信;电子;社会服务
2023-05-22,2023-05-19,2023-06-16,19,25,0.0084905962,-0.0015065515,0.0196157590,0.0099971477,-0.0111251627,0.1000000000,1.0600000000,0.0010600000,false,false,-0.0528424182,false,传媒;建筑装饰;通信;公用事业;银行
