rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2023,0.0313812526
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2024,0.0855671140
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2025,0.1862084782
1,ret60_ret5_top5_riskoff0_mthr0p02,ret60_ret5,2026,0.0647373348
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2022,0.0000000000
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2023,0.0280456999
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2024,0.0488218767
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2025,0.1151451674
2,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,2026,0.1223162330
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2022,0.0000000000
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2023,0.0280456999
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2024,0.0855671140
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2025,0.0570378864
3,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,2026,0.1223162330
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2022,0.0000000000
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2023,-0.0460502867
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2024,0.0855671140
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2025,0.1862084782
4,ret60_ret5_top5_riskoff0_mthr0,ret60_ret5,2026,0.0647373348
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2022,0.0000000000
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2023,0.0313812526
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2024,0.0027487121
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2025,0.1575994943
5,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,2026,0.0433424014
