section,name,value
summary,folds,4
summary,selection_metric,sharpe_plus_calmar
summary,first_train_start,2021-12-13
summary,last_test_end,2026-02-24
test_mean,final_equity,1.0513974418
test_median,final_equity,1.0079001947
test_std,final_equity,0.1572278656
train_mean,final_equity,1.0680207286
train_median,final_equity,1.0619022853
train_std,final_equity,0.0325997193
test_mean,annualized_return,0.1316747470
test_median,annualized_return,0.0160443104
test_std,annualized_return,0.3534436686
train_mean,annualized_return,0.0333988472
train_median,annualized_return,0.0305225522
train_std,annualized_return,0.0157567750
test_mean,max_drawdown,-0.1336497922
test_median,max_drawdown,-0.1190946433
test_std,max_drawdown,0.0610178957
train_mean,max_drawdown,-0.1041681335
train_median,max_drawdown,-0.1104034033
train_std,max_drawdown,0.0470206611
test_mean,sharpe_ratio,0.3731276195
test_median,sharpe_ratio,0.2301858637
test_std,sharpe_ratio,1.2282173293
train_mean,sharpe_ratio,0.3907490810
train_median,sharpe_ratio,0.3800067354
train_std,sharpe_ratio,0.0408916203
test_mean,calmar_ratio,1.9102463681
test_median,calmar_ratio,0.2226640538
test_std,calmar_ratio,3.6629694554
train_mean,calmar_ratio,0.3257764848
train_median,calmar_ratio,0.3365551264
train_std,calmar_ratio,0.0465723593
test_mean,monthly_win_rate,0.3839285714
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.1912882615
train_mean,monthly_win_rate,0.1938461538
train_median,monthly_win_rate,0.1953846154
train_std,monthly_win_rate,0.0853534247
test_mean,max_consecutive_losing_months,2.0000000000
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,0.7071067812
train_mean,max_consecutive_losing_months,1.7500000000
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.4330127019
test_mean,average_turnover,0.6880952381
test_median,average_turnover,0.6761904762
test_std,average_turnover,0.0272512456
train_mean,average_turnover,0.3182307692
train_median,average_turnover,0.3164615385
train_std,average_turnover,0.1477529323
test_mean,total_transaction_cost,0.0043000000
test_median,total_transaction_cost,0.0042000000
test_std,total_transaction_cost,0.0003316625
train_mean,total_transaction_cost,0.0079000000
train_median,total_transaction_cost,0.0081000000
train_std,total_transaction_cost,0.0039408121
test_mean,equal_weight_final_equity,1.1037932176
test_median,equal_weight_final_equity,1.1345319081
test_std,equal_weight_final_equity,0.1162364525
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
train_std,equal_weight_final_equity,0.1450788740
test_mean,excess_return_vs_equal_weight,-0.0386975560
test_median,excess_return_vs_equal_weight,-0.0391655954
test_std,excess_return_vs_equal_weight,0.1588252964
train_mean,excess_return_vs_equal_weight,0.2266765500
train_median,excess_return_vs_equal_weight,0.2552841681
train_std,excess_return_vs_equal_weight,0.1674948406
test_mean,benchmark_final_equity,1.0968712875
test_median,benchmark_final_equity,1.0971308758
test_std,benchmark_final_equity,0.0481854237
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
train_std,benchmark_final_equity,0.1745972595
test_mean,excess_return_vs_benchmark,-0.0421370500
test_median,excess_return_vs_benchmark,-0.0776565820
test_std,excess_return_vs_benchmark,0.1302800321
train_mean,excess_return_vs_benchmark,0.2827027202
train_median,excess_return_vs_benchmark,0.2469027699
train_std,excess_return_vs_benchmark,0.2379831866
selection_count,ret60_ret5_top5_riskoff0_mthr0p02,2
selection_count,ret60_ret5_top5_riskoff0_mthr0,1
selection_count,ret60_ret5_top5_riskoff0_mthrneg0p02,1
