rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,60-day industry momentum,ret60,5,0.000000,true,false,48,1.3383372824,0.0708401037,-0.2682388017,0.4891064734,0.2640934245,0.3272727273,4.0000000000,0.5625000000,0.0270000000,1.0374609450,0.2900122061,0.9667099414,0.3844248674
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,60-day industry momentum,ret60,5,0.200000,true,false,48,1.3102291605,0.0655152134,-0.2682388017,0.4560915201,0.2442421193,0.4727272727,4.0000000000,0.6391666667,0.0306800000,1.0374609450,0.2629190205,0.9667099414,0.3553488016
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.200000,true,false,48,1.3072580520,0.0649472650,-0.2448267212,0.4654586935,0.2652784987,0.4545454545,4.0000000000,0.7141666667,0.0342800000,1.0374609450,0.2600551936,0.9667099414,0.3522753786
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,60-day industry momentum,ret60,5,0.300000,true,false,48,1.2948841657,0.0625712327,-0.2682388017,0.4359244280,0.2332668962,0.4909090909,4.0000000000,0.6775000000,0.0325200000,1.0374609450,0.2481281073,0.9667099414,0.3394753796
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,60-day industry momentum,ret60,5,0.000000,true,true,48,1.2890890149,0.0614524710,-0.1780787642,0.4902156086,0.3450859019,0.2727272727,3.0000000000,0.3958333333,0.0190000000,1.0374609450,0.2425422095,0.9667099414,0.3334806644
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.300000,true,false,48,1.2853761834,0.0607336797,-0.2448267212,0.4374768572,0.2480680189,0.4727272727,4.0000000000,0.7566666667,0.0363200000,1.0374609450,0.2389634420,0.9667099414,0.3296399762
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.200000,true,true,48,1.2782716300,0.0593538227,-0.1725948937,0.4779592751,0.3438909544,0.4545454545,4.0000000000,0.5675000000,0.0272400000,1.0374609450,0.2321154220,0.9667099414,0.3222907672
