rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
1,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2021,0.0000000000
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2022,0.0000000000
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2023,0.0033622986
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2024,-0.0000120556
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2025,0.1838777067
2,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,2026,0.1266945438
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2021,0.0000000000
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2022,-0.0221551899
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2023,-0.0164088102
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2024,0.0148904621
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2025,0.1913444159
3,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,2026,0.1266945438
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2022,0.0000000000
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2023,-0.0460502867
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2024,0.0855671140
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2025,0.1862084782
4,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,2026,0.0647373348
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2022,-0.0207204211
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2023,0.0021459807
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2024,0.0601824907
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2025,0.1195094564
5,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
6,ret60_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2021,0.0000000000
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2022,-0.0333506619
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2023,-0.0263984575
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2024,0.0218317840
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2025,0.1950748601
7,ret60_top5_riskoff0p3_riskctrl1_mscore0,ret60,2026,0.1266945438
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2021,0.0000000000
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2022,0.0000000000
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2023,-0.0755054725
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2024,0.0374930321
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2025,0.2438804025
8,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,2026,0.0804750648
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2022,-0.0312018978
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2023,-0.0107455630
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2024,0.0653782866
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1216823255
9,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2022,-0.0207204211
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2023,-0.0557626859
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2024,0.0898789262
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2025,0.1786612383
10,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,2026,0.0761381721
11,ret60_top5_riskoff0p2_riskctrl1_mscore1,ret60,2021,0.0000000000
11,ret60_top5_riskoff0p2_riskctrl1_mscore1,ret60,2022,-0.0221551899
