signal_date,date_start,date_end,benchmark_start,benchmark_end,benchmark_return,cause,result,market_trend,market_score_ok,market_score
2022-06-23,2022-06-24,2022-07-22,4394.77,4238.23,-3.56,market_trend,TRUE_POSITIVE,False,True,0.04204344
2022-07-21,2022-07-22,2022-08-19,4238.23,4151.07,-2.06,market_trend,TRUE_POSITIVE,False,True,0.07404402
2022-08-18,2022-08-19,2022-09-19,4151.07,3928.0,-5.37,market_trend,TRUE_POSITIVE,False,True,0.09467463
2022-09-16,2022-09-19,2022-10-24,3928.0,3633.37,-7.5,market_trend+market_score,TRUE_POSITIVE,False,False,-0.0972135
2022-10-21,2022-10-24,2022-11-21,3633.37,3769.13,3.74,market_trend+market_score,FALSE_POSITIVE,False,False,-0.11291306
2022-11-18,2022-11-21,2022-12-19,3769.13,3893.22,3.29,market_trend+market_score,FALSE_POSITIVE,False,False,-0.09718769
2022-12-16,2022-12-19,2023-01-17,3893.22,4137.24,6.27,market_trend,FALSE_POSITIVE,False,True,0.00709359
2023-03-20,2023-03-21,2023-04-19,3982.38,4124.56,3.57,market_score,FALSE_POSITIVE,True,False,-0.00571651
2023-05-19,2023-05-22,2023-06-19,3969.33,3930.91,-0.97,market_trend+market_score,NEUTRAL,False,False,-0.05284242
2023-06-16,2023-06-19,2023-07-19,3930.91,3850.87,-2.04,market_trend,TRUE_POSITIVE,False,True,0.00220737
2023-07-18,2023-07-19,2023-08-16,3850.87,3818.33,-0.85,market_trend+market_score,NEUTRAL,False,False,-0.07417892
2023-08-15,2023-08-16,2023-09-14,3818.33,3733.51,-2.22,market_trend+market_score,TRUE_POSITIVE,False,False,-0.03310037
2023-09-13,2023-09-14,2023-10-20,3733.51,3510.59,-5.97,market_trend+market_score,TRUE_POSITIVE,False,False,-0.06892968
2023-10-19,2023-10-20,2023-11-17,3510.59,3568.07,1.64,market_trend+market_score,NEUTRAL,False,False,-0.09321709
2023-11-16,2023-11-17,2023-12-15,3568.07,3341.55,-6.35,market_trend+market_score,TRUE_POSITIVE,False,False,-0.06266488
2023-12-14,2023-12-15,2024-01-15,3341.55,3280.92,-1.81,market_trend+market_score,NEUTRAL,False,False,-0.08353315
2024-01-12,2024-01-15,2024-02-20,3280.92,3410.85,3.96,market_trend+market_score,FALSE_POSITIVE,False,False,-0.06540664
2024-02-19,2024-02-20,2024-03-19,3410.85,3577.63,4.89,market_trend+market_score,FALSE_POSITIVE,False,False,-0.08274351
2024-06-18,2024-06-19,2024-07-17,3528.75,3501.58,-0.77,market_score,NEUTRAL,True,False,-0.03508287
2024-07-16,2024-07-17,2024-08-14,3501.58,3309.24,-5.49,market_trend+market_score,TRUE_POSITIVE,False,False,-0.0360636
2024-08-13,2024-08-14,2024-09-11,3309.24,3186.13,-3.72,market_trend+market_score,TRUE_POSITIVE,False,False,-0.114317
2024-09-10,2024-09-11,2024-10-18,3186.13,3925.23,23.2,market_trend+market_score,FALSE_POSITIVE,False,False,-0.11314141
2025-01-10,2025-01-13,2025-02-18,3722.51,3912.78,5.11,market_score,FALSE_POSITIVE,True,False,-0.01343139
2025-02-17,2025-02-18,2025-03-18,3912.78,4007.72,2.43,market_score,FALSE_POSITIVE,True,False,-0.02368986
2025-03-17,2025-03-18,2025-04-16,4007.72,3772.82,-5.86,market_score,TRUE_POSITIVE,True,False,-0.01126102
2025-04-15,2025-04-16,2025-05-19,3772.82,3877.15,2.77,market_trend,FALSE_POSITIVE,False,True,0.01012382
2025-05-16,2025-05-19,2025-06-17,3877.15,3870.38,-0.17,market_score,NEUTRAL,True,False,-0.02998137
2025-06-16,2025-06-17,2025-07-15,3870.38,4019.06,3.84,market_score,FALSE_POSITIVE,True,False,-0.04180678
2026-04-13,2026-04-14,2026-05-15,4701.28,4859.59,3.37,market_score,FALSE_POSITIVE,True,False,-0.00114636
