rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2023,0.0234929378
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2024,0.0531625031
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2025,0.1252544977
1,ret60_ret5_top5_softoff0_modes,ret60_ret5,2026,0.0803126129
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2022,0.0000000000
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2023,-0.0460502867
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2024,0.0855671140
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2025,0.1862084782
2,ret60_ret5_top5_riskoff0_modeh,ret60_ret5,2026,0.0647373348
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2022,-0.0103182433
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2023,0.0111575040
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2024,0.0586270301
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2025,0.1268998485
3,ret60_ret5_top5_softoff0p1_modes,ret60_ret5,2026,0.0845388076
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2022,-0.0207204211
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2023,-0.0011832015
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2024,0.0637579373
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2025,0.1284372198
4,ret60_ret5_top5_softoff0p2_modes,ret60_ret5,2026,0.0887597828
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2022,-0.0207204211
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2023,-0.0557626859
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2024,0.0898789262
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2025,0.1786612383
5,ret60_ret5_top5_riskoff0p2_modeh,ret60_ret5,2026,0.0761381721
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2021,0.0000000000
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2022,-0.0312018978
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2023,-0.0608166491
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2024,0.0914817913
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2025,0.1744479816
6,ret60_ret5_top5_riskoff0p3_modeh,ret60_ret5,2026,0.0818604186
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2021,0.0000000000
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2022,-0.0312018978
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2023,-0.0135254189
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2024,0.0685508201
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2025,0.1298654698
7,ret60_ret5_top5_softoff0p3_modes,ret60_ret5,2026,0.0929753441
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2021,0.0000000000
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2022,-0.0523842114
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2023,-0.0713081342
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2024,0.0935766398
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2025,0.1651395500
8,ret60_ret5_top5_riskoff0p5_modeh,ret60_ret5,2026,0.0933481789
