rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_top5_riskoff0_riskctrl0_mscore0,ret60,ret60,5,0.000000,false,false,4,2024-01-18,2026-02-24,1.5261537223,1.4498270513,0.0526453627,1.4419284927,0.0584115163
2,ret60_top5_riskoff0p2_riskctrl0_mscore0,ret60,ret60,5,0.200000,false,false,4,2024-01-18,2026-02-24,1.5261537223,1.4498270513,0.0526453627,1.4419284927,0.0584115163
3,ret60_top5_riskoff0p3_riskctrl0_mscore0,ret60,ret60,5,0.300000,false,false,4,2024-01-18,2026-02-24,1.5261537223,1.4498270513,0.0526453627,1.4419284927,0.0584115163
4,ret60_top5_riskoff0p5_riskctrl0_mscore0,ret60,ret60,5,0.500000,false,false,4,2024-01-18,2026-02-24,1.5261537223,1.4498270513,0.0526453627,1.4419284927,0.0584115163
5,ret60_ret120_ret5_top8_riskoff0_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,false,false,4,2024-01-18,2026-02-24,1.5155797223,1.4498270513,0.0453520790,1.4419284927,0.0510782816
6,ret60_ret120_ret5_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,false,false,4,2024-01-18,2026-02-24,1.5155797223,1.4498270513,0.0453520790,1.4419284927,0.0510782816
7,ret60_ret120_ret5_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,false,false,4,2024-01-18,2026-02-24,1.5155797223,1.4498270513,0.0453520790,1.4419284927,0.0510782816
8,ret60_ret120_ret5_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,false,false,4,2024-01-18,2026-02-24,1.5155797223,1.4498270513,0.0453520790,1.4419284927,0.0510782816
9,ret60_top5_riskoff0p5_riskctrl0_mscore1,ret60,ret60,5,0.500000,false,true,4,2024-01-18,2026-02-24,1.5062967988,1.4498270513,0.0389492991,1.4419284927,0.0446404287
10,ret60_top5_riskoff0p3_riskctrl0_mscore1,ret60,ret60,5,0.300000,false,true,4,2024-01-18,2026-02-24,1.4912839122,1.4498270513,0.0285943491,1.4419284927,0.0342287567
11,ret60_ret5_top8_riskoff0_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.000000,false,false,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
12,ret60_ret5_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.200000,false,false,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
13,ret60_ret5_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.300000,false,false,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
14,ret60_ret5_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret5,ret60;ret5,8,0.500000,false,false,4,2024-01-18,2026-02-24,1.4872022908,1.4498270513,0.0257791020,1.4419284927,0.0313980883
15,ret60_top5_riskoff0p5_riskctrl1_mscore1,ret60,ret60,5,0.500000,true,true,4,2024-01-18,2026-02-24,1.4842478073,1.4498270513,0.0237412841,1.4419284927,0.0293491077
16,ret60_top5_riskoff0p2_riskctrl0_mscore1,ret60,ret60,5,0.200000,false,true,4,2024-01-18,2026-02-24,1.4823301708,1.4498270513,0.0224186185,1.4419284927,0.0280191968
17,ret60_top5_riskoff0_riskctrl0_mscore1,ret60,ret60,5,0.000000,false,true,4,2024-01-18,2026-02-24,1.4616318040,1.4498270513,0.0081421799,1.4419284927,0.0136645551
18,ret60_top5_riskoff0p3_riskctrl1_mscore1,ret60,ret60,5,0.300000,true,true,4,2024-01-18,2026-02-24,1.4606957105,1.4498270513,0.0074965211,1.4419284927,0.0130153596
19,ret60_ret120_ret5_top8_riskoff0p5_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,false,true,4,2024-01-18,2026-02-24,1.4582337259,1.4498270513,0.0057983982,1.4419284927,0.0113079347
20,ret60_ret5_top5_riskoff0p5_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.500000,false,true,4,2024-01-18,2026-02-24,1.4483915714,1.4498270513,-0.0009901043,1.4419284927,0.0044822463
21,ret60_top5_riskoff0p2_riskctrl1_mscore1,ret60,ret60,5,0.200000,true,true,4,2024-01-18,2026-02-24,1.4475669960,1.4498270513,-0.0015588448,1.4419284927,0.0039103904
22,ret60_ret5_top5_riskoff0p3_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.300000,false,true,4,2024-01-18,2026-02-24,1.4451046338,1.4498270513,-0.0032572282,1.4419284927,0.0022027036
23,ret60_ret5_top5_riskoff0p2_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.200000,false,true,4,2024-01-18,2026-02-24,1.4421997719,1.4498270513,-0.0052608202,1.4419284927,0.0001881364
24,ret60_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.000000,false,false,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
25,ret60_ret5_top5_riskoff0p2_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.200000,false,false,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
26,ret60_ret5_top5_riskoff0p3_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.300000,false,false,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
27,ret60_ret5_top5_riskoff0p5_riskctrl0_mscore0,ret60_ret5,ret60;ret5,5,0.500000,false,false,4,2024-01-18,2026-02-24,1.4416241591,1.4498270513,-0.0056578419,1.4419284927,-0.0002110601
28,ret60_ret5_top5_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.500000,true,true,4,2024-01-18,2026-02-24,1.4358998346,1.4498270513,-0.0096061228,1.4419284927,-0.0041809688
29,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,true,4,2024-01-18,2026-02-24,1.4353455708,1.4498270513,-0.0099884193,1.4419284927,-0.0045653594
30,ret60_ret5_top5_riskoff0_riskctrl0_mscore1,ret60_ret5,ret60;ret5,5,0.000000,false,true,4,2024-01-18,2026-02-24,1.4339111156,1.4498270513,-0.0109778168,1.4419284927,-0.0055601766
31,ret60_ret120_ret5_top8_riskoff0p3_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,false,true,4,2024-01-18,2026-02-24,1.4300833571,1.4498270513,-0.0136179651,1.4419284927,-0.0082147871
32,ret60_ret5_top8_riskoff0p5_riskctrl0_mscore1,ret60_ret5,ret60;ret5,8,0.500000,false,true,4,2024-01-18,2026-02-24,1.4281879466,1.4498270513,-0.0149253007,1.4419284927,-0.0095292840
33,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.300000,true,true,4,2024-01-18,2026-02-24,1.4275928057,1.4498270513,-0.0153357917,1.4419284927,-0.0099420235
34,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,false,4,2024-01-18,2026-02-24,1.4226373598,1.4498270513,-0.0187537482,1.4419284927,-0.0133787029
35,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.200000,true,true,4,2024-01-18,2026-02-24,1.4221907434,1.4498270513,-0.0190617963,1.4419284927,-0.0136884383
36,ret60_ret120_top5_riskoff0_riskctrl0_mscore1,ret60_ret120,ret60;ret120,5,0.000000,false,true,4,2024-01-18,2026-02-24,1.4203592726,1.4498270513,-0.0203250303,1.4419284927,-0.0149585920
37,ret60_ret120_top5_riskoff0p2_riskctrl0_mscore1,ret60_ret120,ret60;ret120,5,0.200000,false,true,4,2024-01-18,2026-02-24,1.4193609526,1.4498270513,-0.0210136090,1.4419284927,-0.0156509426
38,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,ret60,5,0.000000,true,true,4,2024-01-18,2026-02-24,1.4187482452,1.4498270513,-0.0214362162,1.4419284927,-0.0160758648
39,ret60_ret120_top5_riskoff0p3_riskctrl0_mscore1,ret60_ret120,ret60;ret120,5,0.300000,false,true,4,2024-01-18,2026-02-24,1.4175889089,1.4498270513,-0.0222358539,1.4419284927,-0.0168798827
40,ret60_top5_riskoff0p5_riskctrl1_mscore0,ret60,ret60,5,0.500000,true,false,4,2024-01-18,2026-02-24,1.4173865644,1.4498270513,-0.0223754184,1.4419284927,-0.0170202117
41,ret60_ret120_ret5_top8_riskoff0p2_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,false,true,4,2024-01-18,2026-02-24,1.4149889630,1.4498270513,-0.0240291339,1.4419284927,-0.0186829858
42,ret60_top8_riskoff0_riskctrl0_mscore0,ret60,ret60,8,0.000000,false,false,4,2024-01-18,2026-02-24,1.4134159377,1.4498270513,-0.0251141084,1.4419284927,-0.0197739036
43,ret60_top8_riskoff0p2_riskctrl0_mscore0,ret60,ret60,8,0.200000,false,false,4,2024-01-18,2026-02-24,1.4134159377,1.4498270513,-0.0251141084,1.4419284927,-0.0197739036
44,ret60_top8_riskoff0p3_riskctrl0_mscore0,ret60,ret60,8,0.300000,false,false,4,2024-01-18,2026-02-24,1.4134159377,1.4498270513,-0.0251141084,1.4419284927,-0.0197739036
45,ret60_top8_riskoff0p5_riskctrl0_mscore0,ret60,ret60,8,0.500000,false,false,4,2024-01-18,2026-02-24,1.4134159377,1.4498270513,-0.0251141084,1.4419284927,-0.0197739036
46,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.000000,false,false,4,2024-01-18,2026-02-24,1.4127252802,1.4498270513,-0.0255904807,1.4419284927,-0.0202528853
47,ret60_ret120_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.200000,false,false,4,2024-01-18,2026-02-24,1.4127252802,1.4498270513,-0.0255904807,1.4419284927,-0.0202528853
48,ret60_ret120_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.300000,false,false,4,2024-01-18,2026-02-24,1.4127252802,1.4498270513,-0.0255904807,1.4419284927,-0.0202528853
49,ret60_ret120_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.500000,false,false,4,2024-01-18,2026-02-24,1.4127252802,1.4498270513,-0.0255904807,1.4419284927,-0.0202528853
50,ret60_ret120_top5_riskoff0p5_riskctrl0_mscore1,ret60_ret120,ret60;ret120,5,0.500000,false,true,4,2024-01-18,2026-02-24,1.4114960398,1.4498270513,-0.0264383338,1.4419284927,-0.0211053828
51,ret60_ret5_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,8,0.500000,true,true,4,2024-01-18,2026-02-24,1.4101738420,1.4498270513,-0.0273503031,1.4419284927,-0.0220223477
52,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,4,2024-01-18,2026-02-24,1.4089553236,1.4498270513,-0.0281907609,1.4419284927,-0.0228674094
