date,fold,selected_name,strategy,equal_weight,benchmark
2024-01-18,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,1.0000000000,1.0000000000
2024-01-19,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9935526183,0.9984884250
2024-01-22,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9527570881,0.9829512662
2024-01-23,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9602356556,0.9869302202
2024-01-24,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9772632986,1.0007267775
2024-01-25,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,1.0067765340,1.0208230908
2024-01-26,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,1.0060869093,1.0180442357
2024-01-29,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9878382097,1.0089259267
2024-01-30,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9642097649,0.9909336037
2024-01-31,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9383000826,0.9818672074
2024-02-01,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9299476039,0.9825878775
2024-02-02,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9082191650,0.9709594379
2024-02-05,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.8765805348,0.9773080529
2024-02-06,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9096519055,1.0112864267
2024-02-07,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9229717056,1.0210399025
2024-02-08,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9487848089,1.0275442556
2024-02-19,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9652751728,1.0394169901
2024-02-20,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9705293752,1.0415667857
2024-02-21,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9803421635,1.0556198526
2024-02-22,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,0.9932179774,1.0647198395
2024-02-23,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,1.0028124159,1.0656573214
2024-02-26,1,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1.0000000000,1.0025492705,1.0545480085
