factor,kind,description,enabled_factors,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
all_factors,factor,configured full industry factor model,ret20;ret60;ret120;amount_strength;vol20;ret5,48,1.0282423274,0.0065623690,-0.3033537386,0.1198011439,0.0216327283,0.4727272727,7.0000000000,0.8625000000,0.0414000000,1.0374609450,-0.0088857490,0.9667099414,0.0636513430
price_momentum,factor,20/60/120-day industry momentum,ret20;ret60;ret120,48,1.1070790055,0.0241783538,-0.3255917349,0.2254700760,0.0742597284,0.4181818182,6.0000000000,0.8291666667,0.0398000000,1.0374609450,0.0671042711,0.9667099414,0.1452028764
ret20,factor,20-day industry momentum,ret20,48,1.0534385546,0.0123015413,-0.3360474453,0.1566043026,0.0366065610,0.4000000000,6.0000000000,1.0833333333,0.0520000000,1.0374609450,0.0154006854,0.9667099414,0.0897152388
ret60,factor,60-day industry momentum,ret60,48,1.2441939305,0.0526524156,-0.2376435602,0.3946726823,0.2215604560,0.4727272727,4.0000000000,0.6708333333,0.0322000000,1.0374609450,0.1992682101,0.9667099414,0.2870395527
ret120,factor,120-day industry momentum,ret120,48,1.1347255290,0.0301285286,-0.2898521491,0.2654230097,0.1039444722,0.4727272727,7.0000000000,0.6041666667,0.0290000000,1.0374609450,0.0937525258,0.9667099414,0.1738014480
amount_strength,factor,20-day versus 120-day amount strength,amount_strength,48,0.8905834816,-0.0268477096,-0.2958421169,-0.0947213216,-0.0907501269,0.4000000000,6.0000000000,0.9333333333,0.0448000000,1.0374609450,-0.1415739688,0.9667099414,-0.0787479848
risk_penalty,factor,volatility and short-term overheating penalties,vol20;ret5,48,1.0793219123,0.0180888821,-0.1262266556,0.2301390488,0.1433047718,0.4181818182,4.0000000000,0.8791666667,0.0422000000,1.0374609450,0.0403494392,0.9667099414,0.1164899274
vol20,factor,20-day volatility factor using configured sign,vol20,48,0.9818933744,-0.0042822163,-0.1567790333,0.0032304732,-0.0273137051,0.4727272727,3.0000000000,0.7625000000,0.0366000000,1.0374609450,-0.0535611204,0.9667099414,0.0157062965
ret5,factor,5-day return factor using configured sign,ret5,48,1.1129027444,0.0254411332,-0.2370755938,0.2525689120,0.1073123251,0.4545454545,6.0000000000,1.1416666667,0.0548000000,1.0374609450,0.0727177247,0.9667099414,0.1512271641
without_ret20,ablation,full model without ret20,ret60;ret120;amount_strength;vol20;ret5,48,1.1223944049,0.0274884463,-0.2559217525,0.2540770303,0.1074095737,0.4727272727,4.0000000000,0.7083333333,0.0340000000,1.0374609450,0.0818666575,0.9667099414,0.1610456838
without_ret60,ablation,full model without ret60,ret20;ret120;amount_strength;vol20;ret5,48,0.9730928278,-0.0063853985,-0.2486557676,0.0317594730,-0.0256796716,0.4545454545,7.0000000000,0.9375000000,0.0450000000,1.0374609450,-0.0620438943,0.9667099414,0.0066026904
without_ret120,ablation,full model without ret120,ret20;ret60;amount_strength;vol20;ret5,48,1.0295241386,0.0068569217,-0.2892339535,0.1215729836,0.0237071812,0.4181818182,7.0000000000,0.8875000000,0.0426000000,1.0374609450,-0.0076502219,0.9667099414,0.0649772952
without_amount_strength,ablation,full model without amount_strength,ret20;ret60;ret120;vol20;ret5,48,1.0662152457,0.0151717561,-0.2570403209,0.1750745456,0.0590248099,0.4363636364,7.0000000000,0.8458333333,0.0406000000,1.0374609450,0.0277160320,0.9667099414,0.1029319138
without_vol20,ablation,full model without vol20,ret20;ret60;ret120;amount_strength;ret5,48,1.0993105567,0.0224859607,-0.2937073673,0.2176396418,0.0765590625,0.4181818182,7.0000000000,0.8208333333,0.0394000000,1.0374609450,0.0596163277,0.9667099414,0.1371669098
without_ret5,ablation,full model without ret5,ret20;ret60;ret120;amount_strength;vol20,48,0.9943909968,-0.0013201416,-0.3001055177,0.0716829199,-0.0043989248,0.4363636364,6.0000000000,0.9000000000,0.0432000000,1.0374609450,-0.0415147659,0.9667099414,0.0286342927
