rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_top5_riskoff0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,48,1.3079335098,0.0650764702,-0.1725948937,0.5249082578,0.3770474831,0.2909090909,2.0000000000,0.4458333333,0.0214000000,1.0374609450,0.2607062619,0.9667099414,0.3529740968
2,ret60_top5_riskoff0,ret60,60-day industry momentum,ret60,5,0.000000,48,1.2890890149,0.0614524710,-0.1780787642,0.4902156086,0.3450859019,0.2727272727,3.0000000000,0.3958333333,0.0190000000,1.0374609450,0.2425422095,0.9667099414,0.3334806644
3,ret60_top5_riskoff0p3,ret60,60-day industry momentum,ret60,5,0.300000,48,1.2663103627,0.0570173730,-0.2024229530,0.4435907532,0.2816744454,0.4727272727,4.0000000000,0.5608333333,0.0269200000,1.0374609450,0.2205860556,0.9667099414,0.3099175963
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.300000,48,1.2618425766,0.0561403274,-0.1764047076,0.4479495022,0.3182473312,0.4727272727,4.0000000000,0.6283333333,0.0301600000,1.0374609450,0.2162795936,0.9667099414,0.3052959555
5,ret60_top5_riskoff0p5,ret60,60-day industry momentum,ret60,5,0.500000,48,1.2441939305,0.0526524156,-0.2376435602,0.3946726823,0.2215604560,0.4727272727,4.0000000000,0.6708333333,0.0322000000,1.0374609450,0.1992682101,0.9667099414,0.2870395527
6,ret60_ret120_top5_riskoff0,ret60_ret120,60/120-day industry momentum,ret60;ret120,5,0.000000,48,1.2275723151,0.0493326878,-0.1966588609,0.4027361150,0.2508541317,0.2363636364,5.0000000000,0.3875000000,0.0186000000,1.0374609450,0.1832467728,0.9667099414,0.2698455478
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.500000,48,1.2259975000,0.0490163801,-0.2278329391,0.3824021554,0.2151417626,0.4727272727,4.0000000000,0.7500000000,0.0360000000,1.0374609450,0.1817288216,0.9667099414,0.2682165017
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,5,0.000000,48,1.2183549153,0.0474769071,-0.1772706920,0.3983535856,0.2678215253,0.2727272727,2.0000000000,0.4208333333,0.0202000000,1.0374609450,0.1743621976,0.9667099414,0.2603107335
9,all_factors_top5_riskoff0,all_factors,configured full industry factor model,ret20;ret60;ret120;amount_strength;vol20;ret5,5,0.000000,48,1.2012968623,0.0440140052,-0.1686900289,0.3851801324,0.2609164602,0.2727272727,2.0000000000,0.5125000000,0.0246000000,1.0374609450,0.1579200818,0.9667099414,0.2426652617
10,ret60_ret5_top3_riskoff0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,48,1.2002723113,0.0438048194,-0.1745627622,0.3803998741,0.2509402285,0.2545454545,3.0000000000,0.4312500000,0.0207000000,1.0374609450,0.1569325256,0.9667099414,0.2416054288
11,ret60_ret5_top8_riskoff0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,48,1.1941840687,0.0425589379,-0.1644124078,0.3959018695,0.2588547814,0.2727272727,3.0000000000,0.4218750000,0.0202500000,1.0374609450,0.1510641190,0.9667099414,0.2353075287
12,price_momentum_top5_riskoff0,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,5,0.000000,48,1.1841695401,0.0404989784,-0.2479697208,0.3387229795,0.1633222730,0.2363636364,4.0000000000,0.4708333333,0.0226000000,1.0374609450,0.1414111980,0.9667099414,0.2249481353
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,5,0.300000,48,1.1748255946,0.0385649001,-0.2041609883,0.3286325651,0.1888945604,0.4545454545,4.0000000000,0.5758333333,0.0276400000,1.0374609450,0.1324046464,0.9667099414,0.2152824175
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.300000,48,1.1684958339,0.0372480224,-0.1926236994,0.3424506786,0.1933719606,0.4181818182,7.0000000000,0.5750000000,0.0276000000,1.0374609450,0.1263034426,0.9667099414,0.2087346823
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,8,0.000000,48,1.1662141860,0.0367719976,-0.1541759723,0.3482304585,0.2385066691,0.2363636364,3.0000000000,0.3958333333,0.0190000000,1.0374609450,0.1241041810,0.9667099414,0.2063744625
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,60/120-day industry momentum,ret60;ret120,5,0.300000,48,1.1608384611,0.0356476255,-0.2345402576,0.3050909731,0.1519893679,0.4363636364,4.0000000000,0.5450000000,0.0261600000,1.0374609450,0.1189225645,0.9667099414,0.2008136168
17,ret60_ret120_top8_riskoff0,ret60_ret120,60/120-day industry momentum,ret60;ret120,8,0.000000,48,1.1531165880,0.0340255470,-0.1649313544,0.3244937613,0.2063012649,0.2363636364,3.0000000000,0.3854166667,0.0185000000,1.0374609450,0.1114795150,0.9667099414,0.1928258298
18,ret60_ret5_top3_riskoff0p3,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.300000,48,1.1494852801,0.0332598696,-0.2066427536,0.2967336465,0.1609534767,0.4363636364,4.0000000000,0.6479166667,0.0311000000,1.0374609450,0.1079793274,0.9667099414,0.1890694725
19,ret60_ret5_top8_riskoff0p5,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.500000,48,1.1464955223,0.0326280755,-0.2568621691,0.2944510620,0.1270256171,0.4181818182,7.0000000000,0.6770833333,0.0325000000,1.0374609450,0.1050975246,0.9667099414,0.1859767580
20,price_momentum_top5_riskoff0p3,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,5,0.300000,48,1.1410050066,0.0314645318,-0.2925638007,0.2749883339,0.1075475903,0.4181818182,6.0000000000,0.6858333333,0.0329200000,1.0374609450,0.0998052621,0.9667099414,0.1802971685
21,ret60_ret120_ret5_top5_riskoff0p5,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,5,0.500000,48,1.1409132233,0.0314450448,-0.2441220577,0.2729358242,0.1288086997,0.4727272727,4.0000000000,0.6791666667,0.0326000000,1.0374609450,0.0997167930,0.9667099414,0.1802022246
22,ret60_ret120_ret5_top3_riskoff0,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,3,0.000000,48,1.1406179281,0.0313823410,-0.1773984893,0.2853778825,0.1769030906,0.2727272727,3.0000000000,0.4187500000,0.0201000000,1.0374609450,0.0994321604,0.9667099414,0.1798967604
23,ret60_ret120_ret5_top8_riskoff0p3,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,8,0.300000,48,1.1367669648,0.0305634777,-0.1924424146,0.2914134635,0.1588188228,0.4000000000,4.0000000000,0.5192708333,0.0249250000,1.0374609450,0.0957202488,0.9667099414,0.1759131836
24,ret60_ret120_top3_riskoff0,ret60_ret120,60/120-day industry momentum,ret60;ret120,3,0.000000,48,1.1320640543,0.0295605738,-0.1919062622,0.2713186054,0.1540365252,0.2545454545,2.0000000000,0.4187500000,0.0201000000,1.0374609450,0.0911871524,0.9667099414,0.1710483216
25,ret60_top8_riskoff0,ret60,60-day industry momentum,ret60,8,0.000000,48,1.1257079376,0.0282000425,-0.1680733211,0.2813698996,0.1677841690,0.2363636364,3.0000000000,0.4114583333,0.0197500000,1.0374609450,0.0850605443,0.9667099414,0.1644733228
26,all_factors_top3_riskoff0,all_factors,configured full industry factor model,ret20;ret60;ret120;amount_strength;vol20;ret5,3,0.000000,48,1.1220032889,0.0274043464,-0.1679040754,0.2583531009,0.1632143015,0.2545454545,2.0000000000,0.4937500000,0.0237000000,1.0374609450,0.0814896641,0.9667099414,0.1606410992
27,all_factors_top8_riskoff0,all_factors,configured full industry factor model,ret20;ret60;ret120;amount_strength;vol20;ret5,8,0.000000,48,1.1212065834,0.0272329649,-0.1722938805,0.2775615564,0.1580611267,0.2545454545,2.0000000000,0.4791666667,0.0230000000,1.0374609450,0.0807217262,0.9667099414,0.1598169579
28,ret60_top3_riskoff0,ret60,60-day industry momentum,ret60,3,0.000000,48,1.1184942376,0.0266488053,-0.1759147271,0.2526573351,0.1514870627,0.2363636364,5.0000000000,0.4187500000,0.0201000000,1.0374609450,0.0781073186,0.9667099414,0.1570112085
29,ret60_ret120_top5_riskoff0p5,ret60_ret120,60/120-day industry momentum,ret60;ret120,5,0.500000,48,1.1125549611,0.0253658644,-0.2909419237,0.2341946656,0.0871853189,0.4363636364,4.0000000000,0.6500000000,0.0312000000,1.0374609450,0.0723824992,0.9667099414,0.1508674044
30,ret60_ret120_ret5_top8_riskoff0p5,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,8,0.500000,48,1.1123846961,0.0253290083,-0.2595058121,0.2440369262,0.0976047825,0.4000000000,4.0000000000,0.6015625000,0.0288750000,1.0374609450,0.0722183822,0.9667099414,0.1506912761
31,ret60_ret5_top3_riskoff0p5,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.500000,48,1.1102358576,0.0248634930,-0.2447949799,0.2332140531,0.1015686391,0.4545454545,4.0000000000,0.7923611111,0.0380333333,1.0374609450,0.0701471347,0.9667099414,0.1484684393
32,price_momentum_top5_riskoff0p5,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,5,0.500000,48,1.1070790055,0.0241783538,-0.3255917349,0.2254700760,0.0742597284,0.4181818182,6.0000000000,0.8291666667,0.0398000000,1.0374609450,0.0671042711,0.9667099414,0.1452028764
33,ret60_ret120_ret5_top3_riskoff0p3,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,3,0.300000,48,1.1036970513,0.0234426996,-0.2108070733,0.2276899661,0.1112045212,0.4909090909,6.0000000000,0.6020833333,0.0289000000,1.0374609450,0.0638444335,0.9667099414,0.1417044597
34,ret60_ret120_top8_riskoff0p3,ret60_ret120,60/120-day industry momentum,ret60;ret120,8,0.300000,48,1.1026007846,0.0232038658,-0.1984222127,0.2368184546,0.1169418763,0.4000000000,4.0000000000,0.5088541667,0.0244250000,1.0374609450,0.0627877511,0.9667099414,0.1405704415
35,all_factors_top5_riskoff0p3,all_factors,configured full industry factor model,ret20;ret60;ret120;amount_strength;vol20;ret5,5,0.300000,48,1.0973383475,0.0220548498,-0.2317559043,0.2241963981,0.0951641332,0.4727272727,7.0000000000,0.7225000000,0.0346800000,1.0374609450,0.0577153316,0.9667099414,0.1351267847
36,price_momentum_top8_riskoff0,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,8,0.000000,48,1.0916811197,0.0208149218,-0.2179866261,0.2228326453,0.0954871506,0.2181818182,4.0000000000,0.4583333333,0.0220000000,1.0374609450,0.0522623767,0.9667099414,0.1292747421
37,ret60_top3_riskoff0p3,ret60,60-day industry momentum,ret60,3,0.300000,48,1.0889899055,0.0202233461,-0.2094053779,0.2065187476,0.0965751039,0.4000000000,6.0000000000,0.6062500000,0.0291000000,1.0374609450,0.0496683376,0.9667099414,0.1264908520
38,ret60_top8_riskoff0p3,ret60,60-day industry momentum,ret60,8,0.300000,48,1.0878842032,0.0199799693,-0.2235197204,0.2139071878,0.0893879488,0.4181818182,4.0000000000,0.5598958333,0.0268750000,1.0374609450,0.0486025603,0.9667099414,0.1253470732
39,price_momentum_top8_riskoff0p3,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,8,0.300000,48,1.0803506204,0.0183166903,-0.2497850291,0.2005038781,0.0733298163,0.3818181818,7.0000000000,0.6395833333,0.0307000000,1.0374609450,0.0413410024,0.9667099414,0.1175540606
40,ret60_ret120_top3_riskoff0p3,ret60_ret120,60/120-day industry momentum,ret60;ret120,3,0.300000,48,1.0782879694,0.0178597471,-0.2379257671,0.1914282936,0.0750643672,0.4181818182,6.0000000000,0.5979166667,0.0287000000,1.0374609450,0.0393528302,0.9667099414,0.1154203792
41,ret60_ret120_ret5_top3_riskoff0p5,ret60_ret120_ret5,60/120-day momentum with 5-day overheating penalty,ret60;ret120;ret5,3,0.500000,48,1.0732422804,0.0167391400,-0.2504166984,0.1830565800,0.0668451429,0.4909090909,6.0000000000,0.7243055556,0.0347666667,1.0374609450,0.0344893324,0.9667099414,0.1102009346
42,price_momentum_top8_riskoff0p5,price_momentum,20/60/120-day industry momentum,ret20;ret60;ret120,8,0.500000,48,1.0678638376,0.0155401834,-0.3015609313,0.1779116219,0.0515324826,0.3818181818,7.0000000000,0.7604166667,0.0365000000,1.0374609450,0.0293050960,0.9667099414,0.1046372773
43,ret60_ret120_top8_riskoff0p5,ret60_ret120,60/120-day industry momentum,ret60;ret120,8,0.500000,48,1.0652617822,0.0149584770,-0.2655231516,0.1745022106,0.0563358674,0.4181818182,4.0000000000,0.5911458333,0.0283750000,1.0374609450,0.0267969964,0.9667099414,0.1019456164
44,ret60_top3_riskoff0p5,ret60,60-day industry momentum,ret60,3,0.500000,48,1.0628383656,0.0144157279,-0.2577375135,0.1693770377,0.0559318187,0.4000000000,6.0000000000,0.7312500000,0.0351000000,1.0374609450,0.0244610852,0.9667099414,0.0994387459
