rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_riskoff0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_riskoff0,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_riskoff0,ret60_ret5,2023,-0.0460502867
1,ret60_ret5_top5_riskoff0,ret60_ret5,2024,0.0855671140
1,ret60_ret5_top5_riskoff0,ret60_ret5,2025,0.1862084782
1,ret60_ret5_top5_riskoff0,ret60_ret5,2026,0.0647373348
2,ret60_top5_riskoff0,ret60,2021,0.0000000000
2,ret60_top5_riskoff0,ret60,2022,0.0000000000
2,ret60_top5_riskoff0,ret60,2023,-0.0755054725
2,ret60_top5_riskoff0,ret60,2024,0.0374930321
2,ret60_top5_riskoff0,ret60,2025,0.2438804025
2,ret60_top5_riskoff0,ret60,2026,0.0804750648
3,ret60_top5_riskoff0p3,ret60,2021,0.0000000000
3,ret60_top5_riskoff0p3,ret60,2022,-0.0333506619
3,ret60_top5_riskoff0p3,ret60,2023,-0.0801117031
3,ret60_top5_riskoff0p3,ret60,2024,0.0486318905
3,ret60_top5_riskoff0p3,ret60,2025,0.2410152293
3,ret60_top5_riskoff0p3,ret60,2026,0.0942988357
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2022,-0.0312018978
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2023,-0.0608166491
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2024,0.0914817913
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2025,0.1744479816
4,ret60_ret5_top5_riskoff0p3,ret60_ret5,2026,0.0818604186
5,ret60_top5_riskoff0p5,ret60,2021,0.0000000000
5,ret60_top5_riskoff0p5,ret60,2022,-0.0559512514
5,ret60_top5_riskoff0p5,ret60,2023,-0.0842001074
5,ret60_top5_riskoff0p5,ret60,2024,0.0540313869
5,ret60_top5_riskoff0p5,ret60,2025,0.2372378817
5,ret60_top5_riskoff0p5,ret60,2026,0.1035355213
6,ret60_ret120_top5_riskoff0,ret60_ret120,2021,0.0000000000
6,ret60_ret120_top5_riskoff0,ret60_ret120,2022,0.0000000000
6,ret60_ret120_top5_riskoff0,ret60_ret120,2023,-0.0816434134
6,ret60_ret120_top5_riskoff0,ret60_ret120,2024,0.0078535345
6,ret60_ret120_top5_riskoff0,ret60_ret120,2025,0.2440763508
6,ret60_ret120_top5_riskoff0,ret60_ret120,2026,0.0660836495
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2021,0.0000000000
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2022,-0.0523842114
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2023,-0.0713081342
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2024,0.0935766398
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2025,0.1651395500
7,ret60_ret5_top5_riskoff0p5,ret60_ret5,2026,0.0933481789
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2021,0.0000000000
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2022,0.0000000000
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2023,-0.0508997021
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2024,0.0182428101
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2025,0.2068085004
8,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,2026,0.0446528593
9,all_factors_top5_riskoff0,all_factors,2021,0.0000000000
9,all_factors_top5_riskoff0,all_factors,2022,0.0000000000
9,all_factors_top5_riskoff0,all_factors,2023,-0.0301129877
9,all_factors_top5_riskoff0,all_factors,2024,-0.0034477106
9,all_factors_top5_riskoff0,all_factors,2025,0.1758717092
9,all_factors_top5_riskoff0,all_factors,2026,0.0569858323
10,ret60_ret5_top3_riskoff0,ret60_ret5,2021,0.0000000000
10,ret60_ret5_top3_riskoff0,ret60_ret5,2022,0.0000000000
10,ret60_ret5_top3_riskoff0,ret60_ret5,2023,-0.0795461578
10,ret60_ret5_top3_riskoff0,ret60_ret5,2024,0.0173840619
10,ret60_ret5_top3_riskoff0,ret60_ret5,2025,0.2011141470
10,ret60_ret5_top3_riskoff0,ret60_ret5,2026,0.0671084544
11,ret60_ret5_top8_riskoff0,ret60_ret5,2021,0.0000000000
11,ret60_ret5_top8_riskoff0,ret60_ret5,2022,0.0000000000
11,ret60_ret5_top8_riskoff0,ret60_ret5,2023,-0.0644238996
11,ret60_ret5_top8_riskoff0,ret60_ret5,2024,0.0578674684
11,ret60_ret5_top8_riskoff0,ret60_ret5,2025,0.1406728132
11,ret60_ret5_top8_riskoff0,ret60_ret5,2026,0.0577908389
12,price_momentum_top5_riskoff0,price_momentum,2021,0.0000000000
12,price_momentum_top5_riskoff0,price_momentum,2022,0.0000000000
12,price_momentum_top5_riskoff0,price_momentum,2023,-0.0255932046
12,price_momentum_top5_riskoff0,price_momentum,2024,-0.1128290180
12,price_momentum_top5_riskoff0,price_momentum,2025,0.2985858750
12,price_momentum_top5_riskoff0,price_momentum,2026,0.0548618326
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2021,0.0000000000
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2022,-0.0327786602
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2023,-0.0545996388
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2024,0.0159232507
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2025,0.1915746957
13,ret60_ret120_ret5_top5_riskoff0p3,ret60_ret120_ret5,2026,0.0613279316
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2021,0.0000000000
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2022,-0.0340107111
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2023,-0.0826956664
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2024,0.0596369702
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2025,0.1608302941
14,ret60_ret5_top8_riskoff0p3,ret60_ret5,2026,0.0720513218
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2021,0.0000000000
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2022,0.0000000000
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2023,-0.0735964294
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2024,0.0365654298
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2025,0.1582388147
15,ret60_ret120_ret5_top8_riskoff0,ret60_ret120_ret5,2026,0.0485358025
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2021,0.0000000000
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2022,-0.0482532764
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2023,-0.0888574433
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2024,-0.0008627025
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2025,0.2408703623
16,ret60_ret120_top5_riskoff0p3,ret60_ret120,2026,0.0797233255
17,ret60_ret120_top8_riskoff0,ret60_ret120,2021,0.0000000000
17,ret60_ret120_top8_riskoff0,ret60_ret120,2022,0.0000000000
17,ret60_ret120_top8_riskoff0,ret60_ret120,2023,-0.0662002567
17,ret60_ret120_top8_riskoff0,ret60_ret120,2024,0.0212175434
17,ret60_ret120_top8_riskoff0,ret60_ret120,2025,0.1565094227
17,ret60_ret120_top8_riskoff0,ret60_ret120,2026,0.0455673837
18,ret60_ret5_top3_riskoff0p3,ret60_ret5,2021,0.0000000000
18,ret60_ret5_top3_riskoff0p3,ret60_ret5,2022,-0.0161719989
18,ret60_ret5_top3_riskoff0p3,ret60_ret5,2023,-0.0889500698
