date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,汽车;美容护理;农林牧渔;煤炭;电力设备,汽车:0.1000;美容护理:0.1000;农林牧渔:0.1000;煤炭:0.1000;电力设备:0.1000,0.500000,0.500000,0.00050000,false,0.04518681,true,false
2022-07-22,2022-07-21,电力设备;公用事业;机械设备;通信;汽车,电力设备:0.1000;公用事业:0.1000;机械设备:0.1000;通信:0.1000;汽车:0.1000,0.500000,0.600000,0.00060000,false,0.04059900,true,false
2022-08-19,2022-08-18,机械设备;电子;国防军工;通信;电力设备,机械设备:0.1000;电子:0.1000;国防军工:0.1000;通信:0.1000;电力设备:0.1000,0.500000,0.400000,0.00040000,false,0.04943789,true,false
2022-09-19,2022-09-16,煤炭;家用电器;石油石化;公用事业;交通运输,煤炭:0.1000;家用电器:0.1000;石油石化:0.1000;公用事业:0.1000;交通运输:0.1000,0.500000,1.000000,0.00100000,false,-0.09466192,false,false
2022-10-24,2022-10-21,交通运输;煤炭;综合;通信;公用事业,交通运输:0.1000;煤炭:0.1000;综合:0.1000;通信:0.1000;公用事业:0.1000,0.500000,0.400000,0.00040000,false,-0.11642186,false,false
2022-11-21,2022-11-18,计算机;社会服务;医药生物;传媒;轻工制造,计算机:0.1000;社会服务:0.1000;医药生物:0.1000;传媒:0.1000;轻工制造:0.1000,0.500000,1.000000,0.00100000,false,-0.09055525,false,false
2022-12-19,2022-12-16,综合;商贸零售;社会服务;交通运输;纺织服饰,综合:0.1000;商贸零售:0.1000;社会服务:0.1000;交通运输:0.1000;纺织服饰:0.1000,0.500000,0.800000,0.00080000,false,0.00547972,true,false
2023-01-17,2023-01-16,社会服务;轻工制造;非银金融;传媒;美容护理,社会服务:0.2000;轻工制造:0.2000;非银金融:0.2000;传媒:0.2000;美容护理:0.2000,1.000000,1.300000,0.00130000,true,0.10555213,true,true
2023-02-21,2023-02-20,传媒;计算机;轻工制造;社会服务;机械设备,传媒:0.2000;计算机:0.2000;轻工制造:0.2000;社会服务:0.2000;机械设备:0.2000,1.000000,0.800000,0.00080000,true,0.08731130,true,true
2023-03-21,2023-03-20,计算机;通信;建筑装饰;传媒;国防军工,计算机:0.1000;通信:0.1000;建筑装饰:0.1000;传媒:0.1000;国防军工:0.1000,0.500000,1.100000,0.00110000,true,-0.00383134,false,false
2023-04-19,2023-04-18,传媒;通信;计算机;石油石化;电子,传媒:0.2000;通信:0.2000;计算机:0.2000;石油石化:0.2000;电子:0.2000,1.000000,0.900000,0.00090000,true,0.00581688,true,true
2023-05-22,2023-05-19,传媒;公用事业;银行;非银金融;纺织服饰,传媒:0.1000;公用事业:0.1000;银行:0.1000;非银金融:0.1000;纺织服饰:0.1000,0.500000,1.300000,0.00130000,false,-0.04571198,false,false
2023-06-19,2023-06-16,传媒;通信;计算机;公用事业;机械设备,传媒:0.1000;通信:0.1000;计算机:0.1000;公用事业:0.1000;机械设备:0.1000,0.500000,0.600000,0.00060000,false,0.00616134,true,false
2023-07-19,2023-07-18,汽车;公用事业;机械设备;国防军工;环保,汽车:0.1000;公用事业:0.1000;机械设备:0.1000;国防军工:0.1000;环保:0.1000,0.500000,0.600000,0.00060000,false,-0.07378371,false,false
2023-08-16,2023-08-15,非银金融;房地产;汽车;钢铁;轻工制造,非银金融:0.1000;房地产:0.1000;汽车:0.1000;钢铁:0.1000;轻工制造:0.1000,0.500000,0.800000,0.00080000,false,-0.02484447,false,false
2023-09-14,2023-09-13,煤炭;环保;石油石化;家用电器;轻工制造,煤炭:0.1000;环保:0.1000;石油石化:0.1000;家用电器:0.1000;轻工制造:0.1000,0.500000,0.800000,0.00080000,false,-0.05719909,false,false
2023-10-20,2023-10-19,煤炭;银行;医药生物;汽车;家用电器,煤炭:0.1000;银行:0.1000;医药生物:0.1000;汽车:0.1000;家用电器:0.1000,0.500000,0.600000,0.00060000,false,-0.08337354,false,false
2023-11-17,2023-11-16,汽车;电子;医药生物;食品饮料;家用电器,汽车:0.1000;电子:0.1000;医药生物:0.1000;食品饮料:0.1000;家用电器:0.1000,0.500000,0.400000,0.00040000,false,-0.07127964,false,false
2023-12-15,2023-12-14,煤炭;综合;医药生物;农林牧渔;纺织服饰,煤炭:0.1000;综合:0.1000;医药生物:0.1000;农林牧渔:0.1000;纺织服饰:0.1000,0.500000,0.800000,0.00080000,false,-0.10295050,false,false
2024-01-15,2024-01-12,煤炭;公用事业;综合;纺织服饰;交通运输,煤炭:0.1000;公用事业:0.1000;综合:0.1000;纺织服饰:0.1000;交通运输:0.1000,0.500000,0.400000,0.00040000,false,-0.07057229,false,false
2024-02-20,2024-02-19,银行;煤炭;家用电器;公用事业;石油石化,银行:0.1000;煤炭:0.1000;家用电器:0.1000;公用事业:0.1000;石油石化:0.1000,0.500000,0.600000,0.00060000,false,-0.04718170,false,false
2024-03-19,2024-03-18,有色金属;家用电器;煤炭;通信;公用事业,有色金属:0.2000;家用电器:0.2000;煤炭:0.2000;通信:0.2000;公用事业:0.2000,1.000000,0.900000,0.00090000,true,0.07505161,true,true
2024-04-18,2024-04-17,有色金属;煤炭;石油石化;银行;公用事业,有色金属:0.2000;煤炭:0.2000;石油石化:0.2000;银行:0.2000;公用事业:0.2000,1.000000,0.800000,0.00080000,true,0.08563199,true,true
