fold,rank_by_train,rank_by_test,selected_by_train,name,factor_set,enabled_factors,top_k,risk_off_exposure,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,20,true,all_factors_top3_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9856985335,-0.0071907002,-0.0976295441,-0.0423187904,-0.0736529113,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.3105451069,0.6351705417,0.5518643715,0.9766559496,-0.0465035824,-0.0916542283,-0.3628392477,-0.5073806551,0.2857142857,2.0000000000,0.6000000000,0.0036000000,0.9160617189,0.0661464500,1.0354258214,-0.0567591329
1,2,48,false,price_momentum_top5_riskoff0,price_momentum,ret20;ret60;ret120,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9744067954,-0.0129049831,-0.0854961135,-0.1218865338,-0.1509423363,0.0769230769,2.0000000000,0.2600000000,0.0052000000,0.7521286588,0.2955320663,0.6351705417,0.5340868813,0.8930424656,-0.2039173199,-0.1219555375,-1.6760729931,-1.6720628189,0.0000000000,4.0000000000,0.8000000000,0.0048000000,0.9160617189,-0.0251284960,1.0354258214,-0.1375118843
1,3,33,false,all_factors_top5_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9698870123,-0.0152015141,-0.0994821816,-0.1668249355,-0.1528064001,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.2895227445,0.6351705417,0.5269710237,0.9599793081,-0.0790417679,-0.0885137431,-0.7180359449,-0.8929886492,0.2857142857,2.0000000000,0.7333333333,0.0044000000,0.9160617189,0.0479417362,1.0354258214,-0.0728652035
1,4,50,false,price_momentum_top3_riskoff0,price_momentum,ret20;ret60;ret120,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9648309997,-0.0177768442,-0.0976295441,-0.1642237266,-0.1820846786,0.0769230769,2.0000000000,0.2700000000,0.0054000000,0.7521286588,0.2828004737,0.6351705417,0.5190109370,0.8861199988,-0.2163088235,-0.1209426954,-1.6292413837,-1.7885232579,0.0000000000,4.0000000000,0.7000000000,0.0042000000,0.9160617189,-0.0326852650,1.0354258214,-0.1441975074
1,5,3,false,ret60_ret120_ret5_top3_riskoff0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9643503114,-0.0180220377,-0.0976295441,-0.1823562689,-0.1845961474,0.0384615385,3.0000000000,0.2100000000,0.0042000000,0.7521286588,0.2821613698,0.6351705417,0.5182541508,1.0047587480,0.0096168286,-0.0625685060,0.1458366712,0.1537007874,0.4285714286,1.0000000000,0.7000000000,0.0042000000,0.9160617189,0.0968242939,1.0354258214,-0.0296178372
1,6,26,false,all_factors_top8_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9583997056,-0.0210624385,-0.0884736604,-0.2980405404,-0.2380645086,0.0769230769,2.0000000000,0.2500000000,0.0050000000,0.7521286588,0.2742496838,0.6351705417,0.5088856342,0.9670029291,-0.0654072153,-0.0827548245,-0.6478437889,-0.7903734402,0.2857142857,2.0000000000,0.5833333333,0.0035000000,0.9160617189,0.0556089281,1.0354258214,-0.0660818871
1,7,2,false,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9539497133,-0.0233422773,-0.1052172961,-0.2811590760,-0.2218482907,0.0769230769,2.0000000000,0.2200000000,0.0044000000,0.7521286588,0.2683331530,0.6351705417,0.5018796538,1.0151339335,0.0307445910,-0.0704522531,0.3561243963,0.4363890384,0.2857142857,2.0000000000,0.6666666667,0.0040000000,0.9160617189,0.1081501526,1.0354258214,-0.0195976258
1,8,46,false,price_momentum_top8_riskoff0,price_momentum,ret20;ret60;ret120,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9537630071,-0.0234380473,-0.0977188072,-0.3279315173,-0.2398519585,0.0769230769,3.0000000000,0.2375000000,0.0047500000,0.7521286588,0.2680849159,0.6351705417,0.5015857072,0.9029658758,-0.1859831073,-0.1055884822,-1.5995457496,-1.7613957822,0.0000000000,4.0000000000,0.7916666667,0.0047500000,0.9160617189,-0.0142958087,1.0354258214,-0.1279279914
1,9,14,false,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9491002979,-0.0258328013,-0.1015452412,-0.3047689338,-0.2543969667,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.2618855655,0.6351705417,0.4942448296,0.9888537264,-0.0223436581,-0.0812297786,-0.1954802785,-0.2750673277,0.2857142857,2.0000000000,0.6666666667,0.0040000000,0.9160617189,0.0794619031,1.0354258214,-0.0449786880
1,10,22,false,ret60_ret5_top8_riskoff0,ret60_ret5,ret60;ret5,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,0.9355761004,-0.0328121969,-0.1023546179,-0.4924516904,-0.3205736837,0.0384615385,3.0000000000,0.2250000000,0.0045000000,0.7521286588,0.2439043366,0.6351705417,0.4729525992,0.9738368576,-0.0520439676,-0.0740968005,-0.5032251066,-0.7023780684,0.2857142857,2.0000000000,0.5833333333,0.0035000000,0.9160617189,0.0630690461,1.0354258214,-0.0594817731
