fold,rank_by_train,rank_by_test,selected_by_train,name,factor_set,enabled_factors,top_k,risk_off_exposure,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,17,true,all_factors_top3_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9856985335,-0.0071907002,-0.0976295441,-0.0423187904,-0.0736529113,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.3105451069,0.6351705417,0.5518643715,1.0261152290,0.1104700863,-0.0552522784,0.9438064150,1.9993761253,0.5000000000,0.0000000000,0.5000000000,0.0015000000,1.0105270321,0.0154258089,1.0780369679,-0.0481632267
1,2,51,false,price_momentum_top5_riskoff0,price_momentum,ret20;ret60;ret120,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9744067954,-0.0129049831,-0.0854961135,-0.1218865338,-0.1509423363,0.0769230769,2.0000000000,0.2600000000,0.0052000000,0.7521286588,0.2955320663,0.6351705417,0.5340868813,0.9721499837,-0.1084582384,-0.0472836055,-0.7192805215,-2.2937810532,0.0000000000,2.0000000000,0.7333333333,0.0022000000,1.0105270321,-0.0379772606,1.0780369679,-0.0982220345
1,3,37,false,all_factors_top5_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9698870123,-0.0152015141,-0.0994821816,-0.1668249355,-0.1528064001,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.2895227445,0.6351705417,0.5269710237,1.0072337220,0.0297290902,-0.0428441180,0.3157844475,0.6938896538,0.5000000000,0.0000000000,0.6000000000,0.0018000000,1.0105270321,-0.0032590025,1.0780369679,-0.0656779387
1,4,54,false,price_momentum_top3_riskoff0,price_momentum,ret20;ret60;ret120,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9648309997,-0.0177768442,-0.0976295441,-0.1642237266,-0.1820846786,0.0769230769,2.0000000000,0.2700000000,0.0054000000,0.7521286588,0.2828004737,0.6351705417,0.5190109370,0.9590599304,-0.1562539672,-0.0581526579,-0.9826521026,-2.6869617444,0.0000000000,2.0000000000,0.7000000000,0.0021000000,1.0105270321,-0.0509309500,1.0780369679,-0.1103645247
1,5,26,false,ret60_ret120_ret5_top3_riskoff0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9643503114,-0.0180220377,-0.0976295441,-0.1823562689,-0.1845961474,0.0384615385,3.0000000000,0.2100000000,0.0042000000,0.7521286588,0.2821613698,0.6351705417,0.5182541508,1.0204429709,0.0857303280,-0.0552522784,0.8685201444,1.5516161592,0.5000000000,0.0000000000,0.7000000000,0.0021000000,1.0105270321,0.0098126408,1.0780369679,-0.0534248813
1,6,34,false,all_factors_top8_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9583997056,-0.0210624385,-0.0884736604,-0.2980405404,-0.2380645086,0.0769230769,2.0000000000,0.2500000000,0.0050000000,0.7521286588,0.2742496838,0.6351705417,0.5088856342,1.0127885959,0.0530070085,-0.0358666882,0.5409151150,1.4778896829,0.5000000000,0.0000000000,0.5000000000,0.0015000000,1.0105270321,0.0022380042,1.0780369679,-0.0605251712
1,7,5,false,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9539497133,-0.0233422773,-0.1052172961,-0.2811590760,-0.2218482907,0.0769230769,2.0000000000,0.2200000000,0.0044000000,0.7521286588,0.2683331530,0.6351705417,0.5018796538,1.0431904460,0.1875151317,-0.0423384305,1.7292012218,4.4289580248,0.5000000000,0.0000000000,0.4666666667,0.0014000000,1.0105270321,0.0323231471,1.0780369679,-0.0323240510
1,8,53,false,price_momentum_top8_riskoff0,price_momentum,ret20;ret60;ret120,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9537630071,-0.0234380473,-0.0977188072,-0.3279315173,-0.2398519585,0.0769230769,3.0000000000,0.2375000000,0.0047500000,0.7521286588,0.2680849159,0.6351705417,0.5015857072,0.9698630279,-0.1169521805,-0.0501110500,-0.7865860284,-2.3338601048,0.0000000000,2.0000000000,0.7500000000,0.0022500000,1.0105270321,-0.0402403923,1.0780369679,-0.1003434420
1,9,15,false,ret60_ret120_ret5_top5_riskoff0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9491002979,-0.0258328013,-0.1015452412,-0.3047689338,-0.2543969667,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.2618855655,0.6351705417,0.4942448296,1.0293039845,0.1245632421,-0.0428441180,1.3373458214,2.9073592326,0.5000000000,0.0000000000,0.4666666667,0.0014000000,1.0105270321,0.0185813460,1.0780369679,-0.0452052989
1,10,35,false,ret60_ret5_top8_riskoff0,ret60_ret5,ret60;ret5,8,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9355761004,-0.0328121969,-0.1023546179,-0.4924516904,-0.3205736837,0.0384615385,3.0000000000,0.2250000000,0.0045000000,0.7521286588,0.2439043366,0.6351705417,0.4729525992,1.0114367994,0.0473060968,-0.0335192576,0.5079249316,1.4113109947,0.5000000000,0.0000000000,0.4166666667,0.0012500000,1.0105270321,0.0009002899,1.0780369679,-0.0617791138
