fold,test_rank,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,17,all_factors_top3_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,3,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-04-25,0.9856985335,-0.0071907002,-0.0976295441,-0.0423187904,-0.0736529113,0.0769230769,2.0000000000,0.2400000000,0.0048000000,0.7521286588,0.3105451069,0.6351705417,0.5518643715,1.0261152290,0.1104700863,-0.0552522784,0.9438064150,1.9993761253,0.5000000000,0.0000000000,0.5000000000,0.0015000000,1.0105270321,0.0154258089,1.0780369679,-0.0481632267
2,22,all_factors_top3_riskoff0,all_factors,ret20;ret60;ret120;amount_strength;vol20;ret5,3,0.000000,2022-03-21,2024-04-25,2024-04-26,2024-07-29,1.0114402765,0.0057152432,-0.1041714422,0.1074766643,0.0548638196,0.1538461538,2.0000000000,0.2739130435,0.0063000000,0.8505401742,0.1891740181,0.8289474611,0.2201500384,0.9440671418,-0.2085949596,-0.0899247731,-2.1389874977,-2.3196606705,0.0000000000,3.0000000000,0.7000000000,0.0021000000,0.8934433002,0.0566615046,0.9460057418,-0.0020492476
3,52,ret60_ret120_ret5_top3_riskoff0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.000000,2022-07-01,2024-07-29,2024-07-30,2024-11-04,0.9689394115,-0.0156836729,-0.0976295441,-0.1175725859,-0.1606447413,0.1600000000,3.0000000000,0.3360000000,0.0084000000,0.7475327559,0.2961832159,0.7591118315,0.2764119479,1.0375510157,0.1616377260,-0.0265364076,1.6004361653,6.0911683396,0.2000000000,1.0000000000,0.3000000000,0.0009000000,1.2270601942,-0.1544416316,1.1707673222,-0.1137854669
4,3,ret60_ret5_top5_riskoff0p5,ret60_ret5,ret60;ret5,5,0.500000,2022-09-29,2024-11-04,2024-11-05,2025-02-10,1.0257339406,0.0128108192,-0.2278329391,0.1632959271,0.0562290039,0.4444444444,4.0000000000,0.6920000000,0.0173000000,1.0261323497,-0.0003882629,1.0307331323,-0.0048501320,0.9489209937,-0.1919258927,-0.1503545535,-0.7109028588,-1.2764887274,0.5000000000,2.0000000000,1.1000000000,0.0033000000,0.9769749390,-0.0287151126,0.9645178597,-0.0161706348
5,46,ret60_ret5_top5_riskoff0p5,ret60_ret5,ret60;ret5,5,0.500000,2023-01-04,2025-02-10,2025-02-11,2025-05-14,0.9751395238,-0.0125331803,-0.2278329391,-0.0037458641,-0.0550103962,0.4230769231,4.0000000000,0.7760000000,0.0194000000,0.9803488796,-0.0053137775,1.0020832531,-0.0268877154,0.9510711975,-0.1844576707,-0.1043603044,-1.3286549454,-1.7675079787,0.2500000000,3.0000000000,0.6666666667,0.0020000000,1.0158263412,-0.0637462735,1.0154694397,-0.0634172135
6,29,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,2023-04-11,2025-05-14,2025-05-15,2025-08-12,0.9395479212,-0.0307572784,-0.1503545535,-0.1935740346,-0.2045649941,0.1538461538,2.0000000000,0.4000000000,0.0100000000,0.9430864439,-0.0037520662,0.9617233516,-0.0230580139,1.0600544970,0.2674967313,-0.0118588644,4.2443586117,22.5566903273,0.5000000000,0.0000000000,0.4500000000,0.0018000000,1.1041443818,-0.0399312676,1.0605625512,-0.0004790421
7,28,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,2023-07-14,2025-08-12,2025-08-13,2025-11-17,1.0768144626,0.0377730520,-0.1503545535,0.3908864411,0.2512265251,0.2307692308,2.0000000000,0.3769230769,0.0098000000,1.0816346857,-0.0044564243,1.0627657665,0.0132189957,1.1193946893,0.5815873324,-0.0815268793,1.7697163630,7.1336881498,1.0000000000,0.0000000000,0.6666666667,0.0020000000,1.0824767355,0.0341050783,1.1009127085,0.0167878713
8,4,ret60_top5_riskoff0,ret60,ret60,5,0.000000,2023-10-20,2025-11-17,2025-11-18,2026-02-24,1.2294646070,0.1090399649,-0.1780787642,0.7425546992,0.6123131266,0.3461538462,2.0000000000,0.3615384615,0.0094000000,1.2996905390,-0.0540328101,1.3097655950,-0.0613094345,1.1963448990,1.0722807960,-0.0565546973,3.0768637785,18.9600660306,0.7500000000,1.0000000000,0.6666666667,0.0020000000,1.0798885753,0.1078410554,1.0305044230,0.1609313578
9,14,ret60_top5_riskoff0p5,ret60,ret60,5,0.500000,2024-01-18,2026-02-24,2026-02-25,2026-05-28,1.5137193936,0.2308401630,-0.2207714331,1.1324854921,1.0456070324,0.5769230769,4.0000000000,0.6760000000,0.0169000000,1.4547749671,0.0405178999,1.4375353083,0.0529963229,0.9868841395,-0.0522479054,-0.1514306386,-0.1676521106,-0.3450286278,0.7500000000,1.0000000000,0.9333333333,0.0028000000,0.9436796310,0.0457830254,1.0376529016,-0.0489265360
10,23,ret60_top5_riskoff0p5,ret60,ret60,5,0.500000,2024-04-26,2026-05-28,2026-05-29,2026-06-02,1.4645260716,0.2106351036,-0.2207714331,1.0220987249,0.9540867702,0.5769230769,4.0000000000,0.7360000000,0.0184000000,1.3529375479,0.0824786953,1.3710490560,0.0681791911,1.0020486490,0.2941650373,-0.0108484783,1.4554629951,27.1157879792,0.5000000000,0.0000000000,0.0000000000,0.0000000000,1.0015894422,0.0004584781,1.0045869684,-0.0025267294
