date,strategy,industry_equal_weight,benchmark
2010-01-04,1.0000000000,1.0000000000,1.0000000000
2010-01-05,1.0000000000,1.0078808336,1.0081493990
2010-01-06,1.0000000000,1.0032138715,1.0018386357
2010-01-07,1.0000000000,0.9825267912,0.9819615697
2010-01-08,1.0000000000,0.9893802574,0.9844140268
2010-01-11,1.0000000000,0.9927201207,0.9849571315
2010-01-12,1.0000000000,1.0133562101,0.9999123112
2010-01-13,1.0000000000,0.9969037773,0.9677277009
2010-01-14,1.0000000000,1.0183666068,0.9812798602
2010-01-15,1.0000000000,1.0230806341,0.9851523098
2010-01-18,1.0000000000,1.0364309417,0.9902269442
2010-01-19,1.0000000000,1.0358800659,0.9921504400
2010-01-20,1.0000000000,0.9994320892,0.9601723226
2010-01-21,1.0000000000,1.0012732165,0.9641720624
2010-01-22,1.0000000000,0.9785302060,0.9521869864
2010-01-25,1.0000000000,0.9670930152,0.9413842947
2010-01-26,1.0000000000,0.9357687940,0.9172811953
2010-01-27,1.0000000000,0.9295371453,0.9047699867
2010-01-28,1.0000000000,0.9402811480,0.9070329229
2010-01-29,1.0000000000,0.9441922377,0.9063512134
2010-02-01,1.0000000000,0.9312458152,0.8917977048
2010-02-02,1.0000000000,0.9268497594,0.8899534118
2010-02-03,1.0000000000,0.9441217661,0.9138641616
2010-02-04,1.0000000000,0.9495373038,0.9104923866
2010-02-05,1.0000000000,0.9300914173,0.8919051943
2010-02-08,1.0000000000,0.9304712520,0.8913111735
2010-02-09,1.0000000000,0.9314779029,0.8964593534
2010-02-10,1.0000000000,0.9431510113,0.9091713976
2010-02-11,1.0000000000,0.9436657658,0.9109449739
2010-02-12,1.0000000000,0.9554741855,0.9196799077
2010-02-22,1.0000000000,0.9536703976,0.9146081019
2010-02-23,1.0000000000,0.9575601594,0.9047869587
2010-02-24,1.0000000000,0.9752364164,0.9177564119
2010-02-25,1.0000000000,0.9893035118,0.9312350257
2010-02-26,1.0000000000,0.9885417215,0.9282762366
2010-03-01,1.0000000000,0.9997524563,0.9403688020
2010-03-02,1.0000000000,0.9973926633,0.9366406146
2010-03-03,1.0000000000,1.0087056179,0.9433841645
2010-03-04,1.0000000000,0.9773849415,0.9194790721
2010-03-05,1.0000000000,0.9801502688,0.9220786201
2010-03-08,1.0000000000,0.9889873187,0.9295519669
2010-03-09,1.0000000000,0.9906134744,0.9351187900
2010-03-10,1.0000000000,0.9814302306,0.9277161599
2010-03-11,1.0000000000,0.9767273561,0.9268732162
2010-03-12,1.0000000000,0.9626665757,0.9145458711
2010-03-15,1.0000000000,0.9517637733,0.9004166631
2010-03-16,1.0000000000,0.9584144860,0.9062974686
2010-03-17,1.0000000000,0.9810750945,0.9260840172
2010-03-18,1.0000000000,0.9820537963,0.9242821542
2010-03-19,1.0000000000,0.9905400111,0.9317272144
2010-03-22,1.0000000000,0.9953374968,0.9342051295
2010-03-23,1.0000000000,0.9897150229,0.9265507478
2010-03-24,1.0000000000,0.9917148968,0.9268619015
2010-03-25,1.0000000000,0.9785164587,0.9134144030
2010-03-26,1.0000000000,0.9920352613,0.9263895136
2010-03-29,1.0000000000,1.0058403064,0.9500202250
2010-03-30,1.0000000000,1.0094663371,0.9523312486
2010-03-31,1.0000000000,1.0083046807,0.9463627543
2010-04-01,1.0000000000,1.0225535597,0.9594679837
2010-04-02,1.0000000000,1.0264102755,0.9638269646
2010-04-06,1.0000000000,1.0271423395,0.9632046571
