industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
家用电器,8,0.1818181818,8,0,0.2000000000
建筑建材,6,0.1363636364,6,0,0.2000000000
有色金属,5,0.1136363636,5,0,0.2000000000
综合,5,0.1136363636,5,0,0.2000000000
金融服务,5,0.1136363636,5,0,0.2000000000
交运设备,4,0.0909090909,4,0,0.2000000000
房地产,4,0.0909090909,4,0,0.2000000000
机械设备,4,0.0909090909,4,0,0.2000000000
电子,4,0.0909090909,4,0,0.2000000000
信息设备,3,0.0681818182,3,0,0.2000000000
医药生物,3,0.0681818182,3,0,0.2000000000
采掘,3,0.0681818182,3,0,0.2000000000
交通运输,2,0.0454545455,2,0,0.2000000000
信息服务,2,0.0454545455,2,0,0.2000000000
农林牧渔,2,0.0454545455,2,0,0.2000000000
商业贸易,2,0.0454545455,2,0,0.2000000000
餐饮旅游,2,0.0454545455,2,0,0.2000000000
黑色金属,2,0.0454545455,2,0,0.2000000000
公用事业,1,0.0227272727,1,0,0.2000000000
化工,1,0.0227272727,1,0,0.2000000000
纺织服装,1,0.0227272727,1,0,0.2000000000
食品饮料,1,0.0227272727,1,0,0.2000000000
