signal_date,date_start,date_end,benchmark_start,benchmark_end,benchmark_return,cause,result,market_trend,market_score_ok,market_score
2010-07-05,2010-07-06,2010-08-03,2562.9,2865.97,11.83,market_trend+market_score,FALSE_POSITIVE,False,False,-0.26210299
2010-08-02,2010-08-03,2010-08-31,2865.97,2903.19,1.3,market_trend+market_score,NEUTRAL,False,False,-0.0392308
2010-08-30,2010-08-31,2010-10-08,2903.19,3044.23,4.86,market_trend,FALSE_POSITIVE,False,True,0.05710908
2011-01-28,2011-01-31,2011-03-07,3076.51,3334.51,8.39,market_trend+market_score,FALSE_POSITIVE,False,False,-0.12749892
2011-05-04,2011-05-05,2011-06-02,3126.12,2955.71,-5.45,market_trend,TRUE_POSITIVE,False,True,0.03039114
2011-06-01,2011-06-02,2011-07-01,2955.71,3049.75,3.18,market_trend+market_score,FALSE_POSITIVE,False,False,-0.08148178
2011-06-30,2011-07-01,2011-07-29,3049.75,2972.08,-2.55,market_trend+market_score,TRUE_POSITIVE,False,False,-0.06986216
2011-07-28,2011-07-29,2011-08-26,2972.08,2901.22,-2.38,market_trend+market_score,TRUE_POSITIVE,False,False,-0.04730859
2011-08-25,2011-08-26,2011-09-26,2901.22,2610.92,-10.01,market_trend+market_score,TRUE_POSITIVE,False,False,-0.03339691
2011-09-23,2011-09-26,2011-10-31,2610.92,2695.31,3.23,market_trend+market_score,FALSE_POSITIVE,False,False,-0.12306141
2011-10-28,2011-10-31,2011-11-28,2695.31,2573.32,-4.53,market_trend+market_score,TRUE_POSITIVE,False,False,-0.09123784
2011-11-25,2011-11-28,2011-12-26,2573.32,2335.7,-9.23,market_trend+market_score,TRUE_POSITIVE,False,False,-0.11497534
2011-12-23,2011-12-26,2012-02-01,2335.7,2428.99,3.99,market_trend+market_score,FALSE_POSITIVE,False,False,-0.11624736
2012-01-31,2012-02-01,2012-02-29,2428.99,2634.14,8.45,market_trend+market_score,FALSE_POSITIVE,False,False,-0.09035002
2012-03-27,2012-03-28,2012-05-02,2474.9,2683.49,8.43,market_trend,FALSE_POSITIVE,False,True,0.0796809
2012-05-29,2012-05-30,2012-06-28,2642.26,2425.73,-8.19,market_score,TRUE_POSITIVE,True,False,-0.00436063
2012-06-27,2012-06-28,2012-07-26,2425.73,2347.49,-3.23,market_trend+market_score,TRUE_POSITIVE,False,False,-0.03923616
2012-07-25,2012-07-26,2012-08-23,2347.49,2302.2,-1.93,market_trend+market_score,NEUTRAL,False,False,-0.10131904
2012-08-22,2012-08-23,2012-09-20,2302.2,2195.95,-4.62,market_trend+market_score,TRUE_POSITIVE,False,False,-0.13401739
2012-09-19,2012-09-20,2012-10-25,2195.95,2291.24,4.34,market_trend+market_score,FALSE_POSITIVE,False,False,-0.08211834
2012-10-24,2012-10-25,2012-11-22,2291.24,2177.55,-4.96,market_trend+market_score,TRUE_POSITIVE,False,False,-0.02216027
2012-11-21,2012-11-22,2012-12-20,2177.55,2384.82,9.52,market_trend+market_score,FALSE_POSITIVE,False,False,-0.04386236
2013-04-24,2013-04-25,2013-05-28,2467.88,2644.36,7.15,market_score,FALSE_POSITIVE,True,False,-0.04416868
2013-05-27,2013-05-28,2013-06-28,2644.36,2200.64,-16.78,market_score,TRUE_POSITIVE,True,False,-0.00206145
2013-06-27,2013-06-28,2013-07-26,2200.64,2224.01,1.06,market_trend+market_score,NEUTRAL,False,False,-0.1731124
2013-07-25,2013-07-26,2013-08-23,2224.01,2286.93,2.83,market_trend+market_score,FALSE_POSITIVE,False,False,-0.10334271
2013-08-22,2013-08-23,2013-09-24,2286.93,2443.89,6.86,market_trend+market_score,FALSE_POSITIVE,False,False,-0.11373332
2013-10-28,2013-10-29,2013-11-26,2372.05,2387.42,0.65,market_trend,NEUTRAL,False,True,0.05732276
2013-12-23,2013-12-24,2014-01-22,2288.25,2243.8,-1.94,market_trend+market_score,NEUTRAL,False,False,-0.07591747
2014-01-21,2014-01-22,2014-02-20,2243.8,2287.44,1.94,market_trend+market_score,NEUTRAL,False,False,-0.07546229
